Row Label,County,Judy Jasprica
31-900,PI,188
29-680,PI,253
31-902,PI,388
31-903,PI,3
31-904,PI,50
31-905,PI,261
31-906,PI,161
31-907,PI,238
31-908,PI,204
31-909,PI,235
29-640,PI,299
29-641,PI,301
29-642,PI,312
29-643,PI,25
29-648,PI,7
29-649,PI,93
25-239,PI,373
25-238,PI,205
31-901,PI,38
25-235,PI,11
25-237,PI,0
25-236,PI,289
25-230,PI,91
28-588,PI,341
28-589,PI,354
28-586,PI,331
28-587,PI,238
28-584,PI,240
28-585,PI,378
28-582,PI,143
28-583,PI,212
28-580,PI,55
28-581,PI,214
25-280,PI,378
25-281,PI,259
25-282,PI,365
02-149,PI,381
25-284,PI,188
25-285,PI,476
25-286,PI,345
25-287,PI,4
25-288,PI,380
25-289,PI,0
02-140,PI,363
02-141,PI,342
02-146,PI,248
02-147,PI,255
02-144,PI,295
02-145,PI,331
27-439,PI,296
27-438,PI,295
27-435,PI,351
27-434,PI,333
27-437,PI,302
27-436,PI,334
27-431,PI,151
27-430,PI,351
27-433,PI,333
27-432,PI,340
26-339,PI,62
26-338,PI,293
26-333,PI,356
26-332,PI,317
26-331,PI,99
26-330,PI,268
26-337,PI,402
26-336,PI,435
26-335,PI,318
26-334,PI,329
28-515,PI,381
28-517,PI,428
28-516,PI,394
28-519,PI,413
28-518,PI,414
31-869,PI,137
31-865,PI,84
31-861,PI,80
26-348,PI,379
26-349,PI,370
26-346,PI,320
26-347,PI,302
26-344,PI,48
26-345,PI,338
26-342,PI,409
26-343,PI,342
26-340,PI,434
26-341,PI,338
25-271,PI,351
25-270,PI,377
25-273,PI,224
25-272,PI,349
25-275,PI,0
25-274,PI,449
25-277,PI,365
25-276,PI,16
25-279,PI,307
25-278,PI,127
29-682,PI,299
29-683,PI,319
31-923,PI,170
29-619,PI,283
29-618,PI,249
29-617,PI,288
29-616,PI,283
29-615,PI,337
29-614,PI,318
29-613,PI,316
29-612,PI,155
29-611,PI,61
29-610,PI,292
28-559,PI,328
28-558,PI,320
28-551,PI,468
28-550,PI,284
28-553,PI,413
28-552,PI,427
28-555,PI,438
28-554,PI,386
28-557,PI,306
28-556,PI,319
02-115,PI,278
02-114,PI,170
02-117,PI,339
02-116,PI,346
02-111,PI,257
25-291,PI,79
02-113,PI,237
02-112,PI,190
02-143,PI,246
25-290,PI,33
02-119,PI,209
02-118,PI,214
31-823,PI,192
31-822,PI,218
31-827,PI,74
31-826,PI,298
31-825,PI,250
31-824,PI,0
31-829,PI,246
31-828,PI,262
26-302,PI,517
26-303,PI,459
26-301,PI,143
26-304,PI,518
26-305,PI,488
31-892,PI,179
31-893,PI,0
31-890,PI,160
27-471,PI,13
31-891,PI,90
27-475,PI,287
27-477,PI,326
27-476,PI,236
31-896,PI,4
31-897,PI,127
31-894,PI,39
31-895,PI,216
31-856,PI,218
31-857,PI,136
31-854,PI,141
31-855,PI,177
31-853,PI,50
31-919,PI,261
31-917,PI,351
31-916,PI,239
31-915,PI,48
31-914,PI,198
31-913,PI,104
31-912,PI,199
31-911,PI,156
31-910,PI,230
29-653,PI,294
29-652,PI,30
29-651,PI,348
29-650,PI,309
29-657,PI,6
29-656,PI,284
29-655,PI,128
29-654,PI,333
29-659,PI,173
29-658,PI,283
25-208,PI,404
25-209,PI,391
25-201,PI,420
25-202,PI,337
25-203,PI,395
25-204,PI,336
25-205,PI,394
25-206,PI,244
28-590,PI,13
29-626,PI,7
29-627,PI,0
29-624,PI,0
29-625,PI,5
29-622,PI,237
29-623,PI,67
29-620,PI,172
29-621,PI,0
02-159,PI,194
02-158,PI,264
02-151,PI,107
02-150,PI,285
02-153,PI,263
02-152,PI,335
02-155,PI,331
02-154,PI,251
02-157,PI,393
02-156,PI,396
27-408,PI,396
27-409,PI,385
27-401,PI,194
27-404,PI,125
27-405,PI,377
27-406,PI,471
27-407,PI,365
28-520,PI,421
28-521,PI,423
28-522,PI,437
28-523,PI,424
28-524,PI,456
28-525,PI,477
28-526,PI,302
28-527,PI,498
28-528,PI,419
28-529,PI,325
31-818,PI,78
31-819,PI,126
31-813,PI,137
31-810,PI,154
31-816,PI,248
31-817,PI,311
31-814,PI,39
31-815,PI,208
26-351,PI,365
26-350,PI,372
26-352,PI,357
31-926,PI,7
31-927,PI,224
31-924,PI,158
31-925,PI,73
25-248,PI,419
25-249,PI,371
31-920,PI,209
31-921,PI,214
25-244,PI,433
25-245,PI,2
25-246,PI,32
25-247,PI,327
25-240,PI,154
25-241,PI,206
25-242,PI,404
25-243,PI,299
02-110,PI,200
29-668,PI,244
29-669,PI,313
29-662,PI,0
29-663,PI,283
29-660,PI,371
29-661,PI,263
29-667,PI,320
29-664,PI,303
28-565,PI,309
28-566,PI,332
28-567,PI,342
28-560,PI,434
28-561,PI,246
28-562,PI,219
28-563,PI,121
28-568,PI,353
02-148,PI,342
02-120,PI,274
02-121,PI,340
02-122,PI,356
02-123,PI,352
02-124,PI,282
02-125,PI,260
02-126,PI,339
02-127,PI,203
02-128,PI,364
02-129,PI,210
02-142,PI,230
26-315,PI,421
26-317,PI,402
26-316,PI,449
26-319,PI,337
26-318,PI,328
27-448,PI,11
27-449,PI,338
27-444,PI,294
27-445,PI,280
27-446,PI,297
27-447,PI,314
27-440,PI,341
27-441,PI,291
27-442,PI,230
27-443,PI,244
31-845,PI,231
31-844,PI,172
31-847,PI,134
31-846,PI,109
31-841,PI,136
31-840,PI,123
31-843,PI,180
31-842,PI,226
31-849,PI,98
31-848,PI,40
25-217,PI,411
25-216,PI,252
25-215,PI,355
25-213,PI,418
25-212,PI,387
25-211,PI,358
25-210,PI,485
25-219,PI,381
25-218,PI,383
29-671,PI,269
29-670,PI,330
29-675,PI,329
29-677,PI,311
29-676,PI,299
29-635,PI,78
31-883,PI,329
29-637,PI,277
29-636,PI,366
29-633,PI,26
29-639,PI,285
29-638,PI,151
31-882,PI,244
28-538,PI,354
28-537,PI,416
28-536,PI,393
28-535,PI,425
28-531,PI,376
28-530,PI,190
30-713,PI,4
31-809,PI,260
31-808,PI,241
31-801,PI,181
31-803,PI,289
31-802,PI,259
31-805,PI,279
31-804,PI,266
31-807,PI,3
31-806,PI,316
25-293,PI,340
27-417,PI,392
27-416,PI,387
27-415,PI,420
27-414,PI,389
27-413,PI,369
27-412,PI,362
27-411,PI,434
27-410,PI,389
31-898,PI,286
31-899,PI,158
27-419,PI,358
27-418,PI,351
25-292,PI,374
25-259,PI,362
25-258,PI,373
25-253,PI,234
25-252,PI,336
25-251,PI,303
25-250,PI,149
25-257,PI,306
25-256,PI,329
25-255,PI,224
25-254,PI,214
Total,PI,133403
29-679,PI,257
29-678,PI,249
25-228,PI,375
25-226,PI,259
25-227,PI,194
29-673,PI,334
29-672,PI,189
25-222,PI,283
29-674,PI,105
25-220,PI,2
25-221,PI,356
30-708,PI,232
28-573,PI,223
28-572,PI,344
28-571,PI,5
28-570,PI,5
28-577,PI,12
28-576,PI,329
28-575,PI,2
28-574,PI,80
28-579,PI,63
28-578,PI,72
02-139,PI,304
02-138,PI,415
02-137,PI,161
02-136,PI,58
02-135,PI,354
02-134,PI,378
02-133,PI,96
02-131,PI,392
02-130,PI,185
27-428,PI,317
27-429,PI,348
27-426,PI,339
27-427,PI,326
27-424,PI,348
27-425,PI,316
27-422,PI,476
27-423,PI,383
27-420,PI,418
27-421,PI,310
26-328,PI,305
26-329,PI,394
26-324,PI,405
26-325,PI,345
26-326,PI,423
26-327,PI,395
26-320,PI,372
26-321,PI,471
26-322,PI,441
26-323,PI,406
28-506,PI,426
28-507,PI,351
28-504,PI,384
28-505,PI,408
28-502,PI,420
28-503,PI,435
28-501,PI,400
28-508,PI,190
28-509,PI,0
27-459,PI,205
27-458,PI,211
27-453,PI,235
27-452,PI,309
27-451,PI,263
27-450,PI,368
27-457,PI,304
27-456,PI,247
27-455,PI,281
27-454,PI,325
31-873,PI,62
31-874,PI,0
31-875,PI,318
31-876,PI,22
31-877,PI,126
31-879,PI,69
25-283,PI,210
25-262,PI,338
25-263,PI,284
25-260,PI,367
25-261,PI,269
25-266,PI,373
25-267,PI,178
25-264,PI,396
25-265,PI,384
25-268,PI,198
25-269,PI,228
29-600,PI,0
29-601,PI,256
29-602,PI,219
29-603,PI,293
29-604,PI,289
29-605,PI,235
29-606,PI,310
29-607,PI,361
29-608,PI,249
29-609,PI,211
31-881,PI,162
28-548,PI,326
28-549,PI,359
31-880,PI,108
28-542,PI,361
28-543,PI,342
28-540,PI,495
28-541,PI,367
28-546,PI,372
28-547,PI,497
28-545,PI,402
02-106,PI,360
30-709,PI,247
02-105,PI,122
02-101,PI,112
31-885,PI,108
30-701,PI,12
30-707,PI,151
30-706,PI,242
30-705,PI,168
31-884,PI,286
31-834,PI,211
31-835,PI,422
31-836,PI,246
31-837,PI,224
31-830,PI,115
31-887,PI,213
31-833,PI,269
31-886,PI,250
31-838,PI,201
31-839,PI,22
27-462,PI,372
27-463,PI,287
27-460,PI,326
27-461,PI,386
27-466,PI,314
27-467,PI,294
27-464,PI,308
27-465,PI,274
31-888,PI,232
27-468,PI,294
