Row Label,County,Lane Youmans
Montesano 601,GY,522
Riviera 050,GY,31
McCleary Rural 060,GY,261
Hoquiam 421,GY,228
Satsop 052,GY,117
Aberdeen 132,GY,0
Lois Lane 082,GY,82
Ocosta 092,GY,0
Cutoff032,GY,76
Johns River 094,GY,213
Melbourne 072,GY,223
Bush 058,GY,364
Aberdeen 121,GY,389
Geissler 036,GY,33
Coats Landing 034,GY,197
Hoquiam 441,GY,318
Grayland 096,GY,214
Hoquiam 461,GY,234
Blockhouse 068,GY,202
Boundary 044,GY,35
Westport 901,GY,387
Humptulips 018,GY,40
Chehalis 066,GY,4
Elma 302,GY,350
Aberdeen 111,GY,425
Cohasset 098,GY,138
Burrows 014,GY,14
Quinault 004,GY,102
Porter 062,GY,134
Delezenne 070,GY,247
Pacific Beach 008,GY,147
Aberdeen 131,GY,542
Elma 301,GY,162
Axford 020,GY,94
Brady 048,GY,327
Hoquiam 431,GY,291
Dekay 022,GY,52
Ocean City 012,GY,192
Moclips 010,GY,18
Montesano 603,GY,0
Cosmopolis 201,GY,412
Cedar Creek 064,GY,57
Ocean Shores 801,GY,417
Ocean Shores 802,GY,552
Ocean Shores 803,GY,488
North Wishkah 028,GY,2
Calder 056,GY,181
Lund 088,GY,50
Taholah 002,GY,163
Aberdeen 142,GY,304
Devonshire 074,GY,200
Reynvaan 040,GY,89
Aberdeen Lake 038,GY,3
Aberdeen 161,GY,417
Wilderness 016,GY,78
Hoquiam 451,GY,237
Sierra 086,GY,1
Blue Slough 084,GY,140
Black Creek 046,GY,329
Hoquiam Rural 024,GY,225
Wishkah 030,GY,184
Stover 026,GY,47
Oakville 701,GY,98
Aberdeen 141,GY,388
Vesta 076,GY,40
Artic 078,GY,40
Wynoochee 042,GY,4
Montesano 602,GY,521
Aberdeen 151,GY,238
Central Park 080,GY,435
Newskah 090,GY,14
McCleary 501,GY,288
Neilton 006,GY,53
Total,GY,14386
Hoquiam 411,GY,286
