Row Label,County,Greg Sandstrom,Jeff Wallis
LEMOLO 435,KP,274,121
ANNAPOLIS 212,KP,443,188
MEADOWDALE 150,KP,279,85
BELLA VISTA 413,KP,280,116
LIGHTHOUSE POINT 292,KP,391,110
CLEAR CREEK 120,KP,307,120
AUGUSTA 461,KP,139,141
HEINS CREEK 297,KP,0,0
HANSVILLE 415,KP,228,104
TORVANGER 345,KP,322,218
BREMERTON 012,KP,53,44
BREMERTON 013,KP,208,161
BREMERTON 015,KP,249,176
BREMERTON 016,KP,54,48
WINSLOW 304,KP,422,319
HIGHLAND 423,KP,215,72
LAKE HELENA 214,KP,311,118
DICKENSON 282,KP,353,116
UNIVERSITY POINT 142,KP,230,90
SANDY HOOK 464,KP,202,137
BARKER CREEK 147,KP,386,166
BAYVIEW 087,KP,80,50
POWERLINE 086(*),KP,0,0
ISLAND CENTER 320,KP,241,175
EVERGREEN RIDGE 426,KP,133,54
REGAL 131,KP,79,46
COUNTRY CLUB 113,KP,183,82
POULSBO 405,KP,315,168
POULSBO 404,KP,385,140
POULSBO 407,KP,283,115
POULSBO 406,KP,405,187
SEDGWICK 272,KP,353,170
BERRY LAKE 279,KP,222,92
POULSBO 403,KP,295,133
EBBERT 247,KP,385,132
ILLAHEE 065,KP,375,148
COTTONWOOD 125,KP,276,129
MARION 090,KP,45,42
OLYMPIC 099,KP,38,17
KITSAP LAKE 085(*),KP,0,0
GILBERTON 140,KP,271,122
STRIEBEL 453,KP,312,166
AZALEA 302,KP,317,205
YUKON 241,KP,272,96
FOREST RIDGE 126,KP,195,83
FAIRVIEW 135,KP,211,78
ANDERSON CREEK 163,KP,300,106
PORT GAMBLE 450,KP,295,174
RAINIER 067,KP,346,155
BRASCH 213,KP,377,124
GAMBLEWOOD 454,KP,204,115
CENTRAL VALLEY 128,KP,352,156
HOLLY 158,KP,84,44
BURLEY 218,KP,347,167
LUOTO 122,KP,186,76
POINT JEFFERSON 419,KP,248,148
BREMERTON 296,KP,0,0
MORKEN 161,KP,427,195
INDIANOLA 420,KP,353,235
TWIN LAKES 285,KP,98,39
BELFAIR VALLEY 280,KP,120,48
KARIOTIS 143,KP,291,171
TRACYTON 170,KP,243,95
ROCKY POINT 083,KP,373,212
HERITAGE PARK 112,KP,266,85
BREMERTON 294,KP,0,0
ORCA 421,KP,191,151
MINTERBROOK 216,KP,163,69
ALASKA 221,KP,416,170
GLENWOOD 232,KP,486,138
MEADOWMEER 321,KP,116,87
APEX 162,KP,399,166
OLALLA 265,KP,260,101
WINSTON 129,KP,151,55
RIDGETOP 149,KP,235,112
EAGLE CREST 164,KP,433,122
LOCKER 246,KP,454,184
BROWNSVILLE 105,KP,453,187
KINGSTON 430,KP,450,246
VENA 173,KP,268,137
CEDAR 211,KP,282,146
BREMERTON 041,KP,221,112
BREMERTON 040,KP,247,139
POULSBO 401,KP,393,204
BREMERTON 046,KP,267,142
CAMBRIDGE 144,KP,235,65
BREMERTON 056,KP,248,117
TWIN SPITS 417,KP,379,172
BIG VALLEY 441,KP,250,117
CHARLAND 110,KP,266,97
SKIFF POINT 328,KP,234,149
LOST HIGHWAY 157,KP,330,180
TRIDENT 101,KP,57,45
WILSON CREEK 242,KP,288,133
SYLVAN 066,KP,288,161
PORT ORCHARD 201,KP,285,123
EVERGREEN 257,KP,496,168
FERNWOOD 230,KP,417,161
MANCHESTER 255,KP,304,94
SUNNYSLOPE 281,KP,267,122
LOFALL 442,KP,486,174
BLAKELY 310,KP,218,172
PORT ORCHARD 207,KP,291,137
WOODMERE 127,KP,389,161
BREMERTON 058,KP,278,149
UELAND 082,KP,0,0
WATERMAN 295,KP,252,66
BREMERTON 054,KP,149,87
PIONEER 152,KP,433,153
SILVERDALE 160,KP,332,158
BREMERTON 051,KP,25,14
BREMERTON 052,KP,181,101
BREMERTON 053,KP,340,191
SEABECK 155,KP,515,169
PARKWOOD 270,KP,366,165
ISLAND LAKE 427,KP,307,126
BREMERTON 109,KP,21,18
BREIDABLIK 410,KP,309,171
BREMERTON 107,KP,0,0
WHISPERING PINES 227,KP,360,140
FRAGARIA 259,KP,321,122
LOVGREN 332,KP,163,106
BANDIX 263,KP,398,143
FORT WARD 318,KP,271,181
FUSON 175,KP,288,144
HARPER 240,KP,313,123
WILLOCK 258,KP,293,133
LIBERTY 325,KP,241,142
PORT ORCHARD 203,KP,160,79
SPRING CREEK 217,KP,263,90
MULLENIX 260,KP,390,155
LARSON 153,KP,408,168
FINCH 314,KP,204,140
ROLLING BAY 330,KP,282,168
BREMERTON 029,KP,223,144
TOTTEN 463,KP,227,155
WOODRIDGE 222,KP,201,77
MANZANITA 336,KP,167,151
OLD FRONTIER 106,KP,421,138
BREMERTON 022,KP,169,129
NEBRASKA 223,KP,314,135
EAGLE HARBOR 317,KP,186,147
