Row Label,County,Repealed,Maintained
MILL CREEK,ST,92,59
KETTLE FALLS 1,ST,213,122
COLUMBIA,ST,322,173
ARDEN 1,ST,194,123
COLVILLE 1,ST,86,51
COLVILLE 2,ST,86,89
DAISY,ST,121,61
COLVILLE 4,ST,209,167
COLVILLE 5,ST,193,118
COLVILLE 6,ST,108,86
COLVILLE 7,ST,116,83
COLVILLE VALLEY,ST,342,241
STONE LODGE,ST,234,143
ECHO VALLEY,ST,124,92
LOON LAKE 2,ST,150,112
NARCISSE,ST,267,182
LOON LAKE 1,ST,279,189
COLVILLE 3,ST,107,78
CAMAS PRAIRIE,ST,153,67
EVANS,ST,141,87
SPRINGDALE,ST,55,16
MEYERS FALLS 2,ST,313,173
NORTHPORT,ST,71,28
SUMMIT,ST,152,106
KELLY HILL,ST,66,39
CLAYTON 2,ST,259,155
CLAYTON 1,ST,137,109
ARDEN 2,ST,219,137
MEYERS FALLS 1,ST,187,120
WAITTS LAKE,ST,240,131
WELLPINIT,ST,105,73
CHEWELAH 3,ST,131,83
HUNTERS,ST,251,141
ONION CREEK,ST,81,62
CHEWELAH 2,ST,88,52
CHEWELAH 1,ST,161,114
ECHO,ST,226,143
QUARTZITE 1,ST,309,233
QUARTZITE 2,ST,157,124
TUM TUM 5,ST,182,176
TUM TUM 4,ST,187,133
ROCK CUT,ST,46,42
TUM TUM 1,ST,136,98
TUM TUM 3,ST,305,213
TUM TUM 2,ST,227,204
MARCUS,ST,44,19
Total,ST,9681,6484
FIRST THOUGHT,ST,36,24
WALKERS PRAIRIE,ST,161,113
CAMAS,ST,214,139
ADDY,ST,236,171
WILLIAMS VALLEY,ST,287,205
ORIN 1,ST,179,85
ORIN 2,ST,201,130
KETTLE FALLS 2,ST,120,92
CHEWELAH FORE,ST,96,71
RICE,ST,113,81
VALLEY 1,ST,26,34
VALLEY 2,ST,140,92
