Row Label,County,Yes,No
BELFAIR,MA,186,303
MILL CREEK,MA,332,384
HARSTINE,MA,474,329
DAYTON,MA,184,279
DOWNTOWN,MA,249,209
AIRPORT,MA,358,398
MATLOCK,MA,217,323
AGATE,MA,246,313
JOHN&#39;S PRAIRIE,MA,168,264
OLYMPIC VIEW,MA,348,316
ISABELLA,MA,138,220
CUSHMAN,MA,396,257
MASON LAKE,MA,262,245
SAND HILL,MA,246,351
KAMILCHE POINT,MA,178,138
HILLCREST,MA,195,182
EELLS,MA,76,145
BORDEAUX,MA,34,54
ANGLESIDE,MA,286,293
ARCADIA,MA,364,331
HOOD CANAL,MA,321,353
UNION,MA,529,383
LIMERICK,MA,438,374
FAWN LAKE,MA,321,352
TIGER LAKE,MA,110,216
PICKERING,MA,255,287
CALLANAN,MA,13,10
KAMILCHE,MA,93,152
VICTOR,MA,211,236
TWANOH,MA,212,160
OAKLAND BAY,MA,195,274
TAHUYA,MA,261,317
ALLYN,MA,578,461
DEWATTO,MA,283,378
TIMBERLAKE,MA,337,342
GRAPEVIEW,MA,340,385
FAIR HARBOR,MA,227,220
TRAIL&#39;S END,MA,260,382
SKOKOMISH,MA,73,44
Total,MA,9994,10660
