Row Label,County,Yes,No
ENDICOTT 147,WT,22,102
LACROSSE IN,WT,40,111
PULLMAN CITY 131(*),WT,0,0
GARFIELD IN,WT,81,135
PULLMAN CITY 114,WT,27,15
PULLMAN 235,WT,381,122
FARMINGTON 103,WT,9,29
LAMONT IN,WT,5,19
PULLMAN 234,WT,59,33
PULLMAN CITY 133(*),WT,0,0
COLFAX CITY 139,WT,124,142
PULLMAN CITY 127,WT,27,22
MALDEN IN,WT,18,42
PULLMAN CITY 125,WT,20,7
PULLMAN CITY 124,WT,28,13
PULLMAN CITY 123,WT,217,114
PULLMAN CITY 122,WT,124,50
PULLMAN CITY 121,WT,141,72
PULLMAN CITY 120,WT,510,277
UNIONTOWN 109,WT,26,40
TEKOA 101,WT,25,36
PULLMAN CITY 129,WT,72,32
PULLMAN CITY 128,WT,52,25
COLFAX RURAL 137,WT,93,194
DUSTY 143,WT,11,45
ALBION 112,WT,65,60
COLFAX CITY 142,WT,145,220
PULLMAN CITY 126,WT,28,8
COLTON 108,WT,49,65
COLFAX CITY 141,WT,97,109
WILCOX 138,WT,26,111
HAY 144,WT,3,23
PULLMAN 228,WT,24,12
ALBION IN,WT,77,109
COLFAX RURAL 136,WT,46,128
COLTON IN,WT,84,107
ROSALIA IN,WT,78,155
TEKOA IN,WT,110,140
MALDEN 150,WT,3,8
HOOPER 145,WT,2,19
OAKESDALE IN,WT,79,119
ST JOHN IN,WT,95,145
LAMONT 148,WT,6,45
ROSALIA 151,WT,17,62
ST JOHN 149,WT,50,192
PULLMAN CITY 135,WT,225,80
ENDICOTT IN,WT,43,94
COLFAX CITY 140,WT,93,155
PULLMAN CITY 134,WT,26,12
OAKESDALE 102,WT,27,85
PULLMAN CITY 118,WT,278,107
PULLMAN CITY 119,WT,253,92
PULLMAN CITY 130,WT,75,24
PULLMAN 218,WT,279,152
PULLMAN CITY 132(*),WT,0,0
PULLMAN RURAL 110,WT,196,281
PULLMAN RURAL 111,WT,74,67
THORNTON 152,WT,22,39
LACROSSE 146,WT,20,64
PULLMAN CITY 116,WT,345,210
PULLMAN CITY 117,WT,106,76
PALOUSE 107,WT,204,206
PULLMAN CITY 115,WT,9,4
PALOUSE RURAL 106,WT,93,123
UNIONTOWN IN,WT,50,63
STEPTOE 104,WT,29,85
FARMINGTON IN,WT,30,49
PULLMAN CITY 113,WT,131,72
GARFIELD 105,WT,25,86
Total,WT,5833,5742
