Row Label,County,Duane A. Davidson
Griffin,BE,4
215,BE,145
Ridge,BE,0
Kiona,BE,322
210,BE,157
Hedges,BE,170
Weidle,BE,38
Randy,BE,94
W2 - P641,BE,145
W2 - P640,BE,210
135,BE,176
165,BE,148
W1 - P685,BE,288
W1 - P686,BE,236
W1 - P680,BE,288
W1 - P681,BE,205
W1 - P682,BE,334
W1 - P683,BE,212
Columbia,BE,0
El Rancho,BE,327
Benton South,BE,193
W3 - P545,BE,121
French,BE,29
289,BE,338
288,BE,204
(none),BE,216
281,BE,300
280,BE,273
283,BE,184
220,BE,124
285,BE,347
284,BE,205
287,BE,145
286,BE,174
235,BE,131
Pearson,BE,5
Apricot,BE,58
Benton East,BE,0
McBee,BE,2
Candy,BE,5
455,BE,193
Reata,BE,186
W1 - P670,BE,204
W3-P511,BE,19
W1 - P675,BE,102
W1 - P674,BE,154
265,BE,170
W1 - P676,BE,329
Harrington,BE,289
W3 - P558,BE,322
W3 - P559,BE,297
Carley,BE,0
W3 - P552,BE,228
W3 - P553,BE,219
W3 - P550,BE,253
W3 - P551,BE,200
W3 - P556,BE,287
W3 - P557,BE,256
WR 11,BE,242
W3 - P555,BE,198
WR 17,BE,172
130,BE,175
WR 16,BE,162
Benton North,BE,282
292,BE,180
293,BE,135
290,BE,245
Badger,BE,175
Sacagawea,BE,1
Crow Butte,BE,28
195,BE,174
Washington,BE,81
311,BE,0
310,BE,247
Mills,BE,278
Rattlesnake,BE,54
Liberty,BE,9
Vineyard,BE,0
271,BE,111
W1 - P660,BE,224
W1 - P667,BE,109
W1 - P664,BE,371
W1 - P665,BE,297
278,BE,256
279,BE,89
W1 - P668,BE,361
W1 - P669,BE,153
175,BE,365
Susie,BE,18
Walnut Grove,BE,143
Kennewick Valley,BE,215
Yakima,BE,4
Hawthorne,BE,142
Expansion,BE,1
W3 - P560,BE,112
255,BE,194
Yellowstone,BE,123
Cook,BE,13
Celilo,BE,236
WR 10,BE,22
Orchard,BE,13
300,BE,206
301,BE,222
Jewel,BE,28
305,BE,209
W1 - P657,BE,179
W1 - P656,BE,116
W1 - P655,BE,141
Shockley,BE,4
240,BE,287
W1 - P651,BE,48
W1 - P650,BE,269
Ivey,BE,164
105,BE,150
245,BE,168
Hanford 4,BE,0
Hanford 3,BE,0
Hanford 2,BE,0
Hanford 1,BE,0
Cascade,BE,208
270,BE,241
Roe,BE,13
WR 1,BE,117
W2 - P633,BE,236
Cone,BE,134
W3 - P540,BE,213
160,BE,252
291,BE,266
282,BE,336
W2 - P635,BE,274
Elk,BE,0
125,BE,147
450,BE,250
Salmon,BE,45
Umatilla,BE,88
W1 - P645,BE,47
W1 - P646,BE,80
Gage,BE,4
Bobbie,BE,0
W2 - P639,BE,142
W2 - P601,BE,125
W2 - P600,BE,111
Riverside,BE,241
W2 - P605,BE,161
W1 - P691,BE,39
170,BE,169
W3 - P505,BE,164
Buena Vista,BE,350
W3 - P500,BE,36
Demoss,BE,15
Sunny,BE,56
316,BE,0
180,BE,120
W2 - P570,BE,207
186,BE,65
Dot,BE,117
W2 - P575,BE,92
185,BE,95
250,BE,205
Onion,BE,0
465,BE,230
Horse Heaven,BE,31
460,BE,199
190,BE,215
315,BE,362
Enterprise,BE,141
W2 - P590,BE,154
W2 - P610,BE,147
W2 - P595,BE,172
Prosser North,BE,219
W2 - P615,BE,63
115,BE,134
W3 - P515,BE,118
W3 - P510,BE,108
225,BE,174
W2 - P565,BE,109
Canyon,BE,215
295,BE,221
W2 - P560,BE,126
Roza,BE,0
Edgewater,BE,176
W2 - P625,BE,227
110,BE,182
151,BE,384
150,BE,284
Vista,BE,104
WR 4,BE,300
Legion,BE,199
Cherry,BE,234
Oak,BE,104
WR 9,BE,168
WR 8,BE,291
W1-P663,BE,204
Paterson,BE,14
WR 2,BE,136
WR 3,BE,114
W2 - P626,BE,129
W2 - P580,BE,144
W3 - P520,BE,78
WR 7,BE,271
Chandler,BE,31
W3 - P525,BE,128
W2 - P585,BE,116
W2-P574,BE,127
230,BE,138
WR12,BE,277
WR13,BE,177
WR14,BE,304
WR15,BE,207
WR 6,BE,289
320,BE,317
WR 5,BE,92
155,BE,307
W2 - P620,BE,163
White Bluffs,BE,294
200,BE,174
145,BE,284
205,BE,157
140,BE,151
275,BE,81
W3 - P535,BE,100
W2 - P630,BE,206
Goose Ridge,BE,49
W2 - P634,BE,300
Reese,BE,28
W2 - P636,BE,227
W2 - P637,BE,266
W2 - P638,BE,264
Wheat,BE,0
Black Rock,BE,1
W1 - P690,BE,286
W3 - P530,BE,126
South,BE,164
Ida,BE,0
120,BE,215
Finley,BE,324
Tumble Weed,BE,43
Miller,BE,1
470,BE,174
260,BE,165
W3-P516,BE,10
Red Mountain,BE,196
Total,BE,38215
Clements,BE,52
