Row Label,County,Eddie Yoon,Charles W. Johnson
MILL CREEK,ST,49,76
KETTLE FALLS 1,ST,80,173
COLUMBIA,ST,123,253
ARDEN 1,ST,48,176
COLVILLE 1,ST,37,83
COLVILLE 2,ST,39,106
DAISY,ST,48,99
COLVILLE 4,ST,79,214
COLVILLE 5,ST,72,180
COLVILLE 6,ST,54,105
COLVILLE 7,ST,44,122
COLVILLE VALLEY,ST,95,333
STONE LODGE,ST,91,214
ECHO VALLEY,ST,53,116
LOON LAKE 2,ST,63,165
NARCISSE,ST,102,227
LOON LAKE 1,ST,101,289
COLVILLE 3,ST,36,113
CAMAS PRAIRIE,ST,50,125
EVANS,ST,48,125
SPRINGDALE,ST,25,36
MEYERS FALLS 2,ST,113,283
NORTHPORT,ST,13,70
SUMMIT,ST,53,152
KELLY HILL,ST,32,52
CLAYTON 2,ST,100,236
CLAYTON 1,ST,64,135
ARDEN 2,ST,71,206
MEYERS FALLS 1,ST,51,172
WAITTS LAKE,ST,81,220
WELLPINIT,ST,54,90
CHEWELAH 3,ST,44,137
HUNTERS,ST,91,210
ONION CREEK,ST,45,55
CHEWELAH 2,ST,31,77
CHEWELAH 1,ST,81,147
ECHO,ST,68,220
QUARTZITE 1,ST,120,330
QUARTZITE 2,ST,62,177
TUM TUM 5,ST,85,207
TUM TUM 4,ST,84,165
ROCK CUT,ST,28,38
TUM TUM 1,ST,66,122
TUM TUM 3,ST,140,278
TUM TUM 2,ST,107,255
MARCUS,ST,22,31
Total,ST,3776,9036
FIRST THOUGHT,ST,11,30
WALKERS PRAIRIE,ST,82,161
CAMAS,ST,103,155
ADDY,ST,79,238
WILLIAMS VALLEY,ST,140,266
ORIN 1,ST,44,143
ORIN 2,ST,59,185
KETTLE FALLS 2,ST,51,120
CHEWELAH FORE,ST,40,85
RICE,ST,50,96
VALLEY 1,ST,15,34
VALLEY 2,ST,59,128
