Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
VAN FLEET,SK,194,98
GEAR,SK,249,86
BIRDSVIEW,SK,244,111
BURLINGTON 7,SK,154,35
BOW,SK,322,89
ROCKPORT,SK,220,89
ROSARIO,SK,392,88
MOUNT VERNON 16,SK,370,69
EDISON,SK,152,44
MOUNT VERNON 14,SK,336,82
MOUNT VERNON 12,SK,118,28
RIDGEWAY,SK,177,62
MOUNT VERNON 10,SK,138,42
SAMISH,SK,183,45
MOUNT VERNON 19,SK,295,86
BAY VIEW,SK,214,59
BURLINGTON 2,SK,126,58
STARBIRD,SK,215,70
BURLINGTON 1,SK,119,51
BURLINGTON 6,SK,132,36
TERRACE,SK,392,111
BURLINGTON 4,SK,180,71
BURLINGTON 5,SK,242,81
MANSFORD,SK,29,24
MAPES,SK,86,32
FIR,SK,93,40
LYMAN,SK,45,29
GAGES,SK,54,26
NOOKACHAMPS,SK,132,67
SAUK,SK,232,99
VEDERE,SK,151,54
HAMILTON,SK,25,15
BLANCHARD(*),SK,0,0
POINT WILLIAMS,SK,220,43
SKYRIDGE,SK,219,62
SEDRO WOOLLEY  7(*),SK,0,0
CONCRETE,SK,93,35
ALDER,SK,116,70
CLEAR LAKE,SK,221,101
FRUITDALE,SK,112,45
SWINOMISH,SK,288,83
SEDRO WOOLLEY  6,SK,228,91
MINKLER,SK,151,71
ANACORTES 20,SK,406,131
TINGLEY,SK,121,52
ANACORTES 22,SK,376,107
ANACORTES 24,SK,593,153
BIG LAKE,SK,322,95
ANACORTES 5,SK,4,8
COLLINS,SK,140,52
AVON,SK,219,78
MARCH POINT,SK,8,7
MOUNT VERNON 30,SK,297,96
FIDALGO,SK,308,103
MOUNT VERNON  4,SK,358,100
MOUNT VERNON  5,SK,71,22
MOUNT VERNON  6,SK,183,75
MOUNT VERNON  7,SK,273,75
WHITNEY,SK,112,20
MOUNT VERNON  2,SK,104,42
MOUNT VERNON  3,SK,220,88
LAKE SIXTEEN,SK,125,34
MOUNT VERNON  8,SK,445,146
MOUNT VERNON  9,SK,129,42
DEWEY,SK,446,124
BELFAST,SK,142,50
MOUNT VERNON 15,SK,152,57
MCMURRAY EAST,SK,46,27
LAKE CAVANAUGH,SK,78,19
SHELTER BAY,SK,274,91
MOUNT VERNON 27,SK,85,25
MOUNT VERNON 22,SK,409,144
MOUNT VERNON 21,SK,416,123
LOOKOUT,SK,277,111
MOUNT VERNON 11,SK,252,48
ANACORTES  9,SK,287,81
COUNTRY CLUB,SK,114,35
ANACORTES 21,SK,546,153
MOUNT VERNON  1,SK,102,32
SEDRO WOOLLEY  2,SK,249,97
SEDRO WOOLLEY  3,SK,192,57
SEDRO WOOLLEY  1,SK,242,85
MCMURRAY WEST,SK,114,43
SEDRO WOOLLEY  4,SK,244,90
SEDRO WOOLLEY  5,SK,318,122
ANACORTES  1,SK,199,81
MCRAE,SK,337,124
ANACORTES  6,SK,245,72
ANACORTES  7,SK,497,145
ANACORTES  4,SK,167,70
VIEW TERRACE(*),SK,0,0
SNEE OOSH,SK,199,69
MONTBORNE,SK,326,105
STERLING,SK,68,30
FREDONIA,SK,47,21
CASCADE,SK,52,19
DIGBY,SK,25,9
HARMONY,SK,150,38
PADILLA,SK,57,17
DUNBAR,SK,40,26
LA CONNER,SK,268,58
CEDARDALE,SK,92,19
BURLINGTON 3,SK,63,22
PRAIRIE,SK,229,110
RIVERBEND,SK,12,2
HAMBURG,SK,103,34
ANACORTES 11,SK,379,89
ALLEN,SK,108,26
ANACORTES 17,SK,477,117
CONWAY,SK,110,28
LITTLE MOUNTAIN,SK,120,31
GUEMES,SK,247,60
ALGER,SK,166,61
DODGE VALLEY,SK,116,28
Total,SK,22621,7320
