Row Label,County,Nicholas (Nick) Henderson,Scott Hammond
DAMMAN,KS,142,193
VANTAGE,KS,12,12
PARK,KS,180,147
TEANAWAY,KS,217,90
ELLENSBURG 20,KS,27,50
CLE ELUM 4,KS,217,41
ELLENSBURG 22,KS,75,96
ELLENSBURG 23,KS,75,135
CLE ELUM 1,KS,147,42
ELLENSBURG 25,KS,153,186
CLE ELUM 3,KS,48,20
CLE ELUM 2,KS,98,14
SOUTH CLE ELUM,KS,152,30
FAIRVIEW,KS,100,110
RONALD,KS,112,36
NORTHEAST FAIRVIEW,KS,146,189
ELLENSBURG 24,KS,166,203
ELLENSBURG 9,KS,22,65
ELLENSBURG 8,KS,33,47
RIDGEWAY,KS,248,226
ELLENSBURG 1,KS,16,34
ELLENSBURG 2,KS,17,56
ELLENSBURG 5,KS,26,59
ELLENSBURG 4,KS,11,33
ELLENSBURG 7,KS,22,31
ELLENSBURG 6,KS,20,36
EAST SANDERS,KS,181,144
THRALL,KS,144,161
ELLENSBURG 21,KS,51,68
MOUNTAIN,KS,100,45
HYAK,KS,51,37
ROSLYN 1,KS,109,68
ROSLYN 2,KS,83,61
KITTITAS 1,KS,63,68
KACHESS,KS,65,35
MANASTASH,KS,129,138
DENMARK,KS,237,200
ROSLYN OUTLYING,KS,47,9
SOUTH ELLENSBURG,KS,181,241
DRY CREEK,KS,193,173
NORTH CENTRAL,KS,136,138
ELLENSBURG 11,KS,50,84
ELLENSBURG 10,KS,58,83
ELLENSBURG 13,KS,32,72
ELLENSBURG 12,KS,41,81
ELLENSBURG 15,KS,73,83
ELLENSBURG 14,KS,53,82
ELLENSBURG 17,KS,83,113
ELLENSBURG 16,KS,80,155
ELLENSBURG 19,KS,93,203
ELLENSBURG 18,KS,6,25
WESTSIDE,KS,304,105
EASTON,KS,257,85
PEOH POINT,KS,234,79
SANDERS,KS,65,79
KITTITAS 2,KS,85,60
NORTH ELLENSBURG,KS,206,222
THORP,KS,166,134
SWAUK,KS,136,66
Total,KS,6274,5578
