Row Label,County,Dolores Gilmore,Kelly Emerson
LEMOLO 435,KP,217,198
ANNAPOLIS 212,KP,321,316
MEADOWDALE 150,KP,136,230
BELLA VISTA 413,KP,212,198
LIGHTHOUSE POINT 292,KP,257,263
CLEAR CREEK 120,KP,204,238
AUGUSTA 461,KP,201,91
HEINS CREEK 297,KP,0,0
HANSVILLE 415,KP,166,178
TORVANGER 345,KP,462,165
BREMERTON 012,KP,65,34
BREMERTON 013,KP,218,157
BREMERTON 015,KP,247,186
BREMERTON 016,KP,63,37
WINSLOW 304,KP,666,166
HIGHLAND 423,KP,152,149
LAKE HELENA 214,KP,155,277
DICKENSON 282,KP,207,273
UNIVERSITY POINT 142,KP,149,179
SANDY HOOK 464,KP,200,159
BARKER CREEK 147,KP,262,299
BAYVIEW 087,KP,72,62
POWERLINE 086(*),KP,0,0
ISLAND CENTER 320,KP,339,115
EVERGREEN RIDGE 426,KP,82,110
REGAL 131,KP,61,67
COUNTRY CLUB 113,KP,138,132
POULSBO 405,KP,315,194
POULSBO 404,KP,301,247
POULSBO 407,KP,231,189
POULSBO 406,KP,341,268
SEDGWICK 272,KP,242,291
BERRY LAKE 279,KP,153,162
POULSBO 403,KP,225,218
EBBERT 247,KP,249,277
ILLAHEE 065,KP,263,271
COTTONWOOD 125,KP,207,207
MARION 090,KP,50,36
OLYMPIC 099,KP,30,26
KITSAP LAKE 085(*),KP,0,0
GILBERTON 140,KP,185,212
STRIEBEL 453,KP,278,228
AZALEA 302,KP,467,130
YUKON 241,KP,173,204
FOREST RIDGE 126,KP,135,152
FAIRVIEW 135,KP,114,176
ANDERSON CREEK 163,KP,159,259
PORT GAMBLE 450,KP,254,228
RAINIER 067,KP,255,267
BRASCH 213,KP,210,306
GAMBLEWOOD 454,KP,176,164
CENTRAL VALLEY 128,KP,245,271
HOLLY 158,KP,63,70
BURLEY 218,KP,243,293
LUOTO 122,KP,89,181
POINT JEFFERSON 419,KP,248,165
BREMERTON 296,KP,0,0
MORKEN 161,KP,273,383
INDIANOLA 420,KP,452,183
TWIN LAKES 285,KP,54,86
BELFAIR VALLEY 280,KP,73,97
KARIOTIS 143,KP,221,253
TRACYTON 170,KP,163,179
ROCKY POINT 083,KP,314,286
HERITAGE PARK 112,KP,155,200
BREMERTON 294,KP,0,0
ORCA 421,KP,214,138
MINTERBROOK 216,KP,96,134
ALASKA 221,KP,329,272
GLENWOOD 232,KP,220,409
MEADOWMEER 321,KP,171,60
APEX 162,KP,232,347
OLALLA 265,KP,184,199
WINSTON 129,KP,94,115
RIDGETOP 149,KP,151,203
EAGLE CREST 164,KP,273,283
LOCKER 246,KP,303,347
BROWNSVILLE 105,KP,288,363
KINGSTON 430,KP,413,318
VENA 173,KP,220,196
CEDAR 211,KP,213,227
BREMERTON 041,KP,214,133
BREMERTON 040,KP,254,145
POULSBO 401,KP,312,309
BREMERTON 046,KP,224,189
CAMBRIDGE 144,KP,119,191
BREMERTON 056,KP,205,165
TWIN SPITS 417,KP,373,224
BIG VALLEY 441,KP,181,195
CHARLAND 110,KP,142,220
SKIFF POINT 328,KP,327,99
LOST HIGHWAY 157,KP,203,309
TRIDENT 101,KP,37,67
WILSON CREEK 242,KP,205,231
SYLVAN 066,KP,268,192
PORT ORCHARD 201,KP,242,171
EVERGREEN 257,KP,317,359
FERNWOOD 230,KP,231,354
MANCHESTER 255,KP,225,179
SUNNYSLOPE 281,KP,173,231
LOFALL 442,KP,348,346
BLAKELY 310,KP,351,103
PORT ORCHARD 207,KP,199,225
WOODMERE 127,KP,256,302
BREMERTON 058,KP,267,173
UELAND 082,KP,0,0
WATERMAN 295,KP,144,181
BREMERTON 054,KP,138,104
PIONEER 152,KP,273,325
SILVERDALE 160,KP,243,258
BREMERTON 051,KP,18,24
BREMERTON 052,KP,164,131
BREMERTON 053,KP,307,245
SEABECK 155,KP,265,432
PARKWOOD 270,KP,274,259
ISLAND LAKE 427,KP,196,252
BREMERTON 109,KP,18,19
BREIDABLIK 410,KP,246,242
BREMERTON 107,KP,0,0
WHISPERING PINES 227,KP,204,306
FRAGARIA 259,KP,212,246
LOVGREN 332,KP,215,92
BANDIX 263,KP,218,340
FORT WARD 318,KP,386,136
FUSON 175,KP,199,234
HARPER 240,KP,260,187
WILLOCK 258,KP,190,248
LIBERTY 325,KP,316,126
PORT ORCHARD 203,KP,124,115
SPRING CREEK 217,KP,165,199
MULLENIX 260,KP,266,291
LARSON 153,KP,223,357
FINCH 314,KP,276,109
ROLLING BAY 330,KP,371,141
BREMERTON 029,KP,228,152
TOTTEN 463,KP,262,136
WOODRIDGE 222,KP,120,163
MANZANITA 336,KP,272,89
OLD FRONTIER 106,KP,231,340
BREMERTON 022,KP,173,135
NEBRASKA 223,KP,191,257
EAGLE HARBOR 317,KP,292,80
NEW BROOKLYN 322,KP,238,88
TOLO 333,KP,320,122
FERNCLIFF 315,KP,519,170
S&#39;KLALLAM 418,KP,40,3
PORT ORCHARD 202,KP,249,261
NAVY YARD CITY 095,KP,229,202
PORT ORCHARD 200,KP,116,111
SANTA FE 148,KP,173,225
PORT ORCHARD 206,KP,0,0
FIRGLADE 137,KP,129,181
PORT ORCHARD 204,KP,214,186
PORT ORCHARD 205,KP,457,515
HUNTER 219,KP,150,250
CONIFER 271,KP,114,149
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
KEYPORT 425,KP,272,318
SCANDIA 455,KP,226,283
BREMERTON 293(*),KP,0,0
PORT MADISON 340,KP,267,124
ALPINE 111,KP,173,216
LUNDBERG 250,KP,230,256
POINT NO POINT 416,KP,447,323
VINLAND 412,KP,272,305
LINCOLN 440,KP,196,247
BREMERTON 032,KP,36,23
OVERLOOK 267,KP,232,149
BREMERTON 030,KP,212,163
BREMERTON 031,KP,124,97
BREMERTON 037,KP,272,289
APPLE TREE 422,KP,327,222
ERLANDS POINT 130,KP,164,177
RIDGEPOINT 141,KP,158,195
PERRY 073,KP,145,134
CRYSTAL SPRINGS 312,KP,515,174
CRESCENT VALLEY 266,KP,230,277
SHERMAN HEIGHTS 278,KP,9,7
SPINNAKER 146,KP,177,151
SINCLAIR 275,KP,123,125
PORT ORCHARD 215,KP,0,0
BLUE HERON 301,KP,573,143
SYMINGTON 151,KP,118,149
PORT ORCHARD 210,KP,123,184
FRONTIER 102,KP,213,339
RIDGEWAY 084,KP,52,79
WING POINT 305,KP,274,139
PEARSON 445,KP,295,374
BREMERTON 114,KP,0,0
SEABOLD 335,KP,416,178
TIBARDIS 139,KP,100,121
BREMERTON 007,KP,4,6
BREMERTON 006,KP,173,88
BREMERTON 005,KP,183,88
SUQUAMISH 460,KP,266,107
BREMERTON 003,KP,225,165
BREMERTON 002,KP,115,78
BREMERTON 001,KP,153,85
BUCKLIN 121,KP,247,274
MADRONA 269,KP,177,165
