Row Label,County,Dave Aldrich,Bruce King
MARYSVILLE 17,SN,111,125
WAGNER,SN,148,143
LUNDS GULCH,SN,55,34
STRAUS,SN,167,173
EVERETT  73,SN,129,115
LYNNWOOD  6,SN,123,86
EVERETT  71,SN,66,63
MENZEL,SN,98,102
EVERETT  77,SN,98,99
EVERETT  76,SN,106,101
RIDGEWAY,SN,80,88
EVERETT  74,SN,83,63
EVERETT  79,SN,115,101
EVERETT  78,SN,66,54
NILE,SN,0,0
RHODY RIDGE,SN,94,68
LARIMER,SN,128,88
ARNOT,SN,104,104
CHATHAM,SN,26,25
KINGMAN,SN,203,183
MANN,SN,133,89
FIR,SN,126,119
MARYSVILLE 44,SN,178,153
MUKILTEO 18,SN,193,136
MUKILTEO 19,SN,124,82
MARYSVILLE 41,SN,87,91
MARYSVILLE 40,SN,94,102
MARYSVILLE 43,SN,117,130
MARYSVILLE 42,SN,111,105
SILVER FIRS,SN,176,135
PORT SUSAN,SN,193,174
MUKILTEO 10,SN,115,77
MUKILTEO 11,SN,144,87
MUKILTEO 16,SN,195,150
MUKILTEO 17,SN,200,151
MUKILTEO 14,SN,193,126
MUKILTEO 15,SN,43,49
MILL CREEK 18,SN,135,93
MILL CREEK 19,SN,177,161
MILL CREEK 14,SN,5,3
MILL CREEK 15,SN,157,114
MILL CREEK 16,SN,116,49
MILL CREEK 17,SN,155,114
NORDEN,SN,103,107
MILL CREEK 11,SN,111,85
MILL CREEK 12,SN,127,95
STAFFORD,SN,80,78
MC RAE,SN,108,81
SOFIE,SN,79,70
MARYSVILLE 30,SN,151,134
MARYSVILLE 31,SN,179,194
MARYSVILLE 32,SN,84,99
MARYSVILLE 34,SN,97,110
MARYSVILLE 35,SN,120,135
MAY CREEK,SN,122,127
MARYSVILLE 37,SN,84,94
MARYSVILLE 38,SN,78,113
MARYSVILLE 39,SN,97,125
ROBE,SN,71,88
THREE LAKES,SN,101,100
LOOP,SN,105,140
VIEW,SN,153,120
LOST LAKE,SN,91,71
LAKE STEVENS  4,SN,116,98
LAKE STEVENS  5,SN,111,111
WAXON,SN,196,135
