Row Label,County,Darvin J. Zimmerman
669,CR,338
668,CR,386
667,CR,309
664,CR,406
663,CR,287
662,CR,417
660,CR,423
130,CR,390
571,CR,379
490,CR,278
491,CR,27
626,CR,378
692,CR,415
693,CR,241
690,CR,395
691,CR,393
696,CR,445
697,CR,499
694,CR,161
695,CR,419
698,CR,354
699,CR,343
450,CR,467
540,CR,403
340,CR,404
400,CR,234
930,CR,364
452,CR,348
935,CR,382
570,CR,376
678,CR,299
679,CR,278
674,CR,342
675,CR,249
677,CR,376
670,CR,414
672,CR,343
455,CR,295
120,CR,467
575,CR,125
914,CR,405
917,CR,270
528,CR,330
910,CR,376
537,CR,158
415,CR,313
535,CR,489
410,CR,465
913,CR,431
298,CR,241
530,CR,160
296,CR,289
370,CR,289
294,CR,257
912,CR,335
925,CR,343
290,CR,388
538,CR,199
591,CR,492
590,CR,505
593,CR,394
592,CR,464
595,CR,222
594,CR,15
597,CR,35
200,CR,406
598,CR,12
629,CR,356
700,CR,66
190,CR,405
985,CR,318
390,CR,470
110,CR,388
113,CR,219
112,CR,37
250,CR,485
536,CR,240
628,CR,443
524,CR,37
525,CR,237
527,CR,313
520,CR,213
521,CR,9
522,CR,135
523,CR,5
420,CR,395
423,CR,321
255,CR,410
425,CR,301
424,CR,453
360,CR,385
426,CR,523
586,CR,342
587,CR,323
449,CR,507
448,CR,474
582,CR,312
583,CR,314
580,CR,264
581,CR,195
441,CR,402
440,CR,388
447,CR,479
446,CR,365
445,CR,490
444,CR,488
245,CR,440
920,CR,314
108,CR,372
240,CR,451
102,CR,326
100,CR,408
615,CR,169
106,CR,340
649,CR,330
104,CR,391
903,CR,395
900,CR,351
905,CR,409
641,CR,153
640,CR,406
643,CR,387
642,CR,186
645,CR,478
644,CR,405
647,CR,254
646,CR,197
436,CR,225
510,CR,265
434,CR,273
435,CR,270
515,CR,459
430,CR,293
588,CR,234
579,CR,17
578,CR,35
627,CR,397
338,CR,384
625,CR,400
624,CR,101
335,CR,320
451,CR,383
337,CR,355
453,CR,369
577,CR,502
330,CR,410
456,CR,533
574,CR,16
600,CR,201
175,CR,287
257,CR,415
170,CR,312
543,CR,360
596,CR,0
654,CR,273
656,CR,198
710,CR,186
180,CR,344
655,CR,383
652,CR,367
653,CR,344
650,CR,388
651,CR,275
505,CR,459
502,CR,350
503,CR,290
500,CR,413
659,CR,399
630,CR,321
631,CR,455
632,CR,207
633,CR,381
634,CR,346
635,CR,312
636,CR,332
560,CR,400
639,CR,352
545,CR,288
460,CR,570
566,CR,266
225,CR,534
160,CR,320
220,CR,291
964,CR,398
965,CR,342
966,CR,239
967,CR,226
960,CR,446
961,CR,76
962,CR,282
963,CR,303
968,CR,346
969,CR,225
658,CR,339
720,CR,302
947,CR,314
605,CR,356
150,CR,251
153,CR,278
606,CR,68
395,CR,110
603,CR,214
555,CR,467
550,CR,447
553,CR,370
584,CR,364
681,CR,330
959,CR,16
958,CR,70
951,CR,325
950,CR,382
953,CR,175
957,CR,74
638,CR,353
327,CR,420
585,CR,463
325,CR,301
620,CR,431
147,CR,316
618,CR,412
563,CR,445
613,CR,172
610,CR,522
617,CR,392
565,CR,329
511,CR,24
648,CR,328
487,CR,199
485,CR,257
673,CR,440
483,CR,545
573,CR,498
480,CR,538
686,CR,296
432,CR,298
576,CR,4
940,CR,334
470,CR,503
689,CR,416
688,CR,335
350,CR,326
685,CR,99
687,CR,380
Total,CR,79714
572,CR,506
680,CR,313
683,CR,357
682,CR,366
