Row Label,County,David R. Koss
Memorial,CZ,204
Windemere,CZ,432
Modrow,CZ,260
Ostrander,CZ,315
Baltimore,CZ,310
Magnolia,CZ,482
Hudson,CZ,359
Lake,CZ,270
Douglas,CZ,231
Kessler,CZ,376
St. Helens,CZ,158
Woodage,CZ,214
Arkansas,CZ,127
Olson,CZ,199
Woodland South,CZ,318
Tunstall,CZ,110
Brynion,CZ,218
Marigold,CZ,433
Crawford,CZ,295
Chinook,CZ,327
Ridgecrest,CZ,22
Cloverdale,CZ,235
Elk Ridge,CZ,3
Woodland North,CZ,379
West Kelso,CZ,93
Ponderosa,CZ,256
Owl Creek,CZ,387
Willow Grove,CZ,92
Robbins,CZ,421
Powell,CZ,277
Ocean Beach,CZ,293
Sparks,CZ,190
Beacon,CZ,405
Harris,CZ,259
Delameter,CZ,267
Ryderwood,CZ,140
Redpath,CZ,242
Nevada,CZ,270
Sandy Bend,CZ,285
Mint Valley,CZ,504
Burcham,CZ,522
Columbia Valley Gdns,CZ,221
Lexington,CZ,295
Rose Valley,CZ,196
Mt. Solo,CZ,92
Haussler,CZ,202
Silver Lake,CZ,484
Ammons,CZ,209
Kalama North,CZ,243
Yale,CZ,216
Bakers,CZ,11
Sacajawea,CZ,580
Alabama,CZ,214
Kalama South,CZ,323
Mill,CZ,395
Caples,CZ,100
Lone Oak,CZ,178
Lewis River,CZ,352
Industrial,CZ,0
Castle Rock,CZ,395
Stella,CZ,273
Toutle,CZ,375
Tower,CZ,440
Columbia Heights,CZ,190
Pacific,CZ,362
McGowan,CZ,59
Hillcrest,CZ,523
Boondox,CZ,10
View,CZ,204
Coal Creek,CZ,404
Laurel,CZ,377
Carrolls,CZ,296
Total,CZ,19399
