Row Label,County,John W Hunt
Washtucna City #1,AD,77
Batum,AD,64
Othello Rural #1,AD,67
Hatton Rural,AD,27
Ralston,AD,25
Hatton City,AD,15
Othello Rural #6,AD,141
Othello Rural #4,AD,124
Othello Rural #5,AD,76
Ritzville Rural NW,AD,121
Fairview,AD,25
Benge,AD,19
Ritzville Rural SE,AD,96
Ritzville Ward #5,AD,106
Ritzville Ward #4,AD,99
Ritzville Ward #1,AD,74
Ritzville Ward #3,AD,131
Ritzville Ward #2,AD,77
Schrag,AD,27
Cunningham,AD,7
Othello Rural #2,AD,83
Othello Rural #3,AD,180
Othello City #2,AD,144
Othello City #3,AD,130
Othello City #1,AD,17
Othello City #6,AD,93
Othello City #4,AD,149
Othello City #5,AD,148
Lind #1,AD,139
Washtucna Rural,AD,58
Lind Rural,AD,58
Total,AD,2597
