Row Label,County,Eileen A. Kato,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,112,527,106,221,0,3
SEA 46-2344,KI,192,760,136,329,0,1
SEA 46-2311,KI,142,451,113,256,0,1
SEA 34-3648,KI,122,470,117,240,0,1
SEA 46-1968,KI,85,297,92,177,0,0
SEA 36-1391,KI,117,439,141,262,0,4
SEA 36-1390,KI,90,290,101,191,0,0
SEA 36-1393,KI,100,297,109,209,0,0
SEA 36-1392,KI,125,411,130,255,0,0
SEA 36-1395,KI,130,444,144,276,0,2
SEA 36-1394,KI,153,559,181,336,0,2
SEA 36-1397,KI,100,357,132,233,0,1
SEA 36-1396,KI,77,282,87,166,0,2
SEA 36-1399,KI,113,296,92,205,0,0
SEA 36-1816,KI,92,303,80,172,0,0
SEA 46-3687,KI,63,220,79,143,0,1
SEA 43-2017,KI,120,430,145,267,0,2
SEA 37-3416,KI,78,502,48,134,0,8
SEA 36-1403,KI,99,497,133,234,0,2
SEA 36-1402,KI,101,381,104,206,0,1
SEA 43-2013,KI,86,310,129,216,0,1
SEA 43-2011,KI,90,278,98,189,0,1
SEA 46-2353,KI,123,488,74,199,0,2
SEA 46-2096,KI,76,230,86,162,0,0
SEA 43-2018,KI,164,559,199,363,0,0
SEA 34-3637,KI,184,567,124,309,0,1
SEA 46-2097,KI,107,400,150,257,0,0
SEA 34-3632,KI,58,271,41,99,0,0
SEA 46-2276,KI,111,382,138,250,0,1
SEA 43-1351,KI,148,561,165,315,0,2
SEA 37-1936,KI,112,296,110,222,0,0
SEA 43-1353,KI,129,449,130,260,0,1
SEA 43-1352,KI,160,608,161,322,0,1
SEA 43-1355,KI,133,401,111,244,0,0
SEA 43-1354,KI,120,435,119,240,0,1
SEA 43-1357,KI,105,355,85,192,0,2
SEA 43-2049,KI,87,453,118,208,0,3
SEA 43-1359,KI,153,518,136,291,0,2
SEA 43-1358,KI,103,418,119,224,0,2
SEA 37-1934,KI,245,784,223,472,0,4
SEA 37-1935,KI,88,291,116,204,0,0
SEA 37-3647,KI,83,447,60,146,0,3
SEA 43-2059,KI,120,424,131,252,0,1
SEA 37-3159,KI,220,845,160,383,0,3
SEA 46-2271,KI,145,476,171,319,0,3
SEA 46-2347,KI,139,519,141,281,0,1
SEA 46-1952,KI,78,281,101,179,0,0
SEA 46-1953,KI,93,236,82,175,0,0
SEA 46-1954,KI,95,282,107,203,0,1
SEA 37-1638,KI,79,505,82,162,0,1
SEA 36-1308,KI,78,298,114,193,0,1
SEA 36-1309,KI,150,556,175,328,0,3
SEA 36-1306,KI,110,381,130,240,0,0
SEA 36-1307,KI,86,276,88,174,0,0
SEA 36-1304,KI,112,333,119,234,0,3
SEA 36-1305,KI,94,301,112,206,0,0
SEA 37-1631,KI,92,301,94,187,0,1
SEA 36-1303,KI,120,411,147,269,0,2
SEA 36-1300,KI,107,383,107,214,0,0
SEA 36-1301,KI,91,319,127,218,0,0
SEA 36-1715,KI,82,355,88,172,0,2
SEA 36-1714,KI,156,526,163,321,0,2
SEA 36-1717,KI,62,251,72,134,0,0
SEA 36-1716,KI,76,357,101,177,0,0
SEA 36-1711,KI,183,760,192,379,0,4
SEA 36-1710,KI,72,351,83,157,0,2
SEA 36-1713,KI,85,362,90,176,0,1
SEA 36-1712,KI,139,463,130,269,0,0
SEA 36-2147,KI,154,489,182,338,0,2
SEA 36-1719,KI,157,510,140,299,0,2
SEA 36-1718,KI,68,318,85,155,0,2
SEA 37-1834,KI,101,386,84,188,0,3
SEA 46-1404,KI,114,441,102,217,0,1
SEA 46-2371,KI,202,656,166,371,0,3
SEA 34-3263,KI,99,415,92,194,0,3
SEA 34-3265,KI,93,353,74,168,0,1
SEA 34-3264,KI,106,340,73,180,0,1
SEA 34-3266,KI,65,311,51,117,0,1
SEA 46-2285,KI,113,286,98,211,0,0
SEA 11-1928,KI,57,298,85,145,0,3
SEA 43-2850,KI,84,359,97,182,0,1
SEA 37-1938,KI,109,394,138,247,0,0
SEA 46-2283,KI,99,348,111,214,0,4
SEA 36-1398,KI,133,503,130,265,0,2
SEA 46-2326,KI,130,574,141,271,0,0
SEA 46-2327,KI,103,381,86,190,0,1
SEA 46-2324,KI,119,432,117,237,0,1
SEA 43-2047,KI,186,662,213,403,0,4
SEA 46-2289,KI,79,338,122,203,0,2
SEA 46-2323,KI,143,554,166,310,0,1
SEA 46-2320,KI,108,350,113,222,0,1
SEA 46-2321,KI,104,333,120,225,0,1
SEA 37-3694,KI,19,92,25,44,0,0
SEA 43-1368,KI,77,292,106,184,0,1
SEA 34-1461,KI,141,399,125,268,0,2
SEA 36-1273,KI,72,279,129,201,0,0
SEA 34-1508,KI,92,295,90,182,0,0
SEA 34-1509,KI,82,281,94,177,0,1
SEA 34-1465,KI,146,372,105,251,0,0
SEA 34-1464,KI,105,359,139,245,0,1
SEA 34-1467,KI,164,551,175,339,0,0
SEA 34-1466,KI,107,303,71,179,0,1
SEA 34-1502,KI,95,342,126,223,0,2
SEA 34-1468,KI,128,448,127,256,0,1
SEA 34-1500,KI,155,584,171,328,0,2
SEA 34-1501,KI,129,369,117,248,0,2
SEA 34-1506,KI,102,299,81,183,0,0
SEA 34-1507,KI,102,357,126,230,0,2
SEA 34-1504,KI,138,418,128,267,0,1
SEA 46-2291,KI,115,387,88,204,0,1
SEA 43-1821,KI,83,233,61,144,0,0
SEA 43-1869,KI,134,465,134,270,0,2
SEA 46-2296,KI,121,391,113,237,0,3
SEA 46-2277,KI,161,568,207,368,0,0
SEA 43-1369,KI,59,285,104,165,0,2
SEA 43-2015,KI,89,333,105,195,0,1
SEA 37-1950,KI,45,187,21,67,0,1
SEA 34-1489,KI,175,744,162,338,0,1
SEA 34-1488,KI,153,692,128,284,0,3
SEA 34-1482,KI,94,321,85,180,0,1
SEA 34-1481,KI,121,479,102,227,0,4
SEA 34-1480,KI,186,594,153,339,0,0
SEA 34-1487,KI,108,335,96,205,0,1
SEA 34-1486,KI,100,364,99,201,0,2
SEA 34-1485,KI,183,708,122,307,0,2
SEA 34-1484,KI,101,345,78,180,0,1
SEA 36-3153,KI,103,390,84,187,0,0
SEA 46-2358,KI,265,846,225,494,0,4
SEA 37-1918,KI,94,347,115,212,0,3
SEA 37-1919,KI,95,378,110,207,0,2
SEA 37-2686,KI,179,604,107,291,0,5
SEA 36-3252,KI,108,477,101,211,0,2
SEA 37-1915,KI,120,384,138,260,0,2
SEA 37-1916,KI,115,357,145,261,0,1
SEA 37-1917,KI,172,454,139,311,0,0
SEA 37-1910,KI,155,513,172,329,0,2
SEA 37-1911,KI,99,284,92,191,0,0
SEA 46-2355,KI,106,354,115,224,0,3
SEA 37-1913,KI,128,338,110,239,0,1
SEA 37-1854,KI,112,386,76,190,0,2
SEA 43-1330,KI,131,404,105,238,0,2
SEA 43-1849,KI,69,323,90,161,0,2
SEA 37-1850,KI,169,650,173,346,0,4
SEA 37-1853,KI,67,281,53,120,0,0
SEA 43-1845,KI,148,575,128,277,0,1
SEA 43-1847,KI,112,484,114,227,0,1
SEA 43-1846,KI,78,345,79,158,0,1
SEA 43-1843,KI,123,551,128,251,0,0
SEA 43-1842,KI,142,521,137,282,0,3
SEA 43-2104,KI,129,379,130,260,0,1
SEA 43-2029,KI,245,706,238,488,0,5
SEA 46-2309,KI,96,300,88,184,0,0
SEA 46-2142,KI,203,674,150,357,0,4
SEA 43-1262,KI,141,468,164,308,0,3
SEA 36-2795,KI,100,479,107,209,0,2
SEA 43-1265,KI,61,256,86,148,0,1
SEA 37-1637,KI,187,760,103,295,0,5
SEA 43-1264,KI,113,361,134,248,0,1
SEA 37-1651,KI,168,736,86,256,0,2
SEA 43-2025,KI,176,556,180,360,0,4
SEA 37-1930,KI,200,738,190,391,0,1
SEA 43-1266,KI,96,351,117,213,0,0
SEA 46-2145,KI,152,497,145,297,0,0
SEA 36-1751,KI,99,368,111,212,0,2
SEA 36-1750,KI,127,493,167,296,0,2
SEA 36-1752,KI,104,437,140,244,0,0
SEA 36-1755,KI,74,272,83,158,0,1
SEA 36-1754,KI,110,387,141,252,0,1
SEA 36-1757,KI,65,262,101,166,0,0
SEA 36-1756,KI,198,682,195,393,0,0
SEA 36-1759,KI,58,274,110,169,0,1
SEA 36-1758,KI,124,351,122,246,0,0
SEA 43-2043,KI,88,292,105,193,0,0
SEA 43-2044,KI,86,350,99,186,0,1
SEA 43-2045,KI,93,315,96,189,0,0
SEA 11-1256,KI,142,627,97,242,0,3
SEA 34-1533,KI,77,229,80,159,0,2
SEA 34-1532,KI,72,237,65,138,0,1
SEA 43-1263,KI,110,350,119,230,0,1
SEA 34-1530,KI,177,619,187,367,0,3
SEA 34-1537,KI,92,289,64,156,0,0
SEA 34-1536,KI,101,304,89,191,0,1
SEA 34-1535,KI,73,239,72,146,0,1
SEA 34-1534,KI,111,362,127,238,0,0
SEA 43-1269,KI,113,357,121,234,0,0
SEA 43-1268,KI,118,352,136,254,0,0
SEA 34-1539,KI,92,356,102,198,0,4
SEA 34-1538,KI,103,378,99,202,0,0
SEA 43-2048,KI,99,376,112,214,0,3
SEA 46-2343,KI,105,341,86,194,0,3
SEA 46-2298,KI,102,321,102,205,0,1
SEA 36-2505,KI,117,324,111,228,0,0
SEA 36-2504,KI,97,303,115,213,0,1
SEA 36-2507,KI,79,283,95,180,0,6
SEA 36-2506,KI,86,311,116,202,0,0
SEA 36-2503,KI,96,305,100,196,0,0
SEA 36-2502,KI,146,378,138,284,0,0
SEA 36-2134,KI,138,490,127,266,0,1
SEA 46-3677,KI,84,320,94,181,0,3
SEA 36-2130,KI,121,388,121,243,0,1
SEA 36-2131,KI,217,851,234,453,0,2
SEA 36-2133,KI,172,698,173,348,0,3
SEA 34-1546,KI,114,385,143,257,0,0
SEA 43-1787,KI,146,564,129,277,0,2
SEA 11-1602,KI,135,598,147,288,0,6
SEA 34-1545,KI,118,422,106,224,0,0
SEA 34-1543,KI,105,327,112,218,0,1
SEA 34-1540,KI,81,333,95,176,0,0
SEA 34-1541,KI,96,380,138,235,0,1
SEA 46-1312,KI,83,326,98,181,0,0
SEA 46-1313,KI,75,280,92,168,0,1
SEA 46-1310,KI,124,397,101,229,0,4
SEA 46-1311,KI,101,427,96,198,0,1
SEA 43-1788,KI,338,807,241,580,0,1
SEA 37-3666,KI,92,422,35,128,0,1
SEA 36-1808,KI,98,275,57,156,0,1
SEA 36-1805,KI,107,473,131,239,0,1
SEA 36-1806,KI,151,598,129,281,0,1
SEA 36-1801,KI,190,896,201,391,0,0
SEA 36-1803,KI,69,298,109,178,0,0
SEA 36-3586,KI,220,801,184,407,0,3
SEA 36-3587,KI,131,590,140,273,0,2
SEA 37-1563,KI,72,323,39,111,0,0
SEA 37-1565,KI,87,331,83,172,0,2
SEA 37-1564,KI,130,396,96,227,0,1
SEA 36-3669,KI,73,349,82,157,0,2
SEA 37-1566,KI,88,327,84,176,0,4
SEA 37-1568,KI,102,434,77,179,0,0
SEA 43-2083,KI,92,422,123,215,0,0
SEA 46-2252,KI,86,261,86,172,0,0
SEA 46-2253,KI,141,521,178,322,0,3
SEA 46-2251,KI,158,555,194,352,0,0
SEA 32-2206,KI,136,412,129,266,0,1
SEA 46-2316,KI,120,411,119,239,0,0
SEA 32-2204,KI,115,339,113,230,0,2
SEA 46-2314,KI,116,337,100,217,0,1
SEA 32-2202,KI,120,436,127,250,0,3
SEA 32-2203,KI,198,758,219,422,0,5
SEA 32-2200,KI,131,385,132,263,0,0
SEA 32-2201,KI,161,463,154,315,0,0
SEA 46-2619,KI,144,539,134,279,0,1
SEA 43-2545,KI,168,699,205,375,0,2
SEA 32-2208,KI,100,350,124,224,0,0
SEA 32-2209,KI,182,599,218,402,0,2
SEA 36-2592,KI,86,352,117,205,0,2
SEA 36-2593,KI,85,289,89,174,0,0
SEA 34-1438,KI,108,328,100,209,0,1
SEA 34-1439,KI,102,369,114,220,1,3
SEA 34-1432,KI,105,331,112,218,0,1
SEA 34-1433,KI,103,319,105,208,0,0
SEA 34-1430,KI,95,322,95,190,0,0
SEA 34-1431,KI,105,308,96,203,0,2
SEA 34-1436,KI,73,362,83,156,0,0
SEA 34-1437,KI,104,498,147,254,0,3
SEA 34-1434,KI,90,271,92,183,0,1
SEA 34-1435,KI,66,299,112,178,0,0
SEA 36-2509,KI,121,403,139,260,0,0
SEA 36-2508,KI,139,427,153,293,0,1
SEA 46-2352,KI,86,338,92,181,0,3
SEA 46-1955,KI,155,558,132,289,0,2
SEA 11-1600,KI,128,550,128,257,0,1
SEA 46-2228,KI,113,486,117,234,0,4
SEA 46-2221,KI,141,513,157,298,0,0
SEA 43-1280,KI,168,669,166,337,0,3
SEA 43-1784,KI,154,500,151,308,0,3
SEA 36-3267,KI,129,548,88,219,0,2
SEA 37-1886,KI,156,523,136,293,0,1
SEA 37-1884,KI,177,643,207,385,0,1
SEA 37-1885,KI,111,398,110,223,0,2
SEA 37-1882,KI,110,395,82,193,0,1
SEA 37-1883,KI,93,423,109,204,0,2
SEA 37-1880,KI,138,514,133,276,0,5
SEA 37-1881,KI,90,396,98,188,0,0
SEA 43-1780,KI,110,350,98,208,0,0
SEA 43-1781,KI,94,326,69,164,0,1
SEA 46-2292,KI,145,505,143,288,0,0
SEA 36-1386,KI,95,315,117,213,0,1
SEA 36-1387,KI,142,462,146,289,0,1
SEA 36-1384,KI,111,309,113,228,0,4
SEA 36-1385,KI,65,243,108,175,0,2
SEA 36-1382,KI,113,374,120,233,0,0
SEA 36-1388,KI,98,337,122,220,0,0
SEA 36-1389,KI,74,259,89,163,0,0
SEA 43-1274,KI,100,302,115,216,0,1
SEA 43-2006,KI,73,298,96,169,0,0
SEA 43-2007,KI,80,256,84,164,0,0
SEA 43-2000,KI,151,550,142,294,0,1
SEA 43-2001,KI,220,648,211,433,0,2
SEA 43-2002,KI,192,587,199,391,0,0
SEA 46-2293,KI,131,441,160,292,0,1
SEA 46-1957,KI,176,553,178,354,0,0
