Row Label,County,Mary E. Fairhurst
VAN FLEET,SK,226
GEAR,SK,268
BIRDSVIEW,SK,298
BURLINGTON 7,SK,150
BOW,SK,356
ROCKPORT,SK,237
ROSARIO,SK,374
MOUNT VERNON 16,SK,347
EDISON,SK,150
MOUNT VERNON 14,SK,384
MOUNT VERNON 12,SK,125
RIDGEWAY,SK,189
MOUNT VERNON 10,SK,161
SAMISH,SK,190
MOUNT VERNON 19,SK,304
BAY VIEW,SK,228
BURLINGTON 2,SK,149
STARBIRD,SK,205
BURLINGTON 1,SK,137
BURLINGTON 6,SK,144
TERRACE,SK,422
BURLINGTON 4,SK,219
BURLINGTON 5,SK,266
MANSFORD,SK,38
MAPES,SK,109
FIR,SK,110
LYMAN,SK,55
GAGES,SK,68
NOOKACHAMPS,SK,145
SAUK,SK,295
VEDERE,SK,195
HAMILTON,SK,44
VIEW TERRACE,SK,2
POINT WILLIAMS,SK,203
SKYRIDGE,SK,219
CONCRETE,SK,102
ALDER,SK,143
CLEAR LAKE,SK,258
FRUITDALE,SK,127
SWINOMISH,SK,318
SEDRO WOOLLEY  6,SK,280
MINKLER,SK,169
ANACORTES 20,SK,432
TINGLEY,SK,143
ANACORTES 22,SK,400
ANACORTES 24,SK,561
BIG LAKE,SK,315
ANACORTES 5,SK,9
COLLINS,SK,145
AVON,SK,253
MARCH POINT,SK,17
MOUNT VERNON 30,SK,328
FIDALGO,SK,316
MOUNT VERNON  4,SK,399
MOUNT VERNON  5,SK,80
MOUNT VERNON  6,SK,233
MOUNT VERNON  7,SK,293
WHITNEY,SK,112
MOUNT VERNON  2,SK,127
MOUNT VERNON  3,SK,261
LAKE SIXTEEN,SK,135
MOUNT VERNON  8,SK,494
MOUNT VERNON  9,SK,140
DEWEY,SK,443
BELFAST,SK,138
MOUNT VERNON 15,SK,186
MCMURRAY EAST,SK,53
LAKE CAVANAUGH,SK,64
SHELTER BAY,SK,302
MOUNT VERNON 27,SK,93
MOUNT VERNON 22,SK,445
MOUNT VERNON 21,SK,469
LOOKOUT,SK,311
MOUNT VERNON 11,SK,248
ANACORTES  9,SK,287
COUNTRY CLUB,SK,107
ANACORTES 21,SK,556
MOUNT VERNON  1,SK,112
SEDRO WOOLLEY  2,SK,297
SEDRO WOOLLEY  3,SK,220
SEDRO WOOLLEY  1,SK,271
MCMURRAY WEST,SK,135
SEDRO WOOLLEY  7,SK,7
SEDRO WOOLLEY  4,SK,283
SEDRO WOOLLEY  5,SK,366
MCRAE,SK,381
ANACORTES  6,SK,244
ANACORTES  7,SK,527
ANACORTES  4,SK,206
ANACORTES  1,SK,231
SNEE OOSH,SK,219
MONTBORNE,SK,361
STERLING,SK,79
FREDONIA,SK,56
CASCADE,SK,55
DIGBY,SK,25
HARMONY,SK,151
PADILLA,SK,56
DUNBAR,SK,47
LA CONNER,SK,277
CEDARDALE,SK,84
BURLINGTON 3,SK,77
PRAIRIE,SK,269
RIVERBEND,SK,15
HAMBURG,SK,130
ANACORTES 11,SK,397
ALLEN,SK,93
ANACORTES 17,SK,502
CONWAY,SK,107
LITTLE MOUNTAIN,SK,113
GUEMES,SK,247
ALGER,SK,178
BLANCHARD,SK,258
DODGE VALLEY,SK,131
Total,SK,24511
