Row Label,County,Merle D. Jackson,Dwight E. Richter
ALTO,CU,32,31
TOUCHET,CU,93,65
STARBUCK COUNTRY,CU,10,16
STAR,CU,68,41
MUSTARD,CU,109,73
DAYTON,CU,115,94
PING,CU,100,85
BROOKLYN,CU,95,89
TUCANNON,CU,30,34
STARBUCK CITY,CU,49,18
COLUMBIA,CU,133,127
RAINWATER,CU,79,60
Total,CU,1001,812
PATIT,CU,88,79
