Row Label,County,Steve Tharinger,Thomas W. Greisamer
601 Queets,JE,23,17
704 Port Townsend,JE,219,28
101 Gardiner,JE,125,61
501 Port Ludlow I,JE,334,284
200 Coyle,JE,154,87
708 Port Townsend,JE,552,95
302 Center I,JE,166,114
702 Port Townsend,JE,248,37
306 Irondale II,JE,284,186
300 Chimacum I,JE,187,158
102 Port Discovery,JE,131,82
105 Discovery Bay,JE,375,117
305 Irondale I,JE,234,120
710 Port Townsend,JE,318,74
500 Port Ludlow,JE,264,333
106 North Jacob,JE,292,98
503 Port Ludlow III,JE,201,216
301 Chimacum II,JE,113,89
706 Port Townsend,JE,596,129
401 Nordland,JE,353,179
502 Port Ludlow II,JE,223,178
505 Port Ludlow V,JE,241,196
709 Port Townsend,JE,512,64
303 Hadlock,JE,299,174
304 Kala Point,JE,382,196
107 South Jacob,JE,332,163
201 Quilcene,JE,259,253
308 Center II,JE,125,64
705 Port Townsend,JE,222,76
204 Brinnon,JE,296,346
707 Port Townsend,JE,513,131
104 Cape George,JE,382,130
103 Crocker,JE,94,75
600 Hoh,JE,19,25
703 Port Townsend,JE,281,54
700 Port Townsend,JE,383,102
504 Port Ludlow IV,JE,150,121
Total,JE,10268,5008
701 Port Townsend,JE,206,32
307 Four Corners,JE,180,124
