Row Label,County,"Yes, Levy","No, Levy"
CLARKSTON #5,AS,140,29
CLARKSTON #8,AS,162,68
CLARKSTON #6,AS,194,66
CLARKSTON #7,AS,119,48
CLARKSTON #4,AS,189,81
Total,AS,1311,472
CLARKSTON #2,AS,189,66
CLARKSTON #3,AS,173,69
CLARKSTON #1,AS,145,45
