Row Label,County,Frank Dacca
31-900,PI,190
29-680,PI,253
31-902,PI,387
31-903,PI,3
31-904,PI,52
31-905,PI,259
31-906,PI,165
31-907,PI,244
31-908,PI,205
31-909,PI,231
29-640,PI,299
29-641,PI,293
29-642,PI,315
29-643,PI,26
29-648,PI,6
29-649,PI,90
25-239,PI,379
25-238,PI,210
31-901,PI,37
25-235,PI,10
25-237,PI,0
25-236,PI,292
25-230,PI,96
28-588,PI,342
28-589,PI,362
28-586,PI,328
28-587,PI,241
28-584,PI,241
28-585,PI,373
28-582,PI,143
28-583,PI,216
28-580,PI,54
28-581,PI,218
25-280,PI,375
25-281,PI,260
25-282,PI,367
02-149,PI,381
25-284,PI,191
25-285,PI,476
25-286,PI,347
25-287,PI,4
25-288,PI,379
25-289,PI,0
02-140,PI,366
02-141,PI,345
02-146,PI,252
02-147,PI,251
02-144,PI,297
02-145,PI,347
27-439,PI,301
27-438,PI,302
27-435,PI,354
27-434,PI,330
27-437,PI,306
27-436,PI,329
27-431,PI,150
27-430,PI,346
27-433,PI,332
27-432,PI,339
26-339,PI,62
26-338,PI,302
26-333,PI,365
26-332,PI,318
26-331,PI,99
26-330,PI,267
26-337,PI,408
26-336,PI,438
26-335,PI,318
26-334,PI,339
28-515,PI,380
28-517,PI,431
28-516,PI,399
28-519,PI,416
28-518,PI,417
31-869,PI,136
31-865,PI,85
31-861,PI,82
26-348,PI,377
26-349,PI,372
26-346,PI,324
26-347,PI,310
26-344,PI,48
26-345,PI,347
26-342,PI,410
26-343,PI,353
26-340,PI,438
26-341,PI,344
25-271,PI,354
25-270,PI,373
25-273,PI,222
25-272,PI,344
25-275,PI,0
25-274,PI,446
25-277,PI,359
25-276,PI,15
25-279,PI,307
25-278,PI,127
29-682,PI,293
29-683,PI,317
31-923,PI,172
29-619,PI,275
29-618,PI,252
29-617,PI,288
29-616,PI,282
29-615,PI,338
29-614,PI,323
29-613,PI,309
29-612,PI,154
29-611,PI,60
29-610,PI,288
