Row Label,County,Clint Didier,Dan Newhouse
Washtucna City #1,AD,63,30
Batum,AD,60,25
Othello Rural #1,AD,42,29
Hatton Rural,AD,26,7
Ralston,AD,22,14
Hatton City,AD,10,4
Othello Rural #6,AD,109,75
Othello Rural #4,AD,96,57
Othello Rural #5,AD,69,30
Ritzville Rural NW,AD,100,46
Fairview,AD,14,14
Benge,AD,17,9
Ritzville Rural SE,AD,83,49
Ritzville Ward #5,AD,59,80
Ritzville Ward #4,AD,72,59
Ritzville Ward #1,AD,55,44
Ritzville Ward #3,AD,88,70
Ritzville Ward #2,AD,49,40
Schrag,AD,20,16
Cunningham,AD,4,6
Othello Rural #2,AD,62,42
Othello Rural #3,AD,124,85
Othello City #2,AD,99,85
Othello City #3,AD,82,85
Othello City #1,AD,12,10
Othello City #6,AD,64,40
Othello City #4,AD,104,92
Othello City #5,AD,99,80
Lind #1,AD,117,68
Washtucna Rural,AD,43,17
Lind Rural,AD,44,28
Total,AD,1908,1336
