Row Label,County,Eddie Yoon,Charles W. Johnson
Griffin,BE,2,4
215,BE,44,131
Ridge,BE,0,0
Kiona,BE,102,285
210,BE,38,129
Hedges,BE,62,131
Weidle,BE,14,24
Randy,BE,24,78
W2 - P641,BE,37,117
W2 - P640,BE,60,163
135,BE,48,152
165,BE,50,125
W1 - P685,BE,73,238
W1 - P686,BE,62,193
W1 - P680,BE,89,221
W1 - P681,BE,76,150
W1 - P682,BE,104,260
W1 - P683,BE,47,179
El Rancho,BE,99,291
Columbia(*),BE,0,0
Benton South,BE,66,154
W3 - P545,BE,31,100
French,BE,7,25
289,BE,113,265
288,BE,56,158
(none),BE,58,164
Carley(*),BE,0,0
281,BE,79,268
280,BE,76,223
283,BE,53,139
220,BE,40,108
285,BE,95,283
284,BE,49,166
287,BE,46,113
286,BE,54,123
235,BE,45,113
Pearson,BE,2,3
Apricot,BE,17,40
Benton East,BE,0,0
455,BE,64,152
Reata,BE,58,145
W1 - P670,BE,67,159
W3-P511,BE,4,16
W1 - P675,BE,25,88
W1 - P674,BE,49,127
265,BE,71,135
W1 - P676,BE,67,262
Harrington,BE,104,201
W3 - P558,BE,80,251
W3 - P559,BE,82,219
W3 - P552,BE,59,181
W3 - P553,BE,79,143
W3 - P550,BE,79,173
W3 - P551,BE,49,176
W3 - P556,BE,97,229
W3 - P557,BE,65,220
WR 11,BE,68,166
W3 - P555,BE,54,147
WR 17,BE,59,127
130,BE,68,163
WR 16,BE,45,131
Onion(*),BE,0,0
Benton North,BE,88,226
292,BE,43,138
293,BE,39,98
290,BE,70,186
Badger,BE,52,146
Crow Butte,BE,7,14
195,BE,46,147
Washington,BE,28,65
311,BE,0,0
310,BE,81,191
Mills,BE,80,227
Rattlesnake,BE,9,40
Liberty,BE,2,8
115,BE,52,131
271,BE,32,90
W1 - P660,BE,70,170
W1 - P667,BE,37,86
W1 - P664,BE,102,275
W1 - P665,BE,76,224
278,BE,86,190
279,BE,30,78
W1 - P668,BE,120,269
W1 - P669,BE,39,116
175,BE,98,287
Susie,BE,4,20
Walnut Grove,BE,50,112
Kennewick Valley,BE,40,193
Yakima,BE,3,2
Hawthorne,BE,46,110
W3 - P560,BE,32,89
255,BE,64,155
Yellowstone,BE,39,91
Cook,BE,5,10
Celilo,BE,87,203
WR 10,BE,15,9
Black Rock(*),BE,0,0
Orchard,BE,4,9
300,BE,60,174
301,BE,48,180
Jewel,BE,10,25
305,BE,63,183
W1 - P657,BE,39,155
W1 - P656,BE,39,80
W1 - P655,BE,31,117
240,BE,79,240
W1 - P651,BE,22,34
W1 - P650,BE,78,207
Ivey,BE,56,122
105,BE,39,120
245,BE,49,130
Hanford 4,BE,0,0
Hanford 3,BE,0,0
Hanford 2,BE,0,0
Hanford 1,BE,0,0
Cascade,BE,44,160
Gage(*),BE,0,0
Roe,BE,4,12
WR 1,BE,30,108
W2 - P633,BE,46,206
Cone,BE,31,119
W3 - P540,BE,55,183
160,BE,83,218
291,BE,93,198
282,BE,79,279
W2 - P635,BE,77,215
Elk,BE,0,0
125,BE,38,132
450,BE,80,186
Salmon,BE,7,38
Umatilla,BE,34,79
W1 - P645,BE,23,37
W1 - P646,BE,27,55
190,BE,72,175
Bobbie,BE,0,0
W2 - P639,BE,51,105
W2 - P601,BE,23,101
W2 - P600,BE,29,101
Riverside,BE,75,183
W2 - P605,BE,57,131
Finley,BE,90,266
170,BE,69,120
W3 - P505,BE,49,133
Buena Vista,BE,84,286
W3 - P500,BE,25,22
Demoss,BE,3,13
Sunny,BE,19,43
180,BE,44,84
316,BE,0,0
Candy(*),BE,0,0
W2 - P570,BE,53,159
186,BE,29,62
Dot,BE,37,88
W2 - P575,BE,28,76
185,BE,35,74
250,BE,77,155
Vineyard(*),BE,0,0
465,BE,61,187
Horse Heaven,BE,7,25
460,BE,58,149
McBee(*),BE,0,0
315,BE,87,288
Enterprise,BE,57,122
W2 - P590,BE,44,133
W2 - P610,BE,44,112
W2 - P595,BE,52,132
Prosser North,BE,63,183
W2 - P615,BE,22,50
270,BE,66,193
W3 - P515,BE,41,99
W3 - P510,BE,25,97
225,BE,56,144
Miller(*),BE,0,0
W2 - P565,BE,28,80
Canyon,BE,59,179
295,BE,52,180
W2 - P560,BE,41,99
Roza,BE,0,0
Edgewater,BE,53,145
W2 - P625,BE,66,193
110,BE,57,152
151,BE,127,299
150,BE,70,227
Vista,BE,38,77
WR 4,BE,99,251
Legion,BE,59,172
Cherry,BE,82,196
Oak,BE,29,93
WR 9,BE,67,133
WR 8,BE,86,251
W1-P663,BE,51,155
Paterson,BE,2,15
WR 2,BE,45,113
WR 3,BE,32,98
W2 - P626,BE,46,98
W2 - P580,BE,48,116
W3 - P520,BE,29,66
WR 7,BE,70,212
Chandler,BE,12,19
W3 - P525,BE,35,124
W2 - P585,BE,32,96
W2-P574,BE,37,102
230,BE,44,115
WR12,BE,90,217
WR13,BE,66,138
WR14,BE,97,256
WR15,BE,56,165
WR 6,BE,98,232
320,BE,81,272
WR 5,BE,23,75
155,BE,76,261
W2 - P620,BE,41,127
White Bluffs,BE,84,246
200,BE,43,148
145,BE,83,250
205,BE,49,105
140,BE,53,144
275,BE,35,74
W3 - P535,BE,25,76
W2 - P630,BE,65,173
Expansion(*),BE,0,0
Goose Ridge,BE,16,48
W2 - P634,BE,58,277
Reese,BE,3,34
W2 - P636,BE,78,163
W2 - P637,BE,72,201
W2 - P638,BE,87,184
Wheat,BE,0,0
W1 - P691,BE,13,27
W1 - P690,BE,83,244
W3 - P530,BE,48,102
South,BE,49,143
Ida,BE,0,0
120,BE,63,194
Tumble Weed,BE,12,37
Sacagawea(*),BE,0,0
470,BE,56,138
260,BE,60,119
Shockley(*),BE,0,0
W3-P516,BE,4,7
Red Mountain,BE,79,141
Total,BE,11343,30752
Clements,BE,10,42
