Row Label,County,Jeff Hall,Pat Tucker
W3 - P535,BE,81,29
Ridge,BE,0,0
Kiona,BE,295,83
Hedges,BE,164,42
Weidle,BE,31,10
Randy,BE,89,23
W2 - P641,BE,147,27
W2 - P640,BE,196,38
W1 - P685,BE,265,62
W1 - P686,BE,202,57
W1 - P680,BE,266,57
W1 - P681,BE,178,43
W1 - P682,BE,299,70
W1 - P683,BE,191,39
El Rancho,BE,334,58
Columbia(*),BE,0,0
Benton South,BE,191,41
W3 - P545,BE,109,25
French,BE,20,7
(none),BE,205,39
Carley(*),BE,0,0
Apricot,BE,51,14
Benton East,BE,0,0
455,BE,209,36
Reata,BE,183,28
W1 - P670,BE,174,46
W3-P511,BE,18,4
W1 - P675,BE,108,14
W1 - P674,BE,144,36
W1 - P676,BE,269,73
Harrington,BE,231,59
W3 - P558,BE,261,73
W3 - P559,BE,256,61
W3 - P552,BE,211,42
W3 - P553,BE,178,61
W3 - P550,BE,208,56
W3 - P551,BE,172,59
W3 - P556,BE,268,63
W3 - P557,BE,223,60
WR 11,BE,209,38
W3 - P555,BE,164,37
WR 17,BE,140,29
WR 16,BE,138,31
Onion(*),BE,0,0
Benton North,BE,232,96
Badger,BE,177,37
Crow Butte,BE,19,16
Washington,BE,71,22
311,BE,0,0
Mills,BE,257,69
Rattlesnake,BE,48,14
Liberty,BE,9,2
W1 - P660,BE,178,64
W1 - P667,BE,71,49
W1 - P664,BE,328,70
W1 - P665,BE,260,42
W1 - P668,BE,328,60
W1 - P669,BE,135,30
Wheat,BE,0,0
Walnut Grove,BE,129,41
Kennewick Valley,BE,195,53
Yakima,BE,3,2
Hawthorne,BE,129,30
W3 - P560,BE,106,22
Yellowstone,BE,93,46
Cook,BE,12,3
Celilo,BE,246,45
WR 10,BE,17,4
Black Rock(*),BE,0,0
Orchard,BE,11,3
Jewel,BE,29,8
W1 - P657,BE,169,31
W1 - P656,BE,105,24
W1 - P655,BE,131,23
W1 - P651,BE,37,20
W1 - P650,BE,248,57
Ivey,BE,143,42
Hanford 4,BE,0,0
Hanford 3,BE,0,0
Hanford 2,BE,0,0
Hanford 1,BE,0,0
Cascade,BE,167,52
W3-P516(*),BE,0,0
Roe,BE,9,6
WR 1,BE,95,37
W2 - P633,BE,229,47
Cone,BE,117,42
W3 - P540,BE,192,50
W2 - P635,BE,228,60
Elk,BE,0,0
450,BE,232,68
Salmon,BE,34,17
Umatilla,BE,93,29
W1 - P645,BE,39,18
W1 - P646,BE,64,23
Gage,BE,3,3
W2 - P625,BE,204,63
Bobbie,BE,0,0
W2 - P639,BE,126,38
W2 - P601,BE,113,17
W2 - P600,BE,104,24
Riverside,BE,216,66
W2 - P605,BE,137,39
Finley,BE,283,87
W3 - P505,BE,127,54
Buena Vista,BE,343,86
W3 - P500,BE,38,15
Demoss,BE,12,3
Sunny,BE,59,3
Pearson(*),BE,0,0
Candy(*),BE,0,0
W2 - P570,BE,175,44
Dot,BE,96,30
W2 - P575,BE,81,24
Vineyard(*),BE,0,0
465,BE,243,48
Horse Heaven,BE,33,4
460,BE,217,38
McBee(*),BE,0,0
Enterprise,BE,136,33
W2 - P590,BE,133,44
W2 - P610,BE,134,30
W2 - P595,BE,167,26
Prosser North,BE,229,47
W2 - P615,BE,42,25
W3 - P515,BE,105,34
W3 - P510,BE,70,53
Miller(*),BE,0,0
W2 - P565,BE,83,24
Canyon,BE,227,25
W2 - P560,BE,100,42
Roza,BE,0,0
Edgewater,BE,152,35
Griffin(*),BE,0,0
Vista,BE,98,17
WR 4,BE,278,66
Legion,BE,194,43
Cherry,BE,235,45
Oak,BE,97,41
WR 9,BE,151,35
WR 8,BE,272,51
W1-P663,BE,172,34
Paterson,BE,9,12
WR 2,BE,112,41
WR 3,BE,97,28
W2 - P626,BE,105,36
W2 - P580,BE,126,37
W3 - P520,BE,79,19
WR 7,BE,233,49
Chandler,BE,33,3
W3 - P525,BE,136,28
W2 - P585,BE,112,28
W2-P574,BE,116,28
WR12,BE,246,44
WR13,BE,156,37
WR14,BE,269,71
WR15,BE,175,32
WR 6,BE,264,58
320,BE,39,6
WR 5,BE,71,21
W2 - P620,BE,136,39
White Bluffs,BE,287,45
W2 - P630,BE,169,65
Expansion(*),BE,0,0
Goose Ridge,BE,51,7
W2 - P634,BE,289,49
Reese,BE,29,9
W2 - P636,BE,233,36
W2 - P637,BE,246,50
W2 - P638,BE,233,48
Susie,BE,29,8
W1 - P691,BE,31,7
W1 - P690,BE,260,70
W3 - P530,BE,109,32
South,BE,164,47
Ida,BE,0,0
Tumble Weed,BE,38,9
Sacagawea(*),BE,0,0
470,BE,166,42
Shockley(*),BE,0,0
Red Mountain,BE,176,45
Total,BE,23284,5778
Clements,BE,44,5
