Row Label,County,Jeff Barkdull
HARRINGTON IN,LI,121
LONG LAKE,LI,56
S REARDAN RURAL,LI,44
DAVENPORT RURAL,LI,72
IRBY,LI,21
KELLER,LI,53
LAMONA,LI,22
HAWK CREEK,LI,53
EDWALL,LI,61
MOHLER,LI,37
EGYPT,LI,99
WEST LARENE,LI,30
SPRAGUE RURAL,LI,89
WHEATLAND,LI,76
EAST LARENE,LI,72
GRAVELLE,LI,34
GRAND COULEE,LI,23
REARDAN IN,LI,177
PEACH,LI,112
ALMIRA RURAL,LI,23
N REARDAN RURAL,LI,28
HARR RURAL,LI,45
GOVAN,LI,19
LAKEVIEW,LI,102
ODESSA IN,LI,273
SPRAGUE IN,LI,96
RIVERVIEW,LI,117
ENOS,LI,8
LAYTON,LI,13
CANBY,LI,30
EARL,LI,29
WILBUR RURAL,LI,74
WAUKON,LI,40
WILBUR IN,LI,279
DOWNS,LI,20
SHERMAN,LI,46
MONDOVI,LI,64
ALMIRA IN,LI,77
SPRING CREEK,LI,66
SEVEN BAYS,LI,56
CRESTON RURAL,LI,40
CRESTON IN,LI,66
ODESSA RURAL,LI,73
WILSON CREEK,LI,29
Total,LI,3465
DAVENPORT IN,LI,485
BLUESTEM,LI,15
