Row Label,County,Suzan DelBene,Pedro Celis
606    ,WM,144,390
106    ,WM,200,206
133,WM,262,94
132,WM,187,206
131,WM,279,300
130,WM,114,186
137,WM,282,80
135,WM,282,158
139,WM,37,217
138,WM,399,110
179    ,WM,68,61
604    ,WM,95,394
162    ,WM,227,161
401,WM,118,178
124    ,WM,113,189
145    ,WM,247,383
120,WM,160,292
402    ,WM,159,232
122,WM,133,176
123,WM,137,162
125,WM,155,308
127,WM,297,346
129,WM,222,279
268,WM,16,7
166    ,WM,325,224
146    ,WM,213,414
304    ,WM,108,82
111    ,WM,197,262
701,WM,148,294
115,WM,172,332
114,WM,123,147
117,WM,78,325
116,WM,65,248
110,WM,171,236
113,WM,160,275
112,WM,122,129
118,WM,140,416
163    ,WM,269,171
156    ,WM,120,106
301,WM,306,274
302,WM,346,232
303,WM,285,293
611    ,WM,85,312
108,WM,293,294
102,WM,164,192
103,WM,283,190
101,WM,355,110
107,WM,285,269
104,WM,142,159
105,WM,152,98
605,WM,89,230
141    ,WM,188,405
140    ,WM,143,572
601,WM,196,525
507    ,WM,176,224
603,WM,140,314
609    ,WM,151,478
504,WM,124,141
505,WM,290,261
502,WM,214,198
503,WM,229,292
501,WM,212,244
168    ,WM,304,309
508    ,WM,249,258
183    ,WM,14,6
607    ,WM,98,382
610    ,WM,158,460
167    ,WM,44,50
126    ,WM,295,328
608    ,WM,158,298
158    ,WM,112,124
509    ,WM,149,193
159    ,WM,64,73
151,WM,267,327
150,WM,225,341
153,WM,217,263
152,WM,229,248
155,WM,139,212
157,WM,123,117
602,WM,163,424
164    ,WM,96,81
144    ,WM,113,514
154    ,WM,181,169
136    ,WM,265,171
165    ,WM,114,146
147,WM,200,290
142,WM,210,158
119    ,WM,132,121
148,WM,219,251
149,WM,142,247
143    ,WM,191,121
121,WM,137,195
506    ,WM,263,211
134    ,WM,410,231
801,WM,127,217
Total,WM,17400,22619
