Row Label,County,Rich Melnick
Salzer,LE,94
Napavine #2,LE,0
Napavine #3,LE,2
Packwood,LE,61
Napavine #5,LE,0
Napavine #6,LE,0
Napavine #1,LE,306
Union,LE,149
Paradise,LE,39
Napavine #4,LE,0
Urquhart,LE,132
Mossyrock,LE,98
Independence,LE,51
Sommerville,LE,38
Stillwater West,LE,125
Veness,LE,218
Greenwood,LE,7
Stearns Creek,LE,87
Elk Crk,LE,68
Stillwater East,LE,73
Agate,LE,123
Skookumchuck,LE,221
Silver Creek,LE,222
Meskill,LE,41
Onalaska,LE,421
Jackson,LE,284
Toledo,LE,131
Mauermann,LE,53
Chehalis #9,LE,12
Chehalis #8,LE,158
Harmony,LE,217
Chehalis #1,LE,181
Chehalis #3,LE,142
Chehalis #2,LE,124
Chehalis #5,LE,113
Chehalis #4,LE,133
Chehalis #7,LE,40
Chehalis #6,LE,214
Centralia #2,LE,258
Centralia #3,LE,110
Centralia #1,LE,110
Centralia #6,LE,218
Centralia #7,LE,103
Centralia #4,LE,144
Centralia #5,LE,122
Centralia #8,LE,131
Centralia #9,LE,262
Mineral,LE,122
Salkum,LE,186
Randle West,LE,158
Ethel,LE,277
Fair,LE,0
Crego,LE,483
Parcuvia,LE,157
Evaline West,LE,133
Pe Ell,LE,131
Newaukum,LE,183
Forest,LE,231
Dryad,LE,74
Temple,LE,178
Cowlitz,LE,366
Drews Prairie,LE,118
Seminary Hill,LE,117
Klickitat,LE,136
Verndale,LE,226
Cinebar,LE,204
Whealdon,LE,157
Roswell,LE,6
Sears,LE,167
Emery North,LE,2
Adna ,LE,362
Big Bottom,LE,253
Fords Prairie,LE,247
Jackson North,LE,0
Boistfort,LE,62
Claquato,LE,207
Curtis,LE,74
Vader,LE,98
Logan,LE,221
Alpha,LE,301
Berwick,LE,317
Evaline East,LE,86
Lincoln Creek,LE,185
Randle East,LE,210
Salmon Creek,LE,374
Emery,LE,124
Winlock,LE,199
Prescott,LE,444
Total,LE,14597
Kelly,LE,0
Mellen,LE,1
Centralia #10,LE,107
Centralia #11,LE,264
Centralia #12,LE,309
Centralia #13,LE,324
Morton,LE,180
