Row Label,County,Ed McKenna,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1629,KI,112,527,107,221,0,2
SEA 46-2344,KI,193,760,135,329,0,1
SEA 46-2311,KI,144,451,111,256,0,1
SEA 34-3648,KI,125,470,114,240,0,1
SEA 46-1968,KI,82,297,94,177,0,1
SEA 36-1391,KI,121,439,140,262,0,1
SEA 36-1390,KI,90,290,101,191,0,0
SEA 36-1393,KI,100,297,107,209,0,2
SEA 36-1392,KI,120,411,135,255,0,0
SEA 36-1395,KI,131,444,142,276,0,3
SEA 36-1394,KI,154,559,180,336,0,2
SEA 36-1397,KI,101,357,131,233,0,1
SEA 36-1396,KI,78,282,85,166,0,3
SEA 36-1399,KI,111,296,94,205,0,0
SEA 36-1816,KI,95,303,77,172,0,0
SEA 46-3687,KI,71,220,72,143,0,0
SEA 43-2017,KI,120,430,145,267,0,2
SEA 37-3416,KI,77,502,50,134,0,7
SEA 36-1403,KI,97,497,135,234,0,2
SEA 36-1402,KI,101,381,103,206,0,2
SEA 43-2013,KI,86,310,128,216,0,2
SEA 43-2011,KI,91,278,97,189,0,1
SEA 46-2353,KI,127,488,69,199,0,3
SEA 46-2096,KI,80,230,82,162,0,0
SEA 43-2018,KI,165,559,196,363,0,2
SEA 34-3637,KI,179,567,129,309,0,1
SEA 46-2097,KI,111,400,146,257,0,0
SEA 34-3632,KI,58,271,41,99,0,0
SEA 46-2276,KI,110,382,139,250,0,1
SEA 43-1351,KI,154,561,160,315,0,1
SEA 37-1936,KI,113,296,109,222,0,0
SEA 43-1353,KI,134,449,126,260,0,0
SEA 43-1352,KI,162,608,159,322,0,1
SEA 43-1355,KI,130,401,114,244,0,0
SEA 43-1354,KI,124,435,115,240,0,1
SEA 43-1357,KI,103,355,88,192,0,1
SEA 43-2049,KI,83,453,123,208,0,2
SEA 43-1359,KI,157,518,133,291,0,1
SEA 43-1358,KI,103,418,118,224,0,3
SEA 37-1934,KI,233,784,235,472,0,4
SEA 37-1935,KI,80,291,124,204,0,0
SEA 37-3647,KI,85,447,59,146,0,2
SEA 43-2059,KI,125,424,127,252,0,0
SEA 37-3159,KI,220,845,159,383,0,4
SEA 46-2271,KI,148,476,167,319,0,4
SEA 46-2347,KI,141,519,139,281,0,1
SEA 46-1952,KI,84,281,95,179,0,0
SEA 46-1953,KI,90,236,84,175,0,1
SEA 46-1954,KI,100,282,102,203,0,1
SEA 37-1638,KI,79,505,82,162,0,1
SEA 36-1308,KI,83,298,109,193,0,1
SEA 36-1309,KI,152,556,172,328,0,4
SEA 36-1306,KI,114,381,126,240,0,0
SEA 36-1307,KI,84,276,90,174,0,0
SEA 36-1304,KI,113,333,119,234,0,2
SEA 36-1305,KI,93,301,111,206,0,2
SEA 37-1631,KI,88,301,98,187,0,1
SEA 36-1303,KI,121,411,144,269,0,4
SEA 36-1300,KI,108,383,106,214,0,0
SEA 36-1301,KI,88,319,130,218,0,0
SEA 36-1715,KI,81,355,87,172,0,4
SEA 36-1714,KI,156,526,163,321,0,2
SEA 36-1717,KI,64,251,69,134,0,1
SEA 36-1716,KI,71,357,106,177,0,0
SEA 36-1711,KI,186,760,189,379,0,4
SEA 36-1710,KI,74,351,82,157,0,1
SEA 36-1713,KI,84,362,92,176,0,0
SEA 36-1712,KI,140,463,129,269,0,0
SEA 36-2147,KI,159,489,177,338,0,2
SEA 36-1719,KI,150,510,147,299,0,2
SEA 36-1718,KI,63,318,89,155,0,3
SEA 37-1834,KI,96,386,89,188,0,3
SEA 46-1404,KI,114,441,102,217,0,1
SEA 46-2371,KI,195,656,173,371,0,3
SEA 34-3263,KI,95,415,97,194,0,2
SEA 34-3265,KI,89,353,78,168,0,1
SEA 34-3264,KI,111,340,69,180,0,0
SEA 34-3266,KI,64,311,51,117,0,2
SEA 46-2285,KI,112,286,99,211,0,0
SEA 11-1928,KI,58,298,82,145,0,5
SEA 43-2850,KI,85,359,96,182,0,1
SEA 37-1938,KI,100,394,146,247,0,1
SEA 46-2283,KI,103,348,109,214,0,2
SEA 36-1398,KI,134,503,128,265,0,3
SEA 46-2326,KI,125,574,146,271,0,0
SEA 46-2327,KI,109,381,80,190,0,1
SEA 46-2324,KI,120,432,116,237,0,1
