Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Pct 008,FR,164,27
Pct 009,FR,46,26
Pct 002,FR,78,27
Pct 003,FR,49,8
Pct 001,FR,153,44
Pct 006,FR,57,51
Pct 007,FR,60,35
Pct 004,FR,48,27
Pct 005,FR,49,20
Pct 082,FR,71,24
Pct 083,FR,64,16
Pct 080,FR,203,48
Pct 081,FR,51,12
Pct 086,FR,54,20
Pct 087,FR,52,12
Pct 084,FR,29,14
Pct 085,FR,34,14
Pct 088,FR,24,10
Pct 089,FR,82,20
Pct 079,FR,82,33
Pct 078,FR,54,12
Pct 077,FR,48,7
Pct 076,FR,58,19
Pct 075,FR,25,7
Pct 074,FR,154,56
Pct 073,FR,186,61
Pct 072,FR,74,41
Pct 071,FR,116,32
Pct 070,FR,53,10
Pct 101,FR,67,30
Pct 100,FR,66,18
Pct 069,FR,24,8
Pct 064,FR,125,50
Pct 065,FR,74,26
Pct 066,FR,197,61
Pct 060,FR,74,16
Pct 061,FR,193,56
Pct 062,FR,242,96
Pct 063,FR,136,46
Pct 067(*),FR,0,0
Pct 059,FR,234,53
Pct 058,FR,19,5
Pct 051,FR,159,45
Pct 050,FR,165,44
Pct 053,FR,118,48
Pct 052,FR,41,15
Pct 055,FR,242,62
Pct 054,FR,65,19
Pct 057,FR,121,37
Pct 056,FR,111,42
Pct 046,FR,190,77
Pct 047,FR,16,13
Pct 044,FR,127,56
Pct 045,FR,179,55
Pct 042,FR,109,40
Pct 043,FR,105,48
Pct 040,FR,141,42
Pct 041,FR,94,25
Pct 048,FR,155,52
Pct 049,FR,179,57
Pct 033,FR,105,35
Pct 032,FR,287,78
Pct 031,FR,49,22
Pct 030,FR,42,15
Pct 037,FR,190,68
Pct 036,FR,210,57
Pct 035,FR,75,25
Pct 034,FR,174,55
Pct 039,FR,142,58
Pct 038,FR,133,45
Pct 020,FR,39,23
Pct 021,FR,24,14
Pct 022,FR,134,31
Pct 023,FR,219,69
Pct 024,FR,94,43
Pct 025,FR,50,8
Pct 026,FR,67,33
Pct 027,FR,50,19
Pct 028,FR,44,20
Pct 029,FR,60,16
Pct 068(*),FR,0,0
Pct 019,FR,127,44
Pct 018,FR,35,16
Pct 015,FR,79,24
Pct 014,FR,60,24
Pct 017,FR,92,31
Pct 016,FR,12,7
Pct 011,FR,73,23
Pct 010,FR,87,32
Pct 013,FR,46,20
Pct 012,FR,57,26
Pct 095,FR,50,6
Pct 094,FR,0,0
Pct 097,FR,35,9
Pct 096,FR,64,7
Pct 091,FR,6,7
Pct 090,FR,110,32
Pct 093,FR,112,30
Pct 092,FR,84,35
Total,FR,9525,3132
Pct 099,FR,27,3
Pct 098,FR,18,6
