Row Label,County,Mary Yu
PRECINCT 107,DG,119
PRECINCT 106,DG,126
PRECINCT 105,DG,99
PRECINCT 104,DG,333
PRECINCT 103,DG,68
PRECINCT 102,DG,282
PRECINCT 101,DG,149
PRECINCT 109,DG,103
PRECINCT 108,DG,135
PRECINCT 305,DG,119
PRECINCT 304,DG,36
PRECINCT 307,DG,35
PRECINCT 306,DG,119
PRECINCT 208,DG,121
PRECINCT 209,DG,224
PRECINCT 303,DG,149
PRECINCT 302,DG,238
PRECINCT 204,DG,219
PRECINCT 205,DG,277
PRECINCT 206,DG,121
PRECINCT 207,DG,248
PRECINCT 309,DG,57
PRECINCT 201,DG,161
PRECINCT 202,DG,66
PRECINCT 203,DG,200
PRECINCT 311,DG,90
PRECINCT 310,DG,88
PRECINCT 316,DG,208
PRECINCT 308,DG,30
PRECINCT 314,DG,39
PRECINCT 315,DG,227
PRECINCT 114,DG,115
PRECINCT 110,DG,195
PRECINCT 111,DG,236
PRECINCT 112,DG,159
PRECINCT 113,DG,154
PRECINCT 318,DG,63
PRECINCT 312,DG,130
PRECINCT 313,DG,36
PRECINCT 215,DG,192
PRECINCT 214,DG,51
PRECINCT 213,DG,116
PRECINCT 212,DG,139
PRECINCT 211,DG,57
PRECINCT 210,DG,82
PRECINCT 317,DG,308
PRECINCT 301,DG,297
Total,DG,6816
