Row Label,County,Gary Stamper,Rich Bainbridge
Salzer,LE,62,69
Napavine #2,LE,0,0
Packwood,LE,62,33
Napavine #5,LE,0,0
Napavine #6,LE,0,0
Napavine #1,LE,223,167
Union,LE,99,116
Paradise,LE,30,17
Napavine #4,LE,0,0
Urquhart,LE,89,81
Mossyrock,LE,100,47
Independence,LE,26,33
Sommerville,LE,38,19
Stillwater West,LE,80,63
Veness,LE,143,143
Greenwood,LE,3,10
Stearns Creek,LE,66,57
Elk Crk,LE,56,46
Stillwater East,LE,49,33
Agate,LE,76,84
Skookumchuck,LE,146,144
Silver Creek,LE,197,119
Meskill,LE,30,24
Onalaska,LE,271,349
Jackson,LE,202,183
Napavine #3(*),LE,0,0
Toledo,LE,80,75
Mauermann,LE,39,32
Chehalis #9,LE,8,4
Chehalis #8,LE,105,109
Harmony,LE,227,115
Chehalis #1,LE,120,107
Chehalis #3,LE,75,92
Chehalis #2,LE,83,76
Chehalis #5,LE,71,76
Chehalis #4,LE,76,78
Chehalis #7,LE,28,22
Chehalis #6,LE,147,156
Centralia #2,LE,170,156
Centralia #3,LE,74,52
Centralia #1,LE,87,45
Centralia #6,LE,131,129
Centralia #7,LE,64,68
Centralia #4,LE,116,72
Centralia #5,LE,73,67
Centralia #8,LE,87,77
Centralia #9,LE,188,133
Mineral,LE,107,49
Salkum,LE,160,109
Randle West,LE,150,90
Ethel,LE,229,214
Fair,LE,0,0
Mellen(*),LE,0,0
Crego,LE,360,308
Parcuvia,LE,129,119
Evaline West,LE,109,57
Pe Ell,LE,105,51
Newaukum,LE,126,134
Forest,LE,171,174
Dryad,LE,61,44
Temple,LE,214,74
Cowlitz,LE,276,227
Drews Prairie,LE,89,65
Seminary Hill,LE,100,67
Klickitat,LE,132,73
Verndale,LE,243,86
Cinebar,LE,114,166
Whealdon,LE,132,84
Sears,LE,111,98
Adna ,LE,250,249
Big Bottom,LE,238,100
Fords Prairie,LE,178,143
Jackson North,LE,0,0
Boistfort,LE,41,60
Claquato,LE,142,153
Curtis,LE,53,57
Vader,LE,67,61
Logan,LE,167,116
Alpha,LE,179,260
Berwick,LE,246,192
Evaline East,LE,57,55
Lincoln Creek,LE,107,131
Randle East,LE,220,101
Salmon Creek,LE,274,234
Emery North(*),LE,0,0
Emery(*),LE,0,0
Winlock,LE,139,87
Prescott,LE,297,282
Total,LE,10795,8910
Kelly,LE,0,0
Roswell,LE,2,6
Centralia #10,LE,63,60
Centralia #11,LE,181,134
Centralia #12,LE,187,204
Centralia #13,LE,209,184
Morton,LE,182,83
