Row Label,County,David Spring,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Chad Magendanz
B-D 05-0239,KI,76,560,11,284,0,0,197
SWEENEY,KI,124,575,29,341,0,1,187
M-V 05-2841,KI,69,385,13,188,0,0,106
NOVELTY,KI,171,605,23,336,0,0,142
DORRE DON,KI,141,793,33,477,0,0,303
KEN 05-3462,KI,0,0,0,0,0,0,0
CAR 05-3290,KI,124,515,39,309,0,1,145
CHALLENGER,KI,73,293,14,185,0,0,98
SQUAK MOUNTAIN,KI,40,188,6,115,0,0,69
ISS 05-3206,KI,214,758,34,419,0,1,170
MARGERY,KI,164,762,36,360,0,0,160
N-B 05-2683,KI,118,706,30,351,0,6,197
TOLT,KI,65,317,17,188,0,2,104
TWIN PEAKS,KI,170,700,30,401,0,0,201
MAY VALLEY,KI,81,492,15,246,0,0,150
ISS 05-0543,KI,168,622,29,314,0,0,117
BITTERROOT,KI,88,483,18,262,0,1,155
CUMBERLAND,KI,41,345,19,195,0,2,133
ISS 05-0545,KI,85,316,17,172,0,1,69
ISS 05-0544,KI,141,647,29,295,0,0,125
ISS 05-3572,KI,166,855,32,331,0,1,132
SNQ 05-1097,KI,77,402,17,177,0,0,83
ISS 05-0548,KI,182,772,44,398,0,0,172
ARTHUR,KI,162,863,28,510,0,1,319
DANIEL,KI,111,574,36,323,0,2,174
ISS 05-2806,KI,115,399,27,243,0,0,101
HAAS,KI,81,303,15,199,0,0,103
WOLF,KI,120,690,25,308,0,0,163
B-D 05-0240,KI,64,419,16,207,0,0,127
M-V 05-3322,KI,83,382,20,189,0,0,86
THRUSH,KI,72,275,8,144,0,0,64
RIVERBEND,KI,134,762,43,345,0,1,167
SHADOW LAKE,KI,115,610,21,334,0,1,197
ISS 05-3649,KI,86,404,16,188,0,0,86
GRIZZLY,KI,135,653,31,353,0,0,187
LAKE JOY,KI,199,845,44,478,0,0,235
HORSESHOE,KI,116,490,19,289,0,2,152
BACUS,KI,138,443,12,271,0,1,120
RENHILL,KI,82,406,24,204,0,0,98
B-D 05-2413,KI,104,466,25,284,0,1,154
MOUNT SI,KI,73,274,15,166,0,1,77
BARCLAY,KI,73,295,11,162,0,0,78
ISS 05-0550,KI,71,300,13,172,0,1,87
SELLECK,KI,109,784,37,420,0,1,273
M-V 05-1218,KI,126,674,27,378,0,0,225
MIDDLE FORK,KI,68,383,16,214,0,3,127
DIANE,KI,0,0,0,0,0,0,0
MIRRORMONT,KI,85,446,15,243,0,0,143
DIPPER,KI,156,675,21,346,0,1,168
BRIARWOOD,KI,99,582,25,293,0,0,169
N-B 05-3407,KI,117,628,33,381,0,0,231
M-V 05-3482,KI,156,870,30,441,0,2,253
ISS 05-3651,KI,82,396,15,170,0,1,72
SI VIEW,KI,90,433,18,259,0,0,151
ISS 05-2461,KI,165,572,24,364,0,3,172
SEAN,KI,151,690,43,367,0,1,172
SNQ 05-3558,KI,97,487,19,236,0,0,120
B-D 05-2407,KI,127,838,33,447,0,0,287
M-V 05-3536,KI,90,572,23,275,0,1,161
RAVENSDALE,KI,72,497,24,252,0,1,155
ISS 05-3559,KI,215,907,50,529,0,0,264
MEADOWBROOK,KI,90,300,7,173,0,0,76
PRESTON,KI,150,661,28,383,0,1,204
M-V 05-3601,KI,98,496,29,239,0,2,110
ISS 05-3552,KI,146,742,40,308,0,0,122
ALDARRA,KI,151,711,41,434,0,2,240
LYNX,KI,106,531,12,276,0,2,156
M-V 05-3589,KI,112,725,24,343,0,0,207
TIGER MTN,KI,189,742,30,447,3,1,224
N-B 05-3296,KI,138,682,34,392,0,0,220
LAKE ALICE,KI,113,519,33,295,0,1,148
LUND,KI,121,740,35,409,0,0,253
ISS 05-0547,KI,90,327,12,191,0,0,89
M-V 05-2614,KI,147,831,31,422,0,2,242
ISS 05-0546,KI,59,220,11,121,0,0,51
COUNTRYSIDE,KI,122,667,27,280,0,0,131
RAGING RIVER,KI,123,505,23,268,0,1,121
TANNER,KI,115,695,30,343,0,0,198
SNQ 05-3409,KI,111,787,37,399,0,0,251
HI-VALLEY,KI,178,829,42,542,0,1,321
N-B 05-3406,KI,75,309,16,136,0,0,45
CEDAR RIVER,KI,77,481,28,259,0,0,154
MAPLE HILLS,KI,150,719,25,391,0,0,216
COALFIELD,KI,145,713,30,396,0,1,220
M-V 05-0697,KI,134,673,40,385,0,0,211
M-V 05-2748,KI,139,806,33,347,0,2,173
B-D 05-3463,KI,0,0,0,0,0,0,0
CROW,KI,59,389,25,197,0,1,112
RATTLESNAKE,KI,91,605,33,333,0,1,208
SNO-VALLEY,KI,133,760,30,408,0,1,244
ISS 05-3634,KI,62,422,17,190,0,0,111
RIVERSIDE,KI,77,396,16,220,0,0,127
M-V 05-3510,KI,63,381,16,213,0,0,134
IDA,KI,60,260,15,146,0,0,71
B-D 05-3310,KI,98,492,23,273,0,1,151
CAR 05-0290,KI,126,512,37,276,0,0,113
FALL CITY,KI,113,520,29,275,0,1,132
SNQ 05-3667,KI,82,451,20,224,0,0,122
BOWOOD,KI,145,625,33,339,0,1,160
VEAZIE,KI,106,619,31,356,0,0,219
TWO RIVERS,KI,179,779,38,465,0,0,248
FARLEY,KI,100,739,44,414,0,1,269
ALPINE,KI,99,564,40,324,0,0,185
LORA,KI,132,607,37,343,0,0,174
WAXWING,KI,61,295,14,178,0,0,103
FOUR LAKES,KI,143,733,34,403,0,0,226
KRAIN,KI,112,565,37,372,0,0,223
MILWAUKEE,KI,14,50,3,24,0,0,7
MARCEL,KI,85,371,22,207,0,0,100
M-V 05-3367,KI,108,763,32,358,0,2,216
M-V 05-3366,KI,80,446,13,172,0,0,79
GREEN RIVER,KI,70,482,29,261,0,0,162
KINGLET,KI,107,532,29,227,0,0,91
M-V 05-3369,KI,148,680,26,383,0,0,209
M-V 05-3368,KI,119,748,37,350,0,3,191
DUTHIE HILL,KI,67,356,10,208,0,0,131
M-V 05-3600,KI,93,616,30,270,0,0,147
ISS 05-3527,KI,102,587,29,249,0,0,118
BROOKSHIRE,KI,71,430,20,207,0,0,116
PATTERSON,KI,178,861,35,505,0,2,290
M-V 05-3272,KI,155,878,30,436,0,0,251
MCDONALD,KI,117,525,23,285,0,0,145
N-B 05-0859,KI,134,487,30,291,0,0,127
N-B 05-0858,KI,95,469,18,222,0,0,109
SNQ 05-3151,KI,119,627,25,297,0,1,152
GOLDFINCH,KI,70,281,15,165,0,0,80
RNT 05-3698,KI,12,52,0,27,0,0,15
LAKE RETREAT,KI,117,654,21,347,0,0,209
HUTCHINSON,KI,167,678,32,427,0,0,228
TAHOMA,KI,100,571,32,313,0,1,180
M-V 05-3373,KI,122,662,38,360,0,2,198
HUNTER,KI,162,811,42,389,0,1,184
MATTHEW,KI,85,461,21,243,0,0,137
ISS 05-3145,KI,149,895,37,406,0,0,220
M-V 05-0528,KI,90,344,24,266,0,1,151
HUSKY,KI,134,650,29,340,0,0,177
MCCOY,KI,90,646,26,368,0,0,252
VINCENT,KI,74,411,20,210,0,0,116
SNQ 05-3645,KI,0,0,0,0,0,0,0
SNQ 05-3512,KI,152,823,46,472,0,1,273
SNQ 05-3513,KI,157,896,42,463,0,0,264
ISS 05-3691,KI,74,314,16,172,0,0,82
ISS 05-3697,KI,0,0,0,0,0,0,0
SNQ 05-3514,KI,134,648,34,358,0,0,190
ENM 05-3414,KI,0,0,0,0,0,0,0
N-B 05-3611,KI,115,664,27,316,0,0,174
M-V 05-3242,KI,99,588,26,262,0,0,137
AMES LAKE,KI,181,810,44,445,0,0,220
NAILA,KI,166,798,41,416,0,0,209
VALENCIA,KI,94,501,24,258,0,0,140
M-V 05-3245,KI,113,636,21,367,0,5,228
KENTLAKE,KI,108,647,27,290,0,0,155
M-V 05-3461,KI,110,779,31,352,0,1,210
RANCH,KI,72,444,26,233,0,0,135
ISS 05-2929,KI,156,562,32,341,0,1,152
SNQ 05-3511,KI,132,860,44,477,0,0,301
COLLEEN,KI,126,488,20,304,0,0,158
HOBART,KI,124,621,28,374,0,2,220
COOPER,KI,100,473,20,278,0,0,158
ISS 05-3504,KI,125,610,27,267,0,0,115
M-V 05-2857,KI,155,703,31,394,0,1,207
SNQ 05-3633,KI,63,404,18,166,0,0,85
ISS 05-3503,KI,86,504,32,240,0,3,119
SNQ 05-3560,KI,110,502,23,263,1,1,128
ISS 05-3464,KI,155,829,33,376,0,1,187
ISS 05-3138,KI,116,435,27,287,0,2,142
KLAHANIE,KI,96,468,31,264,0,0,137
PINE,KI,22,139,6,76,0,0,48
SNO PASS,KI,47,208,6,131,0,1,77
KEN 05-3375,KI,0,0,0,0,0,0,0
