Row Label,County,Mary Yu
Pct 008,FR,167
Pct 009,FR,64
Pct 002,FR,101
Pct 003,FR,49
Pct 001,FR,179
Pct 006,FR,90
Pct 007,FR,85
Pct 004,FR,74
Pct 005,FR,67
Pct 082,FR,76
Pct 083,FR,70
Pct 080,FR,209
Pct 081,FR,59
Pct 086,FR,63
Pct 087,FR,52
Pct 084,FR,41
Pct 085,FR,35
Pct 088,FR,27
Pct 089,FR,99
Pct 079,FR,87
Pct 078,FR,60
Pct 077,FR,41
Pct 076,FR,72
Pct 075,FR,36
Pct 074,FR,169
Pct 073,FR,193
Pct 072,FR,106
Pct 071,FR,128
Pct 070,FR,46
Pct 101,FR,86
Pct 100,FR,69
Pct 068,FR,11
Pct 069,FR,31
Pct 064,FR,146
Pct 065,FR,72
Pct 066,FR,202
Pct 067,FR,154
Pct 060,FR,72
Pct 061,FR,201
Pct 062,FR,253
Pct 063,FR,159
Pct 059,FR,231
Pct 058,FR,19
Pct 051,FR,190
Pct 050,FR,191
Pct 053,FR,149
Pct 052,FR,47
Pct 055,FR,251
Pct 054,FR,86
Pct 057,FR,142
Pct 056,FR,133
Pct 046,FR,230
Pct 047,FR,23
Pct 044,FR,142
Pct 045,FR,200
Pct 042,FR,126
Pct 043,FR,136
Pct 040,FR,166
Pct 041,FR,86
Pct 048,FR,177
Pct 049,FR,177
Pct 033,FR,132
Pct 032,FR,322
Pct 031,FR,53
Pct 030,FR,52
Pct 037,FR,235
Pct 036,FR,228
Pct 035,FR,92
Pct 034,FR,193
Pct 039,FR,172
Pct 038,FR,164
Pct 020,FR,51
Pct 021,FR,32
Pct 022,FR,139
Pct 023,FR,246
Pct 024,FR,122
Pct 025,FR,42
Pct 026,FR,96
Pct 027,FR,66
Pct 028,FR,61
Pct 029,FR,77
Pct 019,FR,130
Pct 018,FR,48
Pct 015,FR,100
Pct 014,FR,79
Pct 017,FR,103
Pct 016,FR,16
Pct 011,FR,87
Pct 010,FR,103
Pct 013,FR,58
Pct 012,FR,65
Pct 095,FR,51
Pct 094,FR,0
Pct 097,FR,38
Pct 096,FR,63
Pct 091,FR,9
Pct 090,FR,130
Pct 093,FR,131
Pct 092,FR,110
Total,FR,10838
Pct 099,FR,21
Pct 098,FR,18
