Row Label,County,Donna Wilson
PCT 3329,SP,245
PCT 4448,SP,265
PCT 3323,SP,293
PCT 3322,SP,250
PCT 3321,SP,286
PCT 3320,SP,228
PCT 3327,SP,210
PCT 3326,SP,138
PCT 4438,SP,458
PCT 4439,SP,348
PCT 3325,SP,360
PCT 4432,SP,326
PCT 4433,SP,231
PCT 4430,SP,363
PCT 3324,SP,301
PCT 4436,SP,429
PCT 4437,SP,397
PCT 4434,SP,437
PCT 4435,SP,356
PCT 7028,SP,415
PCT 7029,SP,309
PCT 7020,SP,317
PCT 7021,SP,209
PCT 7022,SP,235
PCT 7023,SP,273
PCT 7024,SP,393
PCT 7025,SP,291
PCT 7026,SP,292
PCT 7027,SP,282
PCT 3222,SP,142
PCT 3223,SP,189
PCT 3220,SP,331
PCT 3221,SP,322
PCT 6221,SP,368
PCT 6220,SP,349
PCT 6223,SP,352
PCT 6222,SP,260
PCT 6225,SP,391
PCT 6224,SP,319
PCT 3128,SP,270
PCT 3121,SP,245
PCT 3120,SP,275
PCT 3123,SP,242
PCT 3122,SP,303
PCT 3125,SP,240
PCT 3124,SP,282
PCT 3127,SP,250
PCT 3126,SP,57
PCT 9400,SP,23
PCT 4034,SP,247
PCT 4035,SP,208
PCT 4032,SP,180
PCT 4033,SP,226
PCT 4030,SP,215
PCT 4031,SP,236
PCT 6315,SP,205
PCT 6314,SP,304
PCT 6317,SP,213
PCT 6316,SP,138
PCT 6311,SP,260
PCT 6310,SP,275
PCT 6313,SP,368
PCT 6312,SP,291
PCT 6318,SP,281
PCT 6009,SP,268
PCT 6008,SP,259
PCT 9700,SP,104
PCT 6001,SP,255
PCT 6000,SP,208
PCT 6003,SP,321
PCT 6002,SP,73
PCT 6005,SP,279
PCT 6004,SP,201
PCT 6007,SP,273
PCT 6006,SP,281
PCT 3301,SP,418
PCT 3300,SP,259
PCT 3303,SP,300
PCT 3302,SP,311
PCT 3305,SP,223
PCT 3304,SP,315
PCT 3307,SP,220
PCT 3306,SP,301
PCT 3309,SP,302
PCT 3308,SP,309
PCT 6500,SP,70
PCT 6218,SP,298
PCT 6219,SP,315
PCT 6210,SP,366
PCT 6211,SP,240
PCT 6212,SP,211
PCT 6213,SP,358
PCT 6214,SP,260
PCT 6215,SP,367
PCT 6216,SP,291
PCT 6217,SP,353
PCT 3110,SP,216
PCT 3111,SP,216
PCT 3112,SP,17
PCT 3113,SP,303
PCT 3114,SP,298
PCT 3115,SP,280
PCT 3116,SP,285
PCT 3117,SP,212
PCT 3118,SP,191
PCT 3119,SP,242
PCT 4429,SP,349
PCT 4428,SP,228
PCT 4425,SP,257
PCT 4424,SP,300
PCT 4427,SP,402
PCT 4426,SP,185
PCT 4421,SP,256
PCT 4420,SP,154
PCT 4423,SP,431
PCT 4422,SP,356
PCT 7033,SP,199
PCT 7032,SP,308
PCT 7031,SP,300
PCT 7030,SP,315
PCT 7036,SP,244
PCT 7035,SP,210
PCT 7034,SP,211
PCT 6602,SP,304
PCT 6601,SP,268
PCT 6600,SP,289
PCT 6030,SP,404
PCT 6031,SP,214
PCT 6032,SP,162
PCT 6033,SP,406
PCT 6034,SP,314
