Row Label,County,Katie Svoboda,Mike Spencer
Montesano 601,GY,384,298
Riviera 050,GY,18,21
McCleary Rural 060,GY,167,162
Hoquiam 421,GY,158,121
Satsop 052,GY,82,67
Aberdeen 132,GY,0,0
Lois Lane 082,GY,44,66
Montesano 603,GY,0,0
Ocosta 092,GY,0,0
Cutoff032,GY,43,41
Johns River 094,GY,123,132
Melbourne 072,GY,148,138
Bush 058,GY,202,270
Aberdeen 121,GY,251,212
Geissler 036,GY,27,17
Coats Landing 034,GY,131,104
Hoquiam 441,GY,222,141
Grayland 096,GY,127,111
Hoquiam 461,GY,150,115
Blockhouse 068,GY,107,120
Boundary 044,GY,19,23
Westport 901,GY,274,192
Humptulips 018,GY,14,34
Chehalis 066,GY,3,2
Elma 302,GY,218,199
Aberdeen 111,GY,242,263
Cohasset 098,GY,75,80
Aberdeen Lake 038(*),GY,0,0
Burrows 014,GY,17,15
Quinault 004,GY,54,83
Porter 062,GY,67,101
Delezenne 070,GY,145,161
Pacific Beach 008,GY,99,68
Aberdeen 131,GY,316,309
Elma 301,GY,93,103
Axford 020,GY,56,59
Brady 048,GY,236,200
Dekay 022,GY,38,35
Ocean City 012,GY,128,101
Moclips 010,GY,13,7
Sierra 086(*),GY,0,0
Cosmopolis 201,GY,258,263
Cedar Creek 064,GY,39,48
Ocean Shores 801,GY,305,192
Ocean Shores 802,GY,361,310
Ocean Shores 803,GY,318,254
Aberdeen 141,GY,224,315
Calder 056,GY,105,126
Lund 088,GY,26,38
Taholah 002,GY,135,38
Aberdeen 142,GY,225,175
Devonshire 074,GY,120,126
Reynvaan 040,GY,59,50
Hoquiam 411,GY,182,155
Aberdeen 161,GY,257,227
Wilderness 016,GY,48,45
Hoquiam 451,GY,183,110
Hoquiam 431,GY,232,118
Blue Slough 084,GY,99,79
Black Creek 046,GY,232,215
Hoquiam Rural 024,GY,164,121
Wishkah 030,GY,121,131
North Wishkah 028(*),GY,0,0
Stover 026,GY,34,26
Oakville 701,GY,50,70
Vesta 076,GY,32,33
Artic 078,GY,26,27
Wynoochee 042,GY,3,3
Montesano 602,GY,355,278
Aberdeen 151,GY,152,138
Central Park 080,GY,283,275
Newskah 090,GY,11,5
McCleary 501,GY,163,180
Neilton 006,GY,32,38
Total,GY,9327,8385
