Row Label,County,"Charles J. Delaurenti, II",Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
B-D 05-0239,KI,166,560,118,284,0,0
AUB 47-3585,KI,97,374,55,152,0,0
M-V 05-2841,KI,115,385,73,188,0,0
KEN 33-3232,KI,121,502,82,204,0,1
COV 47-0279,KI,220,832,145,369,0,4
COV 47-2843,KI,213,792,179,395,0,3
RNT 11-1012,KI,144,589,95,242,0,3
KEN 33-3629,KI,16,61,11,27,0,0
KEN 47-0835,KI,146,645,129,276,0,1
RNT 11-0964,KI,143,557,116,260,0,1
RNT 11-0962,KI,89,309,36,127,0,2
TIMBER,KI,210,664,145,358,0,3
B-D 05-0240,KI,113,419,90,207,0,4
KEN 47-3190,KI,139,693,100,241,0,2
M-V 05-3600,KI,148,616,122,270,0,0
RNT 11-3660,KI,100,341,71,174,0,3
AUB 47-3518,KI,153,640,156,309,0,0
KEN 47-2838,KI,197,650,107,307,0,3
PAC 30-0885,KI,178,762,161,342,0,3
PAC 30-0887,KI,208,796,120,332,0,4
PAC 30-0886,KI,169,668,116,287,0,2
DARWOOD,KI,148,472,132,285,0,5
RNT 41-3438,KI,90,365,68,160,0,2
BRIARWOOD,KI,149,582,143,293,0,1
KEN 47-0880,KI,89,362,57,148,0,2
KEN 47-3537,KI,141,557,107,249,0,1
AUB 47-0059,KI,188,678,177,365,0,0
RNT 33-0455,KI,187,767,146,339,0,6
KEN 47-3447,KI,67,248,39,107,0,1
KEN 47-2667,KI,114,528,60,176,0,2
RNT 11-1008,KI,152,662,107,264,0,5
RNT 11-1007,KI,69,315,79,149,0,1
RNT 11-1006,KI,106,453,87,194,0,1
RNT 11-1004,KI,84,317,57,141,0,0
AUB 47-0055,KI,89,391,67,156,0,0
KEN 47-0498,KI,65,231,29,94,0,0
PTARMIGAN,KI,121,344,70,195,0,4
SPRING LAKE,KI,215,745,215,431,0,1
AUB 31-0078,KI,100,404,93,193,0,0
AUB 31-0070,KI,184,655,81,267,0,2
RNT 37-0965,KI,220,708,122,346,0,4
AUB 47-3635,KI,157,746,135,295,0,3
WANDA,KI,118,417,84,205,0,3
RNT 11-3590,KI,219,710,104,327,0,4
M-V 05-3589,KI,215,725,125,343,0,3
COV 47-3551,KI,103,375,75,181,0,3
BETTY,KI,174,775,86,263,0,3
AUB 30-2702,KI,113,470,42,156,0,1
AUB 30-2703,KI,47,262,16,63,0,0
KEN 47-2985,KI,135,571,63,198,0,0
RNT 05-3698,KI,20,52,7,27,0,0
RNT 11-3564,KI,122,491,123,246,0,1
FAIRWEATHER,KI,96,269,68,164,0,0
MONEYSMITH,KI,208,669,182,390,0,0
MAPLE HILLS,KI,224,719,163,391,0,4
M-V 05-2748,KI,217,806,127,347,0,3
CROW,KI,87,389,107,197,0,3
KEN 33-3378,KI,200,725,131,333,0,2
RNT 37-0969,KI,0,0,0,0,0,0
RNT 11-2583,KI,219,838,146,368,0,3
RNT 11-2582,KI,177,795,86,270,0,7
RNT 11-2581,KI,177,668,139,322,0,6
RNT 37-0967,KI,159,503,73,236,0,4
KEN 33-2618,KI,196,795,106,306,0,4
M-V 05-3510,KI,131,381,82,213,0,0
RNT 11-0719,KI,87,243,46,134,0,1
RNT 11-0804,KI,211,842,129,342,0,2
TOTEM,KI,11,70,20,31,0,0
AUB 47-2729,KI,103,396,77,182,0,2
CLAY,KI,123,438,112,237,0,2
FARLEY,KI,183,739,226,414,0,5
KEN 11-0893,KI,124,580,83,209,0,2
AUB 47-2723,KI,151,346,80,234,0,3
AUB 47-0671,KI,179,785,148,329,0,2
RNT 11-0988,KI,116,437,54,172,0,2
RNT 11-0985,KI,108,325,59,167,0,0
RNT 11-0984,KI,93,279,47,140,0,0
RNT 11-0986,KI,210,719,132,349,0,7
AUB 47-2478,KI,196,490,132,328,0,0
RNT 11-0980,KI,59,333,30,90,0,1
AUB 47-2573,KI,248,679,139,391,0,4
KEN 33-3670,KI,77,288,43,120,0,0
GREEN RIVER,KI,139,482,120,261,0,2
KEN 33-0578,KI,131,501,74,207,0,2
KEN 33-0576,KI,96,394,66,165,0,3
KEN 33-0577,KI,105,371,64,170,0,1
KEN 33-0575,KI,107,413,46,153,0,0
BERRYDALE,KI,130,505,146,277,0,1
AUB 47-3413,KI,194,758,128,323,0,1
LOUIE,KI,135,512,101,236,0,0
PIPELINE,KI,45,153,35,82,0,2
M-V 05-3601,KI,150,496,86,239,0,3
MORGAN,KI,181,631,123,305,0,1
KEN 47-0842,KI,204,796,163,368,0,1
ENM 31-0409,KI,96,379,100,196,0,0
LAKE RETREAT,KI,177,654,164,347,0,6
CLOVER,KI,171,594,126,299,0,2
RNT 11-1125,KI,169,661,98,268,0,1
MERRIHILL,KI,201,687,118,324,0,5
RNT 33-2472,KI,152,587,95,252,0,5
HUSKY,KI,182,650,156,340,0,2
CHINOOK,KI,183,671,171,357,0,3
RNT 11-2739,KI,89,274,48,140,0,3
AUB 31-3299,KI,69,248,85,155,0,1
SHADOW LAKE,KI,181,610,150,334,0,3
KEN 33-1055,KI,75,424,48,123,0,0
BROKEN HILL,KI,155,639,113,268,0,0
LAKE DESIRE,KI,179,605,143,323,0,1
NAILA,KI,228,798,184,416,0,4
KEN 47-0601,KI,203,733,86,291,0,2
KEN 47-0600,KI,26,131,20,46,0,0
ALG 30-0014,KI,160,486,67,229,0,2
KEN 47-0439,KI,169,585,138,309,0,2
M-V 05-3461,KI,201,779,145,352,0,6
COV 47-3517,KI,82,263,86,168,0,0
CALHOUN,KI,156,574,77,236,0,3
RNT 11-2844,KI,213,845,138,354,0,3
RNT 11-2845,KI,161,548,60,221,0,0
SHAMROCK,KI,190,693,136,332,0,6
KEN 47-0026,KI,118,357,51,169,0,0
ROWAN,KI,105,356,86,195,0,4
ANGEL CITY,KI,167,745,126,299,0,6
ENM 31-3248,KI,244,732,195,442,0,3
ENM 31-3247,KI,178,682,144,323,0,1
ENM 31-3246,KI,65,264,59,127,0,3
RNT 11-0502,KI,210,703,133,346,0,3
