Row Label,County,David M. Christie,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
VASHON,KI,96,390,119,215,0,0
DOLPHIN,KI,88,275,92,183,0,3
FED 30-3372,KI,133,450,93,227,0,1
BUR 34-0377,KI,177,607,115,293,0,1
DES 33-2455,KI,118,579,55,175,0,2
FED 30-3012,KI,102,301,92,194,0,0
WESTWOOD,KI,0,0,0,0,0,0
BUR 34-0465,KI,72,228,60,132,0,0
BUR 34-1047,KI,197,744,155,355,0,3
DES 33-0016,KI,97,281,83,180,0,0
TROUT LAKE,KI,205,719,142,352,0,5
DES 33-1146,KI,160,591,131,299,0,8
BILOXI,KI,137,430,147,287,0,3
SEALTH,KI,114,378,113,229,0,2
DES 33-0362,KI,125,554,80,209,0,4
TUK 11-1165,KI,201,752,138,340,0,1
SET 33-3066,KI,102,491,76,179,0,1
SET 33-3076,KI,182,623,123,310,0,5
SET 33-3081,KI,158,738,109,269,0,2
DES 30-1227,KI,204,635,171,378,0,3
FED 30-3034,KI,81,359,90,171,0,0
BUR 33-0701,KI,190,722,101,291,0,0
FED 30-3036,KI,95,342,52,148,0,1
FED 30-3037,KI,134,359,55,191,0,2
FED 30-3030,KI,102,361,70,175,0,3
BUR 33-0705,KI,145,701,110,260,0,5
FED 30-3032,KI,81,267,50,131,0,0
FED 30-3033,KI,125,408,74,201,0,2
SET 33-3101,KI,140,366,84,228,0,4
FED 30-3238,KI,99,359,47,148,0,2
DES 33-1071,KI,103,390,77,181,0,1
FED 30-3038,KI,62,198,52,115,0,1
FED 30-3039,KI,122,331,59,186,0,5
FED 30-3237,KI,209,745,164,376,0,3
TUK 11-2951,KI,127,601,108,236,0,1
CHAUTAUQUA,KI,120,416,136,259,0,3
BUR 34-0344,KI,156,420,144,301,0,1
ROUNDTABLE,KI,124,602,88,212,0,0
TUK 11-2952,KI,76,294,50,126,0,0
BUR 34-1058,KI,167,493,148,315,0,0
BUR 34-1059,KI,192,614,127,321,0,2
BUR 34-1057,KI,221,660,201,423,0,1
BAKER,KI,177,599,166,347,0,4
FED 30-3055,KI,179,575,100,280,0,1
COVE,KI,157,545,191,350,0,2
BUR 34-0699,KI,284,823,202,489,0,3
BUR 34-1116,KI,121,387,69,192,0,2
FED 30-3085,KI,138,416,117,257,0,2
FED 30-3087,KI,154,508,102,259,0,3
FED 30-3086,KI,165,526,114,279,0,0
BURTON,KI,77,241,86,163,0,0
FED 30-3088,KI,156,538,104,263,0,3
DES 33-0532,KI,88,271,60,148,0,0
TUK 11-2751,KI,65,273,71,136,0,0
TUK 11-3499,KI,67,245,41,109,0,1
FED 30-3008,KI,101,365,59,163,0,3
SET 33-3618,KI,85,325,35,125,0,5
FED 30-3001,KI,226,622,128,357,0,3
FED 30-3000,KI,121,479,73,197,0,3
FED 30-3003,KI,157,563,112,270,0,1
FED 30-3002,KI,194,690,116,314,0,4
BUR 33-0289,KI,112,412,72,188,0,4
FED 30-3004,KI,117,442,69,188,0,2
FED 30-3007,KI,85,242,59,144,0,0
DOLLOFF,KI,115,412,106,223,0,2
