Row Label,PrecinctCode,County,Registered Voters,Nathan Davis,Leo Jenkins
Total,-1,FE,NULL,1866,975
BELCHER,101,FE,NULL,74,26
BOYDS,102,FE,NULL,90,36
CURLEW,103,FE,NULL,18,11
HALL CREEK,104,FE,NULL,63,37
INCHELIUM,105,FE,NULL,13,71
KELLER,106,FE,NULL,68,39
KETTLE RIVER,107,FE,NULL,129,78
KEWA,108,FE,NULL,40,62
LAMBERT,109,FE,NULL,53,24
MALO,110,FE,NULL,108,49
ORIENT,111,FE,NULL,76,58
REPUBLIC 1,112,FE,NULL,146,57
REPUBLIC 2,113,FE,NULL,123,71
SAN POIL,114,FE,NULL,201,57
SHERMAN,115,FE,NULL,136,76
SOUTH LAKE,116,FE,NULL,104,44
STORM KING,117,FE,NULL,161,51
TORODA,118,FE,NULL,70,37
TROUT CREEK,119,FE,NULL,193,91
