Row Label,PrecinctCode,County,Registered Voters,Kim Morrison
Total,-1,CH,NULL,15032
100,100,CH,NULL,6
110,110,CH,NULL,188
111,111,CH,NULL,58
112,112,CH,NULL,16
113,113,CH,NULL,36
114,114,CH,NULL,244
115,115,CH,NULL,24
116,116,CH,NULL,88
120,120,CH,NULL,187
121,121,CH,NULL,178
122,122,CH,NULL,104
123,123,CH,NULL,26
124,124,CH,NULL,41
125,125,CH,NULL,354
126,126,CH,NULL,47
127,127,CH,NULL,73
128,128,CH,NULL,39
129,129,CH,NULL,134
131,131,CH,NULL,36
132,132,CH,NULL,23
133,133,CH,NULL,231
134,134,CH,NULL,359
135,135,CH,NULL,361
136,136,CH,NULL,4
140,140,CH,NULL,105
141,141,CH,NULL,8
142,142,CH,NULL,28
143,143,CH,NULL,2
144,144,CH,NULL,19
145,145,CH,NULL,18
146,146,CH,NULL,66
147,147,CH,NULL,350
148,148,CH,NULL,143
149,149,CH,NULL,166
150,150,CH,NULL,36
151,151,CH,NULL,3
152,152,CH,NULL,3
153,153,CH,NULL,485
154,154,CH,NULL,425
155,155,CH,NULL,150
156,156,CH,NULL,42
157,157,CH,NULL,338
158,158,CH,NULL,165
159,159,CH,NULL,8
161,161,CH,NULL,28
162,162,CH,NULL,21
163,163,CH,NULL,19
164,164,CH,NULL,131
165,165,CH,NULL,83
171,171,CH,NULL,9
172,172,CH,NULL,10
173,173,CH,NULL,14
174,174,CH,NULL,237
175,175,CH,NULL,408
181,181,CH,NULL,306
182,182,CH,NULL,265
183,183,CH,NULL,151
190,190,CH,NULL,25
210,210,CH,NULL,217
220,220,CH,NULL,255
310,310,CH,NULL,139
320,320,CH,NULL,217
330,330,CH,NULL,239
410,410,CH,NULL,289
420,420,CH,NULL,309
430,430,CH,NULL,413
440,440,CH,NULL,456
450,450,CH,NULL,390
460,460,CH,NULL,353
480,480,CH,NULL,375
490,490,CH,NULL,574
510,510,CH,NULL,210
520,520,CH,NULL,556
530,530,CH,NULL,411
540,540,CH,NULL,331
560,560,CH,NULL,354
580,580,CH,NULL,258
590,590,CH,NULL,333
610,610,CH,NULL,250
710,710,CH,NULL,234
720,720,CH,NULL,338
730,730,CH,NULL,372
1149,1149,CH,NULL,27
1150,1150,CH,NULL,6
1151,1151,CH,NULL,2
