Row Label,PrecinctCode,County,Registered Voters,Tammy Peterson 
Total,-1,WK,NULL,1327
01 - DEEP RIVER,1,WK,NULL,72
02 - GRAYS RIVER,2,WK,NULL,91
03 - ROSBURG / ALTOONA,3,WK,NULL,112
04 - SKAMOKAWA,4,WK,NULL,118
05 - ELOCHOMAN,5,WK,NULL,194
06 - ROSEDALE,6,WK,NULL,105
07 - COLUMBIA,7,WK,NULL,169
08 - EAST PUGET ISLAND,8,WK,NULL,108
09 - WEST PUGET ISLAND,9,WK,NULL,200
10 - SOUTH CATHLAMET,10,WK,NULL,108
11 - NORTH CATHLAMET,11,WK,NULL,50
