Row Label,PrecinctCode,County,Registered Voters,Dena Diamond-Ott,Loren G. Sievila
Total,-1,CZ,NULL,16256,10844
Alabama,1,CZ,NULL,149,109
Ammons,2,CZ,NULL,165,149
Arkansas,3,CZ,NULL,110,76
Bakers,4,CZ,NULL,12,8
Baltimore,5,CZ,NULL,241,162
Beacon,6,CZ,NULL,352,220
Boondox,7,CZ,NULL,10,7
Brynion,8,CZ,NULL,197,123
Burcham,9,CZ,NULL,453,247
Caples,10,CZ,NULL,93,67
Carrolls,11,CZ,NULL,265,187
Castle Rock,12,CZ,NULL,354,186
Chinook,13,CZ,NULL,315,174
Cloverdale,14,CZ,NULL,229,116
Coal Creek,15,CZ,NULL,342,247
Columbia Heights,16,CZ,NULL,133,114
Columbia Valley Gdns,17,CZ,NULL,200,120
Crawford,18,CZ,NULL,225,177
Delameter,19,CZ,NULL,238,147
Douglas(*),20,CZ,NULL,0,0
Elk Ridge(*),21,CZ,NULL,0,0
Harris,22,CZ,NULL,250,155
Haussler,23,CZ,NULL,185,96
Hillcrest,24,CZ,NULL,401,324
Hudson,25,CZ,NULL,268,180
Industrial,26,CZ,NULL,0,0
Kalama North,27,CZ,NULL,248,105
Kalama South,28,CZ,NULL,337,131
Kessler,29,CZ,NULL,299,206
Lake,30,CZ,NULL,222,147
Laurel,31,CZ,NULL,294,239
Lewis River,32,CZ,NULL,280,291
Lexington,33,CZ,NULL,239,128
Lone Oak,34,CZ,NULL,147,104
Magnolia,35,CZ,NULL,373,281
Marigold,36,CZ,NULL,343,203
McGowan,37,CZ,NULL,47,46
Memorial,38,CZ,NULL,160,101
Mill,39,CZ,NULL,318,179
Mint Valley,40,CZ,NULL,388,234
Modrow,41,CZ,NULL,257,132
Mt. Solo,42,CZ,NULL,80,51
Nevada,43,CZ,NULL,212,161
Ocean Beach,44,CZ,NULL,226,193
Olson,45,CZ,NULL,168,119
Ostrander,46,CZ,NULL,272,192
Owl Creek,47,CZ,NULL,352,215
Pacific,48,CZ,NULL,272,192
Ponderosa,49,CZ,NULL,233,135
Powell,50,CZ,NULL,252,151
Redpath,51,CZ,NULL,198,128
Ridgecrest,52,CZ,NULL,21,12
Robbins,53,CZ,NULL,349,222
Rose Valley,54,CZ,NULL,178,128
Ryderwood,55,CZ,NULL,76,119
Sacajawea,56,CZ,NULL,435,344
Sandy Bend,57,CZ,NULL,283,127
Silver Lake,58,CZ,NULL,432,255
Sparks,59,CZ,NULL,178,80
St. Helens,60,CZ,NULL,116,87
Stella,61,CZ,NULL,255,157
Toutle,62,CZ,NULL,325,180
Tower,63,CZ,NULL,351,263
Tunstall,64,CZ,NULL,112,67
View,65,CZ,NULL,167,128
West Kelso,66,CZ,NULL,67,38
Willow Grove,67,CZ,NULL,90,46
Windemere,68,CZ,NULL,357,239
Woodage,69,CZ,NULL,154,150
Woodland North,70,CZ,NULL,331,242
Woodland South,71,CZ,NULL,259,221
Yale,72,CZ,NULL,143,159
