Row Label,PrecinctCode,County,Registered Voters,Bennie W. Keller,Bruce Barkhuff
Total,-1,GA,NULL,885,317
GROUSE-VOTE BY MAIL(*),101,GA,NULL,0,0
MAYVIEW-VOTE BY MAIL(*),102,GA,NULL,0,0
PATAHA,103,GA,NULL,124,47
PEOLA-VOTE BY MAIL,104,GA,NULL,6,8
PING - VOTE BY MAIL(*),105,GA,NULL,0,0
PLEASANT-VB MAIL,106,GA,NULL,44,8
SCOGGIN - VB MAIL,109,GA,NULL,91,14
TUCANNON - VB MAIL,110,GA,NULL,51,12
WARD 1,201,GA,NULL,74,36
WARD 2,202,GA,NULL,156,71
WARD 3,203,GA,NULL,169,67
WARD 4,204,GA,NULL,107,49
