Row Label,PrecinctCode,County,Registered Voters,Nathan Schlicher,Jesse Young
Total,-1,PI,NULL,11990,14261
26-301,26301,PI,NULL,98,128
26-302,26302,PI,NULL,428,431
26-303,26303,PI,NULL,368,405
26-304,26304,PI,NULL,440,445
26-305,26305,PI,NULL,393,450
26-315,26315,PI,NULL,338,366
26-316,26316,PI,NULL,340,391
26-317,26317,PI,NULL,264,365
26-318,26318,PI,NULL,255,284
26-319,26319,PI,NULL,258,326
26-320,26320,PI,NULL,288,329
26-321,26321,PI,NULL,418,416
26-322,26322,PI,NULL,338,352
26-323,26323,PI,NULL,402,360
26-324,26324,PI,NULL,296,355
26-325,26325,PI,NULL,263,353
26-326,26326,PI,NULL,322,368
26-327,26327,PI,NULL,329,321
26-328,26328,PI,NULL,212,384
26-329,26329,PI,NULL,205,467
26-330,26330,PI,NULL,205,232
26-331,26331,PI,NULL,75,113
26-332,26332,PI,NULL,273,312
26-333,26333,PI,NULL,266,406
26-334,26334,PI,NULL,309,353
26-335,26335,PI,NULL,247,267
26-336,26336,PI,NULL,311,406
26-337,26337,PI,NULL,324,373
26-338,26338,PI,NULL,233,329
26-339,26339,PI,NULL,52,59
26-340,26340,PI,NULL,352,400
26-341,26341,PI,NULL,267,352
26-342,26342,PI,NULL,346,356
26-343,26343,PI,NULL,283,312
26-344,26344,PI,NULL,43,26
26-345,26345,PI,NULL,264,356
26-346,26346,PI,NULL,265,254
26-347,26347,PI,NULL,215,310
26-348,26348,PI,NULL,283,335
26-349,26349,PI,NULL,267,368
26-350,26350,PI,NULL,293,376
26-351,26351,PI,NULL,262,356
26-352,26352,PI,NULL,300,314
