Row Label,PrecinctCode,County,Registered Voters,Pamela Rushton
Total,-1,CM,NULL,17683
PORT ANGELES 101,101,CM,NULL,260
PORT ANGELES 102,102,CM,NULL,409
PORT ANGELES 103,103,CM,NULL,430
PORT ANGELES 104,104,CM,NULL,300
PORT ANGELES 105,105,CM,NULL,404
PORT ANGELES 106,106,CM,NULL,322
PORT ANGELES 107,107,CM,NULL,423
PORT ANGELES 108,108,CM,NULL,211
PORT ANGELES 109,109,CM,NULL,486
PORT ANGELES 110,110,CM,NULL,109
PORT ANGELES 111,111,CM,NULL,470
PORT ANGELES 112,112,CM,NULL,252
PORT ANGELES 113,113,CM,NULL,268
AGNEW 201,201,CM,NULL,273
BEAVER 204,204,CM,NULL,203
BELLEVIEW 205,205,CM,NULL,370
BELL HILL 207,207,CM,NULL,310
BLACK DIAMOND 208,208,CM,NULL,204
BLUE MOUNTAIN 209,209,CM,NULL,325
BLUFFS 210,210,CM,NULL,193
BLYN 211,211,CM,NULL,263
BOGACHIEL 212,212,CM,NULL,97
CARLSBORG 214,214,CM,NULL,237
CLALLAM BAY 215,215,CM,NULL,168
CLARK 216,216,CM,NULL,135
CLINE 217,217,CM,NULL,314
COYOTE 218,218,CM,NULL,364
DEER PARK 220,220,CM,NULL,365
DIAMOND POINT 221,221,CM,NULL,335
DUNGENESS EAST 222,222,CM,NULL,372
DUNGENESS WEST 223,223,CM,NULL,159
DRY CREEK 224,224,CM,NULL,311
EAGLE 226,226,CM,NULL,263
ELK 229,229,CM,NULL,79
ELWHA 230,230,CM,NULL,101
FAIRVIEW 232,232,CM,NULL,345
FRESHWATER BAY 233,233,CM,NULL,393
HAPPY VALLEY 237,237,CM,NULL,161
JAMESTOWN 240,240,CM,NULL,204
JOYCE 241,241,CM,NULL,357
LOST MOUNTAIN 245,245,CM,NULL,185
MILLER PENINSULA 246,246,CM,NULL,169
MACLEAY 247,247,CM,NULL,308
MADISON CREEK 248,248,CM,NULL,123
MONTERRA 249,249,CM,NULL,311
MOUNT ANGELES 250,250,CM,NULL,203
MOUNT PLEASANT 251,251,CM,NULL,322
NEAH BAY 252,252,CM,NULL,158
OBRIEN 253,253,CM,NULL,282
OLYMPIC 254,254,CM,NULL,211
PORT WILLIAMS 258,258,CM,NULL,189
PRAIRIE NORTH 259,259,CM,NULL,270
PRAIRIE SOUTH 260,260,CM,NULL,317
QUILEUTE 262,262,CM,NULL,104
RIVERSIDE 265,265,CM,NULL,301
ROBIN HILL 266,266,CM,NULL,243
SUN 269,269,CM,NULL,104
SUNLAND NORTH 270,270,CM,NULL,351
SUNLAND SOUTH 271,271,CM,NULL,218
FORKS 301,301,CM,NULL,172
FORKS 302,302,CM,NULL,229
SEQUIM 401,401,CM,NULL,182
SEQUIM 402,402,CM,NULL,192
SEQUIM 403,403,CM,NULL,342
SEQUIM 404,404,CM,NULL,405
SEQUIM 405,405,CM,NULL,270
SEQUIM 406,406,CM,NULL,277
