Row Label,PrecinctCode,County,Registered Voters,Kenneth Collins,Anthony F (Tony) De Leo
Total,-1,JE,NULL,7151,5655
101 Gardiner,101,JE,NULL,85,60
102 Port Discovery,102,JE,NULL,96,78
103 Crocker,103,JE,NULL,62,81
104 Cape George,104,JE,NULL,248,192
105 Discovery Bay,105,JE,NULL,219,210
106 North Jacob,106,JE,NULL,152,166
107 South Jacob,107,JE,NULL,215,219
200 Coyle,200,JE,NULL,118,70
201 Quilcene,201,JE,NULL,220,220
204 Brinnon,204,JE,NULL,252,191
300 Chimacum I,300,JE,NULL,154,144
301 Chimacum II,301,JE,NULL,108,73
302 Center I,302,JE,NULL,106,130
303 Hadlock,303,JE,NULL,190,247
304 Kala Point,304,JE,NULL,312,193
305 Irondale I,305,JE,NULL,159,152
306 Irondale II,306,JE,NULL,190,246
307 Four Corners,307,JE,NULL,156,128
308 Center II,308,JE,NULL,87,69
401 Nordland,401,JE,NULL,383,122
500 Port Ludlow,500,JE,NULL,275,160
501 Port Ludlow I,501,JE,NULL,281,208
502 Port Ludlow II,502,JE,NULL,193,124
503 Port Ludlow III,503,JE,NULL,181,101
504 Port Ludlow IV,504,JE,NULL,133,75
505 Port Ludlow V,505,JE,NULL,216,110
600 Hoh,600,JE,NULL,18,9
601 Queets,601,JE,NULL,16,9
700 Port Townsend,700,JE,NULL,224,199
701 Port Townsend,701,JE,NULL,116,81
702 Port Townsend,702,JE,NULL,166,91
703 Port Townsend,703,JE,NULL,181,113
704 Port Townsend,704,JE,NULL,133,77
705 Port Townsend,705,JE,NULL,129,137
706 Port Townsend,706,JE,NULL,293,328
707 Port Townsend,707,JE,NULL,297,252
708 Port Townsend,708,JE,NULL,333,233
709 Port Townsend,709,JE,NULL,277,218
710 Port Townsend,710,JE,NULL,177,139
