Row Label,PrecinctCode,County,Registered Voters,Levy Yes,Levy No
Total,-1,ST,NULL,6997,7664
ADDY,1,ST,NULL,185,242
CAMAS,3,ST,NULL,141,213
CAMAS PRAIRIE,4,ST,NULL,99,127
COLUMBIA,5,ST,NULL,234,286
COLVILLE VALLEY,6,ST,NULL,329,301
DAISY,7,ST,NULL,86,110
ECHO,8,ST,NULL,189,217
EVANS,9,ST,NULL,124,116
HUNTERS,10,ST,NULL,172,241
KELLY HILL,11,ST,NULL,41,76
LOON LAKE 1,12,ST,NULL,277,223
LOON LAKE 2,13,ST,NULL,127,146
MILL CREEK,14,ST,NULL,67,102
NARCISSE,15,ST,NULL,205,282
ONION CREEK,16,ST,NULL,95,49
RICE,19,ST,NULL,115,101
ROCK CUT,20,ST,NULL,47,48
SUMMIT,21,ST,NULL,115,156
FIRST THOUGHT,22,ST,NULL,31,33
WELLPINIT,24,ST,NULL,84,78
WILLIAMS VALLEY,25,ST,NULL,176,327
TUM TUM 1,26,ST,NULL,110,137
TUM TUM 2,27,ST,NULL,233,219
WALKERS PRAIRIE,28,ST,NULL,150,122
STONE LODGE,29,ST,NULL,182,207
TUM TUM 3,39,ST,NULL,290,251
TUM TUM 4,40,ST,NULL,165,158
TUM TUM 5,41,ST,NULL,193,187
MEYERS FALLS 1,42,ST,NULL,148,173
MEYERS FALLS 2,43,ST,NULL,227,281
QUARTZITE 1,44,ST,NULL,307,286
QUARTZITE 2,45,ST,NULL,166,124
VALLEY 1,46,ST,NULL,26,41
VALLEY 2,47,ST,NULL,108,132
ARDEN 1,48,ST,NULL,135,198
ARDEN 2,49,ST,NULL,165,221
CLAYTON 1,50,ST,NULL,114,133
CLAYTON 2,51,ST,NULL,157,268
ORIN 1,52,ST,NULL,108,169
ORIN 2,53,ST,NULL,169,187
WAITTS LAKE,54,ST,NULL,188,187
ECHO VALLEY,55,ST,NULL,110,111
CHEWELAH 1,101,ST,NULL,151,108
CHEWELAH 2,102,ST,NULL,98,38
CHEWELAH 3,103,ST,NULL,134,72
CHEWELAH FORE,104,ST,NULL,83,73
MARCUS,116,ST,NULL,35,34
NORTHPORT,117,ST,NULL,68,39
SPRINGDALE,118,ST,NULL,38,34
