Row Label,PrecinctCode,County,Registered Voters,Rob Nou,Ron Krebs
Total,-1,SJ,NULL,2836,5019
San Juan South East,11,SJ,NULL,140,227
San Juan South West,12,SJ,NULL,129,408
San Juan Central,13,SJ,NULL,100,460
San Juan West,14,SJ,NULL,121,402
San Juan North,15,SJ,NULL,88,355
San Juan East,16,SJ,NULL,96,315
Turn Point,17,SJ,NULL,58,192
Waldron &amp; Outer Is,21,SJ,NULL,13,46
Orcas West,22,SJ,NULL,188,402
Orcas Central,23,SJ,NULL,183,402
Eastsound,24,SJ,NULL,171,469
Orcas East,25,SJ,NULL,141,379
Blakely &amp; Outer Is,26,SJ,NULL,8,15
Lopez North,31,SJ,NULL,648,150
Lopez South,32,SJ,NULL,476,106
Decatur and Outer Is,33,SJ,NULL,32,7
Shaw,41,SJ,NULL,44,47
Friday Harbor North,101,SJ,NULL,104,374
Friday Harbor South,102,SJ,NULL,96,263
