Row Label,PrecinctCode,County,Registered Voters,Stacie Prada Hoskins
Total,-1,JE,NULL,10183
101 Gardiner,101,JE,NULL,116
102 Port Discovery,102,JE,NULL,135
103 Crocker,103,JE,NULL,113
104 Cape George,104,JE,NULL,358
105 Discovery Bay,105,JE,NULL,330
106 North Jacob,106,JE,NULL,255
107 South Jacob,107,JE,NULL,348
200 Coyle,200,JE,NULL,161
201 Quilcene,201,JE,NULL,333
204 Brinnon,204,JE,NULL,371
300 Chimacum I,300,JE,NULL,213
301 Chimacum II,301,JE,NULL,135
302 Center I,302,JE,NULL,184
303 Hadlock,303,JE,NULL,327
304 Kala Point,304,JE,NULL,365
305 Irondale I,305,JE,NULL,251
306 Irondale II,306,JE,NULL,332
307 Four Corners,307,JE,NULL,222
308 Center II,308,JE,NULL,119
401 Nordland,401,JE,NULL,320
500 Port Ludlow,500,JE,NULL,342
501 Port Ludlow I,501,JE,NULL,408
502 Port Ludlow II,502,JE,NULL,245
503 Port Ludlow III,503,JE,NULL,224
504 Port Ludlow IV,504,JE,NULL,172
505 Port Ludlow V,505,JE,NULL,286
600 Hoh,600,JE,NULL,27
601 Queets,601,JE,NULL,25
700 Port Townsend,700,JE,NULL,339
701 Port Townsend,701,JE,NULL,163
702 Port Townsend,702,JE,NULL,203
703 Port Townsend,703,JE,NULL,244
704 Port Townsend,704,JE,NULL,176
705 Port Townsend,705,JE,NULL,218
706 Port Townsend,706,JE,NULL,528
707 Port Townsend,707,JE,NULL,439
708 Port Townsend,708,JE,NULL,455
709 Port Townsend,709,JE,NULL,437
710 Port Townsend,710,JE,NULL,264
