Row Label,PrecinctCode,County,Registered Voters,Kevin M. Korsmo
Total,-1,ST,NULL,10083
ADDY,1,ST,NULL,239
CAMAS,3,ST,NULL,202
CAMAS PRAIRIE,4,ST,NULL,131
COLUMBIA,5,ST,NULL,276
COLVILLE VALLEY,6,ST,NULL,324
DAISY,7,ST,NULL,113
ECHO,8,ST,NULL,234
EVANS,9,ST,NULL,129
HUNTERS,10,ST,NULL,233
KELLY HILL,11,ST,NULL,54
LOON LAKE 1,12,ST,NULL,326
LOON LAKE 2,13,ST,NULL,179
MILL CREEK,14,ST,NULL,106
NARCISSE,15,ST,NULL,235
ONION CREEK,16,ST,NULL,80
RICE,19,ST,NULL,102
ROCK CUT,20,ST,NULL,43
SUMMIT,21,ST,NULL,164
FIRST THOUGHT,22,ST,NULL,29
WELLPINIT,24,ST,NULL,116
WILLIAMS VALLEY,25,ST,NULL,293
TUM TUM 1,26,ST,NULL,153
TUM TUM 2,27,ST,NULL,299
WALKERS PRAIRIE,28,ST,NULL,191
STONE LODGE,29,ST,NULL,249
TUM TUM 3,39,ST,NULL,340
TUM TUM 4,40,ST,NULL,207
TUM TUM 5,41,ST,NULL,246
MEYERS FALLS 1,42,ST,NULL,182
MEYERS FALLS 2,43,ST,NULL,291
QUARTZITE 1,44,ST,NULL,335
QUARTZITE 2,45,ST,NULL,193
VALLEY 1,46,ST,NULL,27
VALLEY 2,47,ST,NULL,141
ARDEN 1,48,ST,NULL,168
ARDEN 2,49,ST,NULL,203
CLAYTON 1,50,ST,NULL,158
CLAYTON 2,51,ST,NULL,263
ORIN 1,52,ST,NULL,147
ORIN 2,53,ST,NULL,173
WAITTS LAKE,54,ST,NULL,246
ECHO VALLEY,55,ST,NULL,135
CHEWELAH 1,101,ST,NULL,193
CHEWELAH 2,102,ST,NULL,93
CHEWELAH 3,103,ST,NULL,148
CHEWELAH FORE,104,ST,NULL,102
COLVILLE 1,105,ST,NULL,102
COLVILLE 2,106,ST,NULL,121
COLVILLE 3,107,ST,NULL,132
COLVILLE 4,108,ST,NULL,253
COLVILLE 5,109,ST,NULL,200
COLVILLE 6,110,ST,NULL,137
COLVILLE 7,111,ST,NULL,143
KETTLE FALLS 1,114,ST,NULL,210
KETTLE FALLS 2,115,ST,NULL,141
MARCUS,116,ST,NULL,35
NORTHPORT,117,ST,NULL,70
SPRINGDALE,118,ST,NULL,48
