Row Label,PrecinctCode,County,Registered Voters,Richard DeBolt,Michael Savoca
Total,-1,TH,NULL,4192,2768
Clear Lake,30,TH,NULL,251,236
Rich,36,TH,NULL,189,72
Rocky Prairie,45,TH,NULL,141,91
Lawrence Lake,46,TH,NULL,228,183
Michigan Hill,48,TH,NULL,134,68
Spurgeon Creek,51,TH,NULL,98,54
James,52,TH,NULL,201,95
Vail,53,TH,NULL,172,216
Rochester 5,54,TH,NULL,226,117
Rochester 4,55,TH,NULL,175,95
Zenkner Valley,77,TH,NULL,58,26
Military,81,TH,NULL,74,85
Bald Hills,130,TH,NULL,41,61
Plumb,147,TH,NULL,223,138
Scatter Creek,148,TH,NULL,158,87
Mcintosh,149,TH,NULL,315,285
Rochester 1,153,TH,NULL,271,121
Rochester 2,154,TH,NULL,195,107
Grand Mound,156,TH,NULL,96,61
Gibson Valley,157,TH,NULL,48,15
Skookumchuck,158,TH,NULL,230,118
Rochester 3,170,TH,NULL,201,118
Stedman,180,TH,NULL,144,93
Tenino 01,501,TH,NULL,113,74
Tenino 02,502,TH,NULL,130,92
Bucoda,801,TH,NULL,80,60
