Row Label,PrecinctCode,County,Registered Voters,Gary Warnock
Total,-1,TH,NULL,55515
Cougar Mountain,28,TH,NULL,59
Clear Lake,30,TH,NULL,367
Lackamas,31,TH,NULL,94
Morris,32,TH,NULL,250
Evergreen Ballroom,33,TH,NULL,298
Trails End,34,TH,NULL,422
Kaiser,35,TH,NULL,116
Rich,36,TH,NULL,187
Delta,38,TH,NULL,0
Jones Beach,39,TH,NULL,142
Simmons 9,42,TH,NULL,5
University North,43,TH,NULL,90
Steamboat Island,44,TH,NULL,207
Rocky Prairie,45,TH,NULL,155
Lawrence Lake,46,TH,NULL,285
Woodard Creek,47,TH,NULL,201
Michigan Hill,48,TH,NULL,106
Scott Lake South,49,TH,NULL,187
Salmon Creek,50,TH,NULL,144
Spurgeon Creek,51,TH,NULL,103
James,52,TH,NULL,186
Vail,53,TH,NULL,283
Rochester 5,54,TH,NULL,242
Rochester 4,55,TH,NULL,172
Medicine Creek,57,TH,NULL,110
Skokomish,58,TH,NULL,196
Pleasant Hill,59,TH,NULL,245
Smith Prairie,60,TH,NULL,256
Black River,62,TH,NULL,338
Ames,63,TH,NULL,206
Airport,64,TH,NULL,18
Luhr Beach,65,TH,NULL,250
Fish Trap,66,TH,NULL,191
Quince,67,TH,NULL,4
Simmons 2,68,TH,NULL,4
Simmons 3,69,TH,NULL,10
Simmons 4,70,TH,NULL,11
Pines,74,TH,NULL,182
Long Lake,75,TH,NULL,64
Hawk Acres,76,TH,NULL,149
Zenkner Valley,77,TH,NULL,50
Tri Lakes,78,TH,NULL,143
University South,79,TH,NULL,131
Tolmie,80,TH,NULL,96
Military,81,TH,NULL,101
Glen Terra,82,TH,NULL,73
Prine,83,TH,NULL,44
Glenwood,84,TH,NULL,93
Greenridge,86,TH,NULL,154
Woodland,88,TH,NULL,200
Tilley,89,TH,NULL,276
Sweet Briar,90,TH,NULL,331
Deerbrush,91,TH,NULL,265
Mushroom Corner,92,TH,NULL,236
Trailblazer,93,TH,NULL,96
Frye Cove,94,TH,NULL,262
Oyster Bay,95,TH,NULL,262
Summit Lake,96,TH,NULL,187
Delridge,97,TH,NULL,65
Marvin,98,TH,NULL,258
Alpine,99,TH,NULL,403
Hewitt Lake,100,TH,NULL,294
Zangle,101,TH,NULL,227
Boston Harbor,102,TH,NULL,297
Gull Harbor,103,TH,NULL,160
Friendly Grove,104,TH,NULL,132
South Bay,105,TH,NULL,274
Puget,106,TH,NULL,287
Bigelow,107,TH,NULL,212
Pleasant Glade,109,TH,NULL,146
Montgomery,110,TH,NULL,131
Nisqually,111,TH,NULL,189
Roosevelt,112,TH,NULL,278
Kinwood,113,TH,NULL,207
Mckinley,114,TH,NULL,81
Forest,115,TH,NULL,334
St Clair,116,TH,NULL,210
Hicks,117,TH,NULL,40
Fleetwood,118,TH,NULL,316
Lydia Hawk,119,TH,NULL,395
Hays,120,TH,NULL,173
Indian Summer,121,TH,NULL,264
Chambers,122,TH,NULL,383
Freedom,123,TH,NULL,316
Fristoe,124,TH,NULL,160
Deschutes,125,TH,NULL,269
Longmire,126,TH,NULL,165
Ruth Prairie,127,TH,NULL,116
Weir Prairie,128,TH,NULL,227
College,129,TH,NULL,36
Bald Hills,130,TH,NULL,73
Hunter Point,131,TH,NULL,152
Griffin,132,TH,NULL,214
Schneiders Prairie,133,TH,NULL,194
Cooper Point,134,TH,NULL,226
Butler Cove,135,TH,NULL,229
Broadway,136,TH,NULL,313
Plainview,139,TH,NULL,360
Mud Bay,140,TH,NULL,224
Mclane,141,TH,NULL,189
Bush Prairie,143,TH,NULL,62
Black Lake,144,TH,NULL,299
Delphi,145,TH,NULL,235
South Union,146,TH,NULL,301
Plumb,147,TH,NULL,253
Scatter Creek,148,TH,NULL,172
Mcintosh,149,TH,NULL,402
Violet Prairie,150,TH,NULL,274
Littlerock,151,TH,NULL,356
Rochester 1,153,TH,NULL,281
Rochester 2,154,TH,NULL,208
Scott Lake North,155,TH,NULL,105
Grand Mound,156,TH,NULL,106
Gibson Valley,157,TH,NULL,25
Skookumchuck,158,TH,NULL,227
Johnson Point,160,TH,NULL,292
Wards,161,TH,NULL,108
Thompson,162,TH,NULL,161
Smith Lake,163,TH,NULL,233
Evergreen Shores,164,TH,NULL,200
Sunwood Lakes,165,TH,NULL,369
Eaton Creek,166,TH,NULL,140
Hawks Ridge,167,TH,NULL,107
Holmes,168,TH,NULL,211
Mcallister Creek,169,TH,NULL,207
Rochester 3,170,TH,NULL,226
Waddell Creek,171,TH,NULL,198
Tykle Cove,172,TH,NULL,227
Camelot,173,TH,NULL,148
French,174,TH,NULL,257
Sunset Beach,175,TH,NULL,270
Henderson,176,TH,NULL,332
Pattison,178,TH,NULL,241
Four Corners,179,TH,NULL,351
Stedman,180,TH,NULL,161
Munn Lake,182,TH,NULL,133
Beach Crest,183,TH,NULL,179
Scheller,184,TH,NULL,109
Fair Oaks,185,TH,NULL,179
Wilderness,186,TH,NULL,318
Mullen,187,TH,NULL,271
Sleater Kinney,189,TH,NULL,204
Lakeside,190,TH,NULL,123
Gallagher Cove,191,TH,NULL,362
East Olympia,192,TH,NULL,219
Berry Valley,193,TH,NULL,193
Hartwood,194,TH,NULL,373
Libby,195,TH,NULL,191
Meadows,196,TH,NULL,187
Summerset,197,TH,NULL,379
Henness,198,TH,NULL,333
Beaver Creek,199,TH,NULL,413
Olympia 01,201,TH,NULL,213
Olympia 02,202,TH,NULL,221
Olympia 03,203,TH,NULL,230
Olympia 04,204,TH,NULL,215
Olympia 05,205,TH,NULL,207
Olympia 06,206,TH,NULL,360
Olympia 07,207,TH,NULL,134
Olympia 08,208,TH,NULL,209
Olympia 09,209,TH,NULL,395
Olympia 10,210,TH,NULL,247
Olympia 11,211,TH,NULL,198
Olympia 12,212,TH,NULL,126
Olympia 13,213,TH,NULL,237
Olympia 14,214,TH,NULL,215
Olympia 15,215,TH,NULL,172
Olympia 16,216,TH,NULL,45
Olympia 17,217,TH,NULL,161
Olympia 18,218,TH,NULL,210
Olympia 19,219,TH,NULL,200
Olympia 20,220,TH,NULL,115
Olympia 21,221,TH,NULL,315
Olympia 23,223,TH,NULL,253
Olympia 24,224,TH,NULL,202
Olympia 25,225,TH,NULL,170
Olympia 26,226,TH,NULL,194
Olympia 27,227,TH,NULL,113
Olympia 28,228,TH,NULL,234
Olympia 29,229,TH,NULL,255
Olympia 30,230,TH,NULL,194
Olympia 31,231,TH,NULL,182
Olympia 32,232,TH,NULL,286
Olympia 35,235,TH,NULL,422
Olympia 36,236,TH,NULL,90
Olympia 37,237,TH,NULL,149
Olympia 38,238,TH,NULL,67
Olympia 39,239,TH,NULL,217
Olympia 40,240,TH,NULL,196
Olympia 41,241,TH,NULL,214
Olympia 42,242,TH,NULL,140
Olympia 43,243,TH,NULL,254
Olympia 44,244,TH,NULL,126
Olympia 45,245,TH,NULL,144
Olympia 46,246,TH,NULL,215
Olympia 47,247,TH,NULL,265
Olympia 48,248,TH,NULL,276
Olympia 49,249,TH,NULL,251
Olympia 50,250,TH,NULL,187
Olympia 51,251,TH,NULL,47
Olympia 52,252,TH,NULL,129
Olympia 53,253,TH,NULL,211
Olympia 54,254,TH,NULL,146
Olympia 55,255,TH,NULL,125
Olympia 56,256,TH,NULL,209
Olympia 57,257,TH,NULL,118
Olympia 58,258,TH,NULL,226
Olympia 59,259,TH,NULL,200
Olympia 60,260,TH,NULL,150
Lacey 01,301,TH,NULL,97
Lacey 02,302,TH,NULL,161
Lacey 03,303,TH,NULL,185
Lacey 04,304,TH,NULL,112
Lacey 05,305,TH,NULL,138
Lacey 06,306,TH,NULL,86
Lacey 07,307,TH,NULL,175
Lacey 08,308,TH,NULL,133
Lacey 09,309,TH,NULL,120
Lacey 10,310,TH,NULL,272
Lacey 11,311,TH,NULL,219
Lacey 13,313,TH,NULL,124
Lacey 14,314,TH,NULL,84
Lacey 15,315,TH,NULL,203
Lacey 16,316,TH,NULL,218
Lacey 17,317,TH,NULL,218
