Row Label,PrecinctCode,County,Registered Voters,Rick Larsen,B.J. Guillot
Total,-1,SJ,NULL,5570,2478
San Juan South East,11,SJ,NULL,225,142
San Juan South West,12,SJ,NULL,413,139
San Juan Central,13,SJ,NULL,379,165
San Juan West,14,SJ,NULL,380,164
San Juan North,15,SJ,NULL,291,166
San Juan East,16,SJ,NULL,295,130
Turn Point,17,SJ,NULL,163,84
Waldron &amp; Outer Is,21,SJ,NULL,56,10
Orcas West,22,SJ,NULL,430,185
Orcas Central,23,SJ,NULL,441,156
Eastsound,24,SJ,NULL,463,192
Orcas East,25,SJ,NULL,351,169
Blakely &amp; Outer Is,26,SJ,NULL,16,16
Lopez North,31,SJ,NULL,597,226
Lopez South,32,SJ,NULL,418,177
Decatur and Outer Is,33,SJ,NULL,21,25
Shaw,41,SJ,NULL,69,39
Friday Harbor North,101,SJ,NULL,321,170
Friday Harbor South,102,SJ,NULL,241,123
