Row Label,PrecinctCode,County,Registered Voters,Sarah Keith,Val Barschaw
Total,-1,KS,NULL,5717,6120
CLE ELUM 1,1,KS,NULL,75,108
CLE ELUM 2,2,KS,NULL,51,54
CLE ELUM 3,3,KS,NULL,38,25
CLE ELUM 4,4,KS,NULL,92,159
DENMARK,5,KS,NULL,180,278
EAST SANDERS,6,KS,NULL,126,204
EASTON,7,KS,NULL,109,225
ELLENSBURG 1,8,KS,NULL,35,13
ELLENSBURG 2,9,KS,NULL,68,12
ELLENSBURG 4,11,KS,NULL,30,15
ELLENSBURG 5,12,KS,NULL,64,27
ELLENSBURG 6,13,KS,NULL,45,21
ELLENSBURG 7,14,KS,NULL,29,27
ELLENSBURG 8,15,KS,NULL,48,34
ELLENSBURG 9,16,KS,NULL,62,31
ELLENSBURG 10,17,KS,NULL,97,44
ELLENSBURG 11,18,KS,NULL,93,44
ELLENSBURG 12,19,KS,NULL,108,26
ELLENSBURG 13,20,KS,NULL,71,31
ELLENSBURG 14,21,KS,NULL,87,46
ELLENSBURG 15,22,KS,NULL,96,63
ELLENSBURG 16,23,KS,NULL,152,89
ELLENSBURG 17,24,KS,NULL,129,79
ELLENSBURG 18,25,KS,NULL,21,12
ELLENSBURG 19,26,KS,NULL,209,98
ELLENSBURG 20,27,KS,NULL,58,28
ELLENSBURG 21,28,KS,NULL,66,58
ELLENSBURG 22,29,KS,NULL,89,76
ELLENSBURG 23,30,KS,NULL,124,90
ELLENSBURG 24,31,KS,NULL,225,154
HYAK,32,KS,NULL,32,60
KITTITAS 1,33,KS,NULL,61,76
MANASTASH,34,KS,NULL,132,142
MOUNTAIN,35,KS,NULL,58,79
NORTH CENTRAL,36,KS,NULL,129,140
NORTH ELLENSBURG,37,KS,NULL,203,212
PARK,38,KS,NULL,117,208
PEOH POINT,39,KS,NULL,108,197
RIDGEWAY,40,KS,NULL,236,237
ROSLYN 1,41,KS,NULL,106,66
ROSLYN 2,42,KS,NULL,89,47
DRY CREEK,43,KS,NULL,131,238
WESTSIDE,44,KS,NULL,153,236
ROSLYN OUTLYING,45,KS,NULL,17,39
SANDERS,46,KS,NULL,59,82
SOUTH CLE ELUM,47,KS,NULL,63,108
SOUTH ELLENSBURG,48,KS,NULL,208,206
SWAUK,50,KS,NULL,49,150
TEANAWAY,51,KS,NULL,106,195
THORP,52,KS,NULL,127,175
VANTAGE,53,KS,NULL,5,17
FAIRVIEW,54,KS,NULL,80,123
NORTHEAST FAIRVIEW,55,KS,NULL,139,189
THRALL,56,KS,NULL,141,164
DAMMAN,58,KS,NULL,166,159
KACHESS,59,KS,NULL,32,69
KITTITAS 2,60,KS,NULL,60,91
ELLENSBURG 25,61,KS,NULL,182,156
RONALD,62,KS,NULL,51,88
