Row Label,PrecinctCode,County,Registered Voters,Laurie Jinkins,Rodger Deskins
Total,-1,PI,NULL,23027,11110
27-401,27401,PI,NULL,207,88
27-404,27404,PI,NULL,156,37
27-405,27405,PI,NULL,417,219
27-406,27406,PI,NULL,510,295
27-407,27407,PI,NULL,395,176
27-408,27408,PI,NULL,390,205
27-409,27409,PI,NULL,357,203
27-410,27410,PI,NULL,417,173
27-411,27411,PI,NULL,483,265
27-412,27412,PI,NULL,339,193
27-413,27413,PI,NULL,416,169
27-414,27414,PI,NULL,484,159
27-415,27415,PI,NULL,450,209
27-416,27416,PI,NULL,436,188
27-417,27417,PI,NULL,479,161
27-418,27418,PI,NULL,427,145
27-419,27419,PI,NULL,425,184
27-420,27420,PI,NULL,532,161
27-421,27421,PI,NULL,369,123
27-422,27422,PI,NULL,524,211
27-423,27423,PI,NULL,516,163
27-424,27424,PI,NULL,449,153
27-425,27425,PI,NULL,438,123
27-426,27426,PI,NULL,387,150
27-427,27427,PI,NULL,401,133
27-428,27428,PI,NULL,405,80
27-429,27429,PI,NULL,390,133
27-430,27430,PI,NULL,387,149
27-431,27431,PI,NULL,134,85
27-432,27432,PI,NULL,338,195
27-433,27433,PI,NULL,372,167
27-434,27434,PI,NULL,317,173
27-435,27435,PI,NULL,373,183
27-436,27436,PI,NULL,377,132
27-437,27437,PI,NULL,345,115
27-438,27438,PI,NULL,372,79
27-439,27439,PI,NULL,377,96
27-440,27440,PI,NULL,404,90
27-441,27441,PI,NULL,306,114
27-442,27442,PI,NULL,215,123
27-443,27443,PI,NULL,218,148
27-444,27444,PI,NULL,291,146
27-445,27445,PI,NULL,275,148
27-446,27446,PI,NULL,272,142
27-447,27447,PI,NULL,287,154
27-448,27448,PI,NULL,9,10
27-449,27449,PI,NULL,329,169
27-450,27450,PI,NULL,352,155
27-451,27451,PI,NULL,264,142
27-452,27452,PI,NULL,284,159
27-453,27453,PI,NULL,203,110
27-454,27454,PI,NULL,340,160
27-455,27455,PI,NULL,250,137
27-456,27456,PI,NULL,239,102
27-457,27457,PI,NULL,279,129
27-458,27458,PI,NULL,204,102
27-459,27459,PI,NULL,188,92
27-460,27460,PI,NULL,330,252
27-461,27461,PI,NULL,340,298
27-462,27462,PI,NULL,305,257
27-463,27463,PI,NULL,232,198
27-464,27464,PI,NULL,279,208
27-465,27465,PI,NULL,215,224
27-466,27466,PI,NULL,257,193
27-467,27467,PI,NULL,252,219
27-468,27468,PI,NULL,249,178
27-471,27471,PI,NULL,11,6
27-475,27475,PI,NULL,276,213
27-476,27476,PI,NULL,254,138
27-477,27477,PI,NULL,227,321
