Row Label,PrecinctCode,County,Registered Voters,Renea Campbell
Total,-1,KT,NULL,6225
ALDER CREEK,1,KT,NULL,136
CENTERVILLE,2,KT,NULL,269
COLUMBUS,3,KT,NULL,35
E KLICKITAT,4,KT,NULL,81
F VALLEY,5,KT,NULL,266
GLENWOOD,6,KT,NULL,246
HUSUM,7,KT,NULL,266
LYLE,8,KT,NULL,312
MT BROOK,9,KT,NULL,212
N DALLES,11,KT,NULL,280
N F VALLEY,12,KT,NULL,320
PINE FOREST,13,KT,NULL,645
ROOSEVELT,14,KT,NULL,61
TROUT LAKE,16,KT,NULL,249
W KLICKITAT,17,KT,NULL,65
WISHRAM,19,KT,NULL,70
WOODLAND,20,KT,NULL,675
ORCHARD HTS,21,KT,NULL,202
APPLETON,22,KT,NULL,89
ALDERDALE,23,KT,NULL,34
E LYLE,24,KT,NULL,103
RIVER,27,KT,NULL,22
HGH PRAIRIE,28,KT,NULL,45
BINGEN,101,KT,NULL,94
GOLDENDALE 1,102,KT,NULL,373
GOLDENDALE 2,103,KT,NULL,335
GOLDENDALE 3,104,KT,NULL,261
WHITE SALMON,109,KT,NULL,299
N WHITE SALMON,110,KT,NULL,180
