Row Label,PrecinctCode,County,Registered Voters,Edward E. Wolfe,Linda Streissguth
Total,-1,KP,NULL,41263,39998
BREMERTON 001,100001,KP,NULL,91,153
BREMERTON 002,100002,KP,NULL,85,110
BREMERTON 003,100003,KP,NULL,191,204
BREMERTON 005,100005,KP,NULL,102,176
BREMERTON 006,100006,KP,NULL,99,169
BREMERTON 007,100007,KP,NULL,6,4
BREMERTON 012,100012,KP,NULL,45,57
BREMERTON 013,100013,KP,NULL,155,218
BREMERTON 015,100015,KP,NULL,215,227
BREMERTON 016,100016,KP,NULL,35,69
BREMERTON 022,100022,KP,NULL,143,172
BREMERTON 029,100029,KP,NULL,175,212
BREMERTON 030,100030,KP,NULL,201,189
BREMERTON 031,100031,KP,NULL,108,114
BREMERTON 032,100032,KP,NULL,21,39
BREMERTON 037,100037,KP,NULL,324,240
BREMERTON 040,100040,KP,NULL,167,241
BREMERTON 041,100041,KP,NULL,160,191
BREMERTON 046,100046,KP,NULL,198,224
BREMERTON 051,100051,KP,NULL,26,17
BREMERTON 052,100052,KP,NULL,142,153
BREMERTON 053,100053,KP,NULL,270,287
BREMERTON 054,100054,KP,NULL,116,130
BREMERTON 056,100056,KP,NULL,191,183
BREMERTON 058,100058,KP,NULL,196,249
ILLAHEE 065,100065,KP,NULL,303,242
SYLVAN 066,100066,KP,NULL,196,266
RAINIER 067,100067,KP,NULL,299,229
PERRY 073,100073,KP,NULL,143,142
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,328,277
RIDGEWAY 084,100084,KP,NULL,89,44
KITSAP LAKE 085(*),100085,KP,NULL,0,0
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,67,66
BREMERTON 088,100088,KP,NULL,37,36
MARION 090,100090,KP,NULL,44,43
NAVY YARD CITY 095,100095,KP,NULL,223,210
OLYMPIC 099,100099,KP,NULL,30,29
TRIDENT 101,100101,KP,NULL,74,30
FRONTIER 102,100102,KP,NULL,359,200
OLYMPIC VIEW 103,100103,KP,NULL,247,151
BROWNSVILLE 105,100105,KP,NULL,395,263
OLD FRONTIER 106,100106,KP,NULL,373,203
BREMERTON 107,100107,KP,NULL,0,0
BREMERTON 109,100109,KP,NULL,19,20
CHARLAND 110,100110,KP,NULL,218,145
ALPINE 111,100111,KP,NULL,245,156
HERITAGE PARK 112,100112,KP,NULL,209,159
COUNTRY CLUB 113,100113,KP,NULL,157,120
BREMERTON 114,100114,KP,NULL,0,0
CLEAR CREEK 120,100120,KP,NULL,268,183
BUCKLIN 121,100121,KP,NULL,298,227
LUOTO 122,100122,KP,NULL,177,96
COTTONWOOD 125,100125,KP,NULL,232,184
FOREST RIDGE 126,100126,KP,NULL,161,129
WOODMERE 127,100127,KP,NULL,306,254
CENTRAL VALLEY 128,100128,KP,NULL,292,233
WINSTON 129,100129,KP,NULL,125,91
ERLANDS POINT 130,100130,KP,NULL,187,158
REGAL 131,100131,KP,NULL,74,54
