Row Label,PrecinctCode,County,Registered Voters,Jeff Barkdull
Total,-1,LI,NULL,3465
ALMIRA RURAL,1,LI,NULL,23
BLUESTEM,2,LI,NULL,15
CANBY,3,LI,NULL,30
CRESTON RURAL,4,LI,NULL,40
WHEATLAND,5,LI,NULL,76
DAVENPORT RURAL,6,LI,NULL,72
DOWNS,7,LI,NULL,20
EARL,8,LI,NULL,29
EDWALL,9,LI,NULL,61
EGYPT,10,LI,NULL,99
ENOS,11,LI,NULL,8
GOVAN,12,LI,NULL,19
GRAND COULEE,13,LI,NULL,23
GRAVELLE,14,LI,NULL,34
HARR RURAL,15,LI,NULL,45
HAWK CREEK,16,LI,NULL,53
IRBY,17,LI,NULL,21
KELLER,18,LI,NULL,53
LAKEVIEW,19,LI,NULL,102
LAMONA,20,LI,NULL,22
EAST LARENE,21,LI,NULL,72
WEST LARENE,22,LI,NULL,30
LAYTON,23,LI,NULL,13
LONG LAKE,24,LI,NULL,56
MOHLER,25,LI,NULL,37
MONDOVI,26,LI,NULL,64
ODESSA RURAL,27,LI,NULL,73
PEACH,28,LI,NULL,112
N REARDAN RURAL,29,LI,NULL,28
S REARDAN RURAL,30,LI,NULL,44
RIVERVIEW,31,LI,NULL,117
SEVEN BAYS,32,LI,NULL,56
SHERMAN,33,LI,NULL,46
SPRAGUE RURAL,34,LI,NULL,89
SPRING CREEK,35,LI,NULL,66
WILBUR RURAL,36,LI,NULL,74
WAUKON,37,LI,NULL,40
WILSON CREEK,38,LI,NULL,29
ALMIRA IN,39,LI,NULL,77
CRESTON IN,40,LI,NULL,66
DAVENPORT IN,41,LI,NULL,485
HARRINGTON IN,42,LI,NULL,121
ODESSA IN,43,LI,NULL,273
REARDAN IN,44,LI,NULL,177
SPRAGUE IN,45,LI,NULL,96
WILBUR IN,46,LI,NULL,279
