Row Label,PrecinctCode,County,Registered Voters,Yes,No
Total,-1,KT,NULL,1927,2505
E KLICKITAT,4,KT,NULL,34,60
F VALLEY,5,KT,NULL,205,181
GLENWOOD,6,KT,NULL,83,220
HUSUM,7,KT,NULL,146,243
LYLE,8,KT,NULL,183,246
MT BROOK,9,KT,NULL,147,174
N DALLES,11,KT,NULL,117,265
N F VALLEY,12,KT,NULL,184,248
TROUT LAKE,16,KT,NULL,159,212
W KLICKITAT,17,KT,NULL,28,55
APPLETON,22,KT,NULL,40,80
E LYLE,24,KT,NULL,68,79
RIVER,27,KT,NULL,5,17
HGH PRAIRIE,28,KT,NULL,15,26
BINGEN,101,KT,NULL,81,64
WHITE SALMON,109,KT,NULL,274,201
N WHITE SALMON,110,KT,NULL,158,134
