Row Label,PrecinctCode,County,Registered Voters,Ronald S. Marshall
Total,-1,CZ,NULL,19218
Alabama,1,CZ,NULL,215
Ammons,2,CZ,NULL,211
Arkansas,3,CZ,NULL,125
Bakers,4,CZ,NULL,12
Baltimore,5,CZ,NULL,313
Beacon,6,CZ,NULL,402
Boondox,7,CZ,NULL,10
Brynion,8,CZ,NULL,216
Burcham,9,CZ,NULL,523
Caples,10,CZ,NULL,100
Carrolls,11,CZ,NULL,294
Castle Rock,12,CZ,NULL,397
Chinook,13,CZ,NULL,328
Cloverdale,14,CZ,NULL,234
Coal Creek,15,CZ,NULL,378
Columbia Heights,16,CZ,NULL,184
Columbia Valley Gdns,17,CZ,NULL,216
Crawford,18,CZ,NULL,297
Delameter,19,CZ,NULL,263
Douglas,20,CZ,NULL,232
Elk Ridge,21,CZ,NULL,3
Harris,22,CZ,NULL,262
Haussler,23,CZ,NULL,201
Hillcrest,24,CZ,NULL,514
Hudson,25,CZ,NULL,355
Industrial,26,CZ,NULL,0
Kalama North,27,CZ,NULL,242
Kalama South,28,CZ,NULL,317
Kessler,29,CZ,NULL,379
Lake,30,CZ,NULL,267
Laurel,31,CZ,NULL,360
Lewis River,32,CZ,NULL,349
Lexington,33,CZ,NULL,293
Lone Oak,34,CZ,NULL,169
Magnolia,35,CZ,NULL,468
Marigold,36,CZ,NULL,422
McGowan,37,CZ,NULL,64
Memorial,38,CZ,NULL,206
Mill,39,CZ,NULL,390
Mint Valley,40,CZ,NULL,487
Modrow,41,CZ,NULL,255
Mt. Solo,42,CZ,NULL,93
Nevada,43,CZ,NULL,274
Ocean Beach,44,CZ,NULL,292
Olson,45,CZ,NULL,201
Ostrander,46,CZ,NULL,316
Owl Creek,47,CZ,NULL,377
Pacific,48,CZ,NULL,352
Ponderosa,49,CZ,NULL,262
Powell,50,CZ,NULL,275
Redpath,51,CZ,NULL,242
Ridgecrest,52,CZ,NULL,20
Robbins,53,CZ,NULL,423
Rose Valley,54,CZ,NULL,196
Ryderwood,55,CZ,NULL,136
Sacajawea,56,CZ,NULL,576
Sandy Bend,57,CZ,NULL,281
Silver Lake,58,CZ,NULL,481
Sparks,59,CZ,NULL,186
St. Helens,60,CZ,NULL,156
Stella,61,CZ,NULL,267
Toutle,62,CZ,NULL,374
Tower,63,CZ,NULL,439
Tunstall,64,CZ,NULL,104
View,65,CZ,NULL,208
West Kelso,66,CZ,NULL,96
Willow Grove,67,CZ,NULL,92
Windemere,68,CZ,NULL,430
Woodage,69,CZ,NULL,211
Woodland North,70,CZ,NULL,376
Woodland South,71,CZ,NULL,318
Yale,72,CZ,NULL,211
