Row Label,PrecinctCode,County,Registered Voters,Vickie L. Raines,Keith Olson
Total,-1,GY,NULL,11440,7942
Taholah 002,2,GY,NULL,65,107
Quinault 004,4,GY,NULL,45,121
Neilton 006,6,GY,NULL,25,63
Pacific Beach 008,8,GY,NULL,106,103
Moclips 010,10,GY,NULL,10,8
Ocean City 012,12,GY,NULL,154,108
Burrows 014,14,GY,NULL,19,14
Wilderness 016,16,GY,NULL,42,66
Humptulips 018,18,GY,NULL,16,38
Axford 020,20,GY,NULL,52,66
Dekay 022,22,GY,NULL,49,30
Hoquiam Rural 024,24,GY,NULL,173,130
Stover 026,26,GY,NULL,35,32
North Wishkah 028(*),28,GY,NULL,0,0
Wishkah 030,30,GY,NULL,128,144
Cutoff032,32,GY,NULL,44,54
Coats Landing 034,34,GY,NULL,141,116
Geissler 036,36,GY,NULL,25,24
Aberdeen Lake 038(*),38,GY,NULL,0,0
Reynvaan 040,40,GY,NULL,81,46
Wynoochee 042,42,GY,NULL,2,4
Boundary 044,44,GY,NULL,31,21
Black Creek 046,46,GY,NULL,282,198
Brady 048,48,GY,NULL,317,144
Riviera 050,50,GY,NULL,21,17
Satsop 052,52,GY,NULL,101,73
Calder 056,56,GY,NULL,135,115
Bush 058,58,GY,NULL,302,239
McCleary Rural 060,60,GY,NULL,196,193
Porter 062,62,GY,NULL,86,113
Cedar Creek 064,64,GY,NULL,44,59
Chehalis 066,66,GY,NULL,4,2
Blockhouse 068,68,GY,NULL,147,147
Delezenne 070,70,GY,NULL,169,163
Melbourne 072,72,GY,NULL,182,122
Devonshire 074,74,GY,NULL,169,97
Vesta 076,76,GY,NULL,23,46
Artic 078,78,GY,NULL,25,36
Central Park 080,80,GY,NULL,364,220
Lois Lane 082,82,GY,NULL,76,35
Blue Slough 084,84,GY,NULL,129,60
Sierra 086(*),86,GY,NULL,0,0
Lund 088,88,GY,NULL,37,39
Newskah 090,90,GY,NULL,14,4
Ocosta 092,92,GY,NULL,0,0
Johns River 094,94,GY,NULL,159,105
Grayland 096,96,GY,NULL,145,134
Cohasset 098,98,GY,NULL,103,74
Aberdeen 111,111,GY,NULL,352,189
Aberdeen 121,121,GY,NULL,326,167
Aberdeen 131,131,GY,NULL,426,233
Aberdeen 132,132,GY,NULL,0,0
Aberdeen 141,141,GY,NULL,357,182
Aberdeen 142,142,GY,NULL,275,147
Aberdeen 151,151,GY,NULL,198,120
Aberdeen 161,161,GY,NULL,323,175
Cosmopolis 201,201,GY,NULL,317,229
Elma 301,301,GY,NULL,114,100
Elma 302,302,GY,NULL,279,182
Hoquiam 411,411,GY,NULL,235,122
Hoquiam 421,421,GY,NULL,184,106
Hoquiam 431,431,GY,NULL,197,161
Hoquiam 441,441,GY,NULL,228,143
Hoquiam 451,451,GY,NULL,188,114
Hoquiam 461,461,GY,NULL,179,98
McCleary 501,501,GY,NULL,218,176
Montesano 601,601,GY,NULL,486,210
Montesano 602,602,GY,NULL,450,212
Montesano 603,603,GY,NULL,0,0
Oakville 701,701,GY,NULL,66,88
Ocean Shores 801,801,GY,NULL,354,214
Ocean Shores 802,802,GY,NULL,488,328
Ocean Shores 803,803,GY,NULL,410,296
Westport 901,901,GY,NULL,312,218
