Row Label,PrecinctCode,County,Registered Voters,Dan Kristiansen
Total,-1,KI,NULL,6440
ALDER,101,SK,NULL,184
ALGER,102,SK,NULL,213
SAUK,107,SK,NULL,320
BIRDSVIEW,111,SK,NULL,346
CASCADE,114,SK,NULL,55
CLEAR LAKE,116,SK,NULL,317
FRUITDALE,125,SK,NULL,162
HAMBURG,128,SK,NULL,126
MANSFORD,133,SK,NULL,53
MCRAE,137,SK,NULL,473
MINKLER,139,SK,NULL,205
NOOKACHAMPS,141,SK,NULL,174
PRAIRIE,145,SK,NULL,356
ROCKPORT,148,SK,NULL,230
STERLING,151,SK,NULL,103
TINGLEY,154,SK,NULL,178
VAN FLEET,155,SK,NULL,289
SAMISH,166,SK,NULL,219
COLLINS,167,SK,NULL,200
SEDRO WOOLLEY  1,401,SK,NULL,329
SEDRO WOOLLEY  2,402,SK,NULL,360
SEDRO WOOLLEY  3,403,SK,NULL,232
SEDRO WOOLLEY  4,404,SK,NULL,325
SEDRO WOOLLEY  5,405,SK,NULL,425
SEDRO WOOLLEY  6,406,SK,NULL,304
SEDRO WOOLLEY  7,407,SK,NULL,6
CONCRETE,601,SK,NULL,129
HAMILTON,701,SK,NULL,47
LYMAN,855,SK,NULL,80
