Row Label,PrecinctCode,County,Registered Voters,Tom Dent,Dannette (Dani) Bolyard
Total,-1,LI,NULL,2647,1460
ALMIRA RURAL,1,LI,NULL,20,13
BLUESTEM,2,LI,NULL,15,3
CANBY,3,LI,NULL,19,16
CRESTON RURAL,4,LI,NULL,35,17
WHEATLAND,5,LI,NULL,59,27
DAVENPORT RURAL,6,LI,NULL,66,24
DOWNS,7,LI,NULL,20,3
EARL,8,LI,NULL,25,5
EDWALL,9,LI,NULL,39,29
EGYPT,10,LI,NULL,73,35
ENOS,11,LI,NULL,15,5
GOVAN,12,LI,NULL,14,6
GRAND COULEE,13,LI,NULL,18,11
GRAVELLE,14,LI,NULL,22,10
HARR RURAL,15,LI,NULL,31,22
HAWK CREEK,16,LI,NULL,36,31
IRBY,17,LI,NULL,21,7
KELLER,18,LI,NULL,46,16
LAKEVIEW,19,LI,NULL,71,41
LAMONA,20,LI,NULL,21,5
EAST LARENE,21,LI,NULL,66,23
WEST LARENE,22,LI,NULL,28,13
LAYTON,23,LI,NULL,11,6
LONG LAKE,24,LI,NULL,50,16
MOHLER,25,LI,NULL,40,10
MONDOVI,26,LI,NULL,47,28
ODESSA RURAL,27,LI,NULL,78,16
PEACH,28,LI,NULL,95,29
N REARDAN RURAL,29,LI,NULL,26,16
S REARDAN RURAL,30,LI,NULL,29,20
RIVERVIEW,31,LI,NULL,74,63
SEVEN BAYS,32,LI,NULL,41,23
SHERMAN,33,LI,NULL,42,20
SPRAGUE RURAL,34,LI,NULL,74,28
SPRING CREEK,35,LI,NULL,52,21
WILBUR RURAL,36,LI,NULL,79,16
WAUKON,37,LI,NULL,34,10
WILSON CREEK,38,LI,NULL,28,5
ALMIRA IN,39,LI,NULL,44,47
CRESTON IN,40,LI,NULL,48,33
DAVENPORT IN,41,LI,NULL,346,238
HARRINGTON IN,42,LI,NULL,67,65
ODESSA IN,43,LI,NULL,196,127
REARDAN IN,44,LI,NULL,119,81
SPRAGUE IN,45,LI,NULL,69,49
WILBUR IN,46,LI,NULL,198,131
