Row Label,PrecinctCode,County,Registered Voters,Dave Peterson,Gerald (Gary) Chaney
Total,-1,KP,NULL,46463,33626
BREMERTON 001,100001,KP,NULL,179,63
BREMERTON 002,100002,KP,NULL,124,71
BREMERTON 003,100003,KP,NULL,250,138
BREMERTON 005,100005,KP,NULL,188,86
BREMERTON 006,100006,KP,NULL,185,77
BREMERTON 007,100007,KP,NULL,5,5
BREMERTON 012,100012,KP,NULL,64,36
BREMERTON 013,100013,KP,NULL,259,114
BREMERTON 015,100015,KP,NULL,270,165
BREMERTON 016,100016,KP,NULL,72,29
BREMERTON 022,100022,KP,NULL,193,116
BREMERTON 029,100029,KP,NULL,256,126
BREMERTON 030,100030,KP,NULL,238,145
BREMERTON 031,100031,KP,NULL,139,82
BREMERTON 032,100032,KP,NULL,43,16
BREMERTON 037,100037,KP,NULL,292,269
BREMERTON 040,100040,KP,NULL,274,122
BREMERTON 041,100041,KP,NULL,229,124
BREMERTON 046,100046,KP,NULL,255,159
BREMERTON 051,100051,KP,NULL,20,22
BREMERTON 052,100052,KP,NULL,175,118
BREMERTON 053,100053,KP,NULL,322,230
BREMERTON 054,100054,KP,NULL,151,92
BREMERTON 056,100056,KP,NULL,220,151
BREMERTON 058,100058,KP,NULL,280,162
ILLAHEE 065,100065,KP,NULL,303,231
SYLVAN 066,100066,KP,NULL,293,168
RAINIER 067,100067,KP,NULL,284,233
PERRY 073,100073,KP,NULL,166,114
UELAND 082,100082,KP,NULL,0,0
ROCKY POINT 083,100083,KP,NULL,357,242
RIDGEWAY 084,100084,KP,NULL,54,74
KITSAP LAKE 085(*),100085,KP,NULL,0,0
POWERLINE 086(*),100086,KP,NULL,0,0
BAYVIEW 087,100087,KP,NULL,81,52
BREMERTON 088,100088,KP,NULL,39,34
MARION 090,100090,KP,NULL,53,33
NAVY YARD CITY 095,100095,KP,NULL,257,169
OLYMPIC 099,100099,KP,NULL,34,24
TRIDENT 101,100101,KP,NULL,34,66
FRONTIER 102,100102,KP,NULL,262,292
OLYMPIC VIEW 103,100103,KP,NULL,210,179
BROWNSVILLE 105,100105,KP,NULL,336,315
OLD FRONTIER 106,100106,KP,NULL,254,319
