Row Label,PrecinctCode,County,Registered Voters,Craig Morrison
Total,-1,GR,NULL,15117
Airport 1 001,1,GR,NULL,195
Beverly 002,2,GR,NULL,21
Block 71 003,3,GR,NULL,414
Cascade Fairgrnd 004,4,GR,NULL,200
Coulee City 005,5,GR,NULL,153
Coulee Cty Rur W 006,6,GR,NULL,71
Electric City 007,7,GR,NULL,236
Ephrata 5 008,8,GR,NULL,214
Ephrata 2 009,9,GR,NULL,265
Ephrata 3 010,10,GR,NULL,182
Ephrata 4 011,11,GR,NULL,331
Ephrata 7 012,12,GR,NULL,237
Ephrata 9 013,13,GR,NULL,407
Ephrata Rural ,14,GR,NULL,202
George 015,15,GR,NULL,32
George Rural 016,16,GR,NULL,387
Gloyd 017,17,GR,NULL,213
Grand Coulee 018,18,GR,NULL,188
Hartline 019,19,GR,NULL,41
Hartline Rural S 020,20,GR,NULL,22
Lakeview Park 021,21,GR,NULL,214
Longview 022,22,GR,NULL,313
Mae 023,23,GR,NULL,650
Marlin 024,24,GR,NULL,16
Marlin Rural 025,25,GR,NULL,29
Mattawa 026,26,GR,NULL,36
Mattawa Rural 027,27,GR,NULL,326
McConihe 1 028,28,GR,NULL,131
Moses Lake 5 029,29,GR,NULL,263
Moses Lake 3 030,30,GR,NULL,391
Moses Lake 4 031,31,GR,NULL,237
Moses Lake 6 032,32,GR,NULL,376
Moses Lake 7 033,33,GR,NULL,329
Moses Lake 8 034,34,GR,NULL,408
Moses Lake 11 035,35,GR,NULL,495
Moses Lake 12 036,36,GR,NULL,302
North Banks Lake 037,37,GR,NULL,45
O Sullivan Dam 1 038,38,GR,NULL,410
Quincy 1 039,39,GR,NULL,205
Quincy 4 040,40,GR,NULL,118
Quincy 6 041,41,GR,NULL,333
Quincy Rural N 042,42,GR,NULL,148
Royal Camp 043,43,GR,NULL,346
Royal City 044,44,GR,NULL,92
Ruff 045,45,GR,NULL,39
Smyrna 1 046,46,GR,NULL,104
Soap Lake 1 047,47,GR,NULL,144
Soap Lake Rur E ,48,GR,NULL,66
Stratford 049,49,GR,NULL,38
Warden 050,50,GR,NULL,158
Warden Rural 051,51,GR,NULL,306
Soap Lake 2 052,52,GR,NULL,128
Westslope 1 053,53,GR,NULL,77
Wheeler 1 054,54,GR,NULL,178
Wilson Creek 055,55,GR,NULL,56
Wilson Crk Rural 056,56,GR,NULL,24
Airport 2 057,57,GR,NULL,159
Cascade Valley 058,58,GR,NULL,431
Westslope 2 059,59,GR,NULL,68
Smyrna 2 060,60,GR,NULL,23
East Wahluke 061,61,GR,NULL,65
Coulee Cty Rur E 062,62,GR,NULL,18
McConihe 2 063,63,GR,NULL,114
Quincy Rural S 064,64,GR,NULL,405
Greenfield 065,65,GR,NULL,44
Moses Lake 1 066,66,GR,NULL,191
Moses Lake 2 067,67,GR,NULL,217
Moses Lake 9  068,68,GR,NULL,269
O Sullivan Dam 2 069,69,GR,NULL,522
Wheeler 2 070,70,GR,NULL,483
Soap Lake Rur W ,71,GR,NULL,258
Coulee Cty Rur N 072,72,GR,NULL,56
Hartline Rural N 073,73,GR,NULL,26
Ephrata Rural E,74,GR,NULL,226
